1921	Zemřelí muži podle podrobného seznamu příčin smrti a věku												
MKN (1920)	Název	Celkem	0	1-4	5-9	10-14	15-19	20-29	30-39	40-59	60-79	80+	Nezjiš- těno
													
	CELKEM ZEMŘELÝCH MUŽŮ	80621	24150	3323	1226	1144	2210	4902	3855	13274	21925	4567	45
													
I	Nemoci epidemické a endemické	2071	467	429	139	101	141	186	104	252	232	20	-
1a	Tyf střevní	353	3	2	20	30	82	89	39	67	21	-	-
1b	Paratyfy	8	1	-	-	-	1	3	3	-	-	-	-
2	Tyf skvrnitý	3	-	-	-	-	-	2	-	1	-	-	-
3	Tyf zvratný	-	-	-	-	-	-	-	-	-			
5a	Malarie	10	-	-	-	-	-	1	1	8	-	-	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-			
6	Neštovice	6	1	2	2	-	-	-	-	1	-	-	-
7	Spalničky	224	104	111	7	2	-	-	-	-	-	-	-
8	Spála	47	9	19	11	2	1	4	1	-	-	-	-
9	Zajíkavý kašel	173	130	42	-	1	-	-	-	-	-	-	-
10	Záškrt	265	56	160	37	8	3	-	-	1	-	-	-
11a	Chřipka s plicními komplikacemi	113	18	9	1	2	5	7	13	19	34	5	-
11b	Chřipka bez komplikací plic	259	45	24	11	14	7	20	17	39	70	12	-
13	Zánět příušnic	5	2	-	-	2	-	-	-	1	-	-	-
15	Choleroidní zánět střev	3	-	-	1	-	1	-	-	1	-	-	-
16	Úplavice	323	26	56	41	30	21	29	13	54	51	2	-
19	Spirochetosa ikterohaemor	-	-	-	-	-	-	-	-	-	-		
21	Růže	183	67	1	4	3	3	10	7	40	47	1	-
22	Prudký zánět předních rohů míšních	5	-	-	-	-	-	1	2	2	-	-	-
23	Lethargův zánět střev	72	4	1	3	4	13	15	8	16	8	-	-
24	Epidemické ztrnutí šíje	19	1	2	1	3	4	5	-	2	1	-	-
25	Ostatní nemoci epidemické	-	-	-	-	-	-	-	-	-	-		
													
II	Nemoci infekční	11347	799	379	339	335	1044	2543	1550	3055	1266	34	3
26	Ozhřivka	1	-	-	-	-	-	-	1	-	-	-	-
27	Uhlák a sněť slezinná	6	-	-	-	-	1	-	1	2	1	1	-
28	Vzteklina	18	-	-	3	3	2	1	1	5	3	-	-
29	Ztrnutí ranné	291	113	7	43	29	20	22	11	34	12	-	-
30	Mykosy	4	-	-	-	-	-	-	-	3	1	-	-
31	Tuberkulosa ústrojí dýchacího	8942	291	202	120	172	839	2286	1364	2628	1017	20	3
32	Tuberkulosa mozkových blan nebo centrálního systému nervového	457	76	102	80	44	37	39	34	38	7	-	-
33	Tuberkulosa střev neb pobřišnice 	194	15	8	22	9	15	31	22	55	17	-	-
34	Tuberkulosa obratlů	81	1	4	5	4	10	11	11	20	15	-	-
35	Tuberkulosa kloubů	43	2	2	3	4	5	9	2	10	6	-	-
36a	Tuberkulosa kůže nebo podkožního vaziva	50	21	6	5	7	5	1	1	2	1	1	-
36b	Tuberkulosa kostí	245	3	7	13	23	30	42	16	54	55	2	-
36c	Tuberkulosa lymfatického systému	23	4	8	1	3	-	1	2	4	-	-	-
36d	Tuberkulosa ústrojí urogenitálního	13	-	-	-	-	2	3	1	4	3	-	-
36	Tuberkulosa jiných orgánů	19	4	2	-	-	1	2	1	3	6	-	-
37a	Tuberkulosa prudká	70	11	6	11	8	17	17	-	-	-	-	-
37b	Tuberkulosa vleklá	9	-	-	-	-	-	3	2	4	-	-	-
37c	Tuberkulosa bez bližšího označení	64	-	-	-	-	-	10	16	33	4	1	-
38	Příjice	161	92	7	2	2	4	10	11	28	5	-	-
40	Kapavka	-	-	-	-	-	-	-	-	-	-	-	-
41	Otrava krve	653	164	18	31	27	56	55	53	128	113	8	-
42	Ostatní nemoci a infekční	3	2	-	-	-	-	-	-	-	-	1	-
													
RA		5071	15	11	10	7	16	54	157	1812	2867	120	2
KR		118	11	11	1	7	4	7	7	47	22	1	0
EN		754	171	120	19	20	29	37	34	142	179	3	0
DU		187	0	0	4	2	3	7	23	87	60	1	0
III	Celkové nemoci výše nejmenované	6119	202	146	32	35	54	103	221	2081	3116	127	2
43	Rakovina neb jiné zhoubné nádory dutiny ústní	131	1	1	-	-	-	-	6	45	72	6	-
44	Rakovina neb jiné zhoubné nádory žaludku, jater	3238	6	-	1	-	1	11	70	1194	1903	52	-
45	Rakovina neb jiné zhoubné nádory pobřišnice, střev neb konečníku	607	2	-	-	-	1	3	22	217	347	15	-
46	Rakovina neb jiné zhoubné nádory rodidel	x	x	x	x	x	x	x	x	x	x	x	x
47	Rakovina neb jiné zhoubné nádory prsu	x	x	x	x	x	x	x	x	x	x	x	x
48	Rakovina neb jiné zhoubné nádory kůže	54	-	-	-	2	-	1	1	9	31	9	1
49	Rakovina neb jiné zhoubné nádory orgánů ostatních nebo blíže neurčených	957	2	4	4	2	12	30	44	324	496	38	1
50	Nádory, jež nejsou zhoubné, neb jichž zhoubná povaha není specifikovaná	17	2	2	1	1	-	1	3	-	7	-	-
51	Prudký horečatý hostec kloubní	18	-	1	4	10	1	1	-	1	-	-	-
52	Vleklý hostec, dna	122	1	-	1	3	9	11	7	41	48	1	-
53	Kurděje	7	-	-	-	-	-	3	2	2	-	-	-
56	Křivice	264	138	118	6	2	-	-	-	-	-	-	-
57	Cukrovka	287	2	-	6	5	17	17	22	89	127	2	-
58a	Nedokrevnost zhoubná	91	4	7	1	6	4	5	6	40	18	-	-
58b	Jiné nedokrevnosti a blednička	20	7	4	-	1	-	1	-	2	4	1	-
59	Nemoci hypophysy	1	-	-	-	-	-	-	-	1	-	-	-
60a	Basedowova nemoc	14	1	-	2	-	1	3	1	4	2	-	-
60b	Jiná onemocnění štítné žlázy	2	-	-	-	-	-	-	1	-	1	-	-
61	Nemoci žlázek přištítných	26	25	-	-	-	-	-	-	-	1	-	-
62	Nemoci brzlíku	7	4	1	-	-	1	1	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	6	-	-	-	-	-	1	1	4	-	-	-
64	Nemoci sleziny	7	-	-	-	-	-	1	1	5	-	-	-
65	Bělokrevnost neb Hodgkinova nemoc	67	2	4	4	2	2	8	11	23	11	-	-
66	Alkoholismus	143	-	-	-	-	2	3	20	75	42	1	-
67	Vleklé otravy nerostnými látkami	2	-	-	-	-	-	-	-	2	-	-	-
68	Vleklé otravy ústrojnými látkami	1	-	-	-	-	-	-	-	-	1	-	-
69	Ostatní celkové nemoci	30	5	4	2	1	3	2	3	3	5	2	-
													
IV	Choroby systému nervového a smyslových orgánů	9721	4265	455	201	158	142	280	323	1489	2179	226	3
70	Zánět mozku	161	31	12	11	16	15	9	16	31	20	-	-
71	Zánět mozkových blan	1073	278	208	145	95	63	98	52	92	41	1	-
72	Úbytě míchy	143	2	-	3	-	3	1	11	74	48	1	-
73	Jiné choroby míchy	224	6	5	5	9	8	12	23	98	56	2	-
74a	Výlev krevní do mozku	2881	1	1	1	1	-	31	78	770	1791	206	1
74b	Záhať žil mozkových	57	4	1	1	1	4	3	7	19	16	1	-
75a	Jednostranná obrna těla	54	-	1	-	-	-	3	-	16	27	7	-
75b	Paralysis progressiva	151	-	1	-	-	-	2	31	91	26	-	-
75c	Jiné obrny	50	-	-	1	1	-	1	8	25	14	-	-
76	Ochrnutí spojené s duševní chorobou	-	-	-	-	-	-	-	-	-	-	-	-
77	Jiné duševní choroby	44	-	-	4	2	1	4	3	12	18	-	-
78	Padoucnice	199	5	5	6	19	26	49	30	45	13	-	1
79	Božec nepuerperální	20	-	-	8	-	2	2	4	4	-	-	-
80	Křeče u dětí	4116	3913	202	-	-	-	-	-	-	-	-	1
81	Posunčina	6	2	-	2	-	-	1	-	-	1	-	-
82b	Zánět nervů	15	-	-	-	-	-	4	-	4	7	-	-
83	Změknutí mozku	86	-	1	2	-	2	2	4	28	43	4	-
84	Ostatní choroby systému nervového	400	11	16	10	11	13	47	55	178	55	4	-
86	Choroby ucha nebo dutin mastoideu	41	12	2	2	3	5	11	1	2	3	-	-
													
V	Choroby oběhu krevního	6938	100	39	68	104	131	297	390	2004	3487	317	1
87	Zánět osrdce	41	-	-	2	5	-	6	9	10	8	1	-
88	Prudký zánět nitroblány nebo svalu srdečního	1070	-	3	7	11	14	34	46	292	611	51	1
89	Srdeční angina	30	-	-	-	1	-	-	2	14	13	-	-
90	Jiné nemoci srdce	3882	90	32	57	84	114	244	321	1348	1494	98	-
91a	Výduť	79	-	-	-	1	-	4	5	45	23	1	-
91b	Zkornatění a jiné choroby tepen	1736	-	1	-	-	1	4	2	265	1300	163	-
92	Záhať (nikoliv mozkový)	28	3	-	2	-	1	3	2	8	8	1	-
93	Choroby žil	31	-	-	-	1	-	-	-	10	19	1	-
94	Choroby systému mízního	18	7	2	-	-	-	-	1	4	4	-	-
95	Ostatní choroby oběhu krevního	23	-	1	-	1	1	2	2	8	7	1	-
96	Ostatní choroby oběhu krevního	-	-	-	-	-	-	-	-	-	-	-	-
													
VI	Choroby ústrojí dýchacího	10874	3632	999	139	92	104	239	306	1535	3544	279	5
97	Choroby dutin nosních a jejich adnex	7	1	1	-	-	-	-	-	2	3	-	-
98	Choroby hrtanu	41	20	8	1	3	1	-	-	5	3	-	-
99a	Zánět průdušek prudký	1022	914	84	1	1	2	-	-	5	13	2	-
99b	Zánět průdušek vleklý	217	26	17	2	1	4	2	5	35	118	7	-
99c	Zánět průdušek bez bližšího označení (pod 5 let)	456	321	135	-	-	-	-	-	-	-	-	-
99d	Zánět průdušek bez bližšího označení (v 5 a více letech)	178	-	-	8	4	1	4	4	36	113	8	-
100	Lalůčkový zánět plic včetně zánětu průdušinek	1071	617	143	14	5	6	14	17	77	160	18	-
101a	Zánět plic lalokový	295	51	21	3	8	4	16	19	59	105	9	-
101b	Zánět plic bez bližšího označení	5158	1638	549	95	58	66	152	188	776	1491	140	5
102	Zánět pohrudnice	397	19	35	13	10	11	27	33	112	132	5	-
103	Překrvení nebo krvácení parenchymatosní plic	105	9	2	1	1	3	3	2	15	63	6	-
104	Sněť plicní	43	-	-	-	1	1	2	6	15	17	1	-
105	Záducha	279	-	-	-	-	-	3	5	68	192	11	-
106	Rozedma plic	1455	-	1	-	-	1	9	16	286	1076	66	-
107	Ostatní choroby ústrojí dýchacího	150	16	3	1	-	4	7	11	44	58	6	-
													
VII	Choroby ústrojí zažívacího	9646	6910	529	97	91	109	162	195	713	780	60	-
108b	Choroby ústní dutiny a jejich adnex	32	29	1	-	-	-	1	1	-	-	-	-
109	Choroby hltanu nebo mandlí	80	43	7	2	1	2	8	1	8	8	-	-
110	Choroby jícnu	14	1	5	-	1	-	-	1	4	2	-	-
111a	Vřed žaludeční	285	3	-	2	-	6	23	38	128	83	2	-
111b	Vřed dvanácterníku	42	2	-	-	-	-	4	6	16	14	-	-
112	Jiné choroby žaludeční	44	2	1	-	1	-	1	4	14	21	-	-
113	Průjem a zánět střev (pod 2 roky)	7183	6759	424	-	-	-	-	-	-	-	-	-
114	Průjem a zánět střev (nad 2 roky)	405	-	69	38	15	15	27	26	74	128	13	-
115	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-
116	Choroby zaviněné intestinálními cizopasníky	1	1	-	-	-	-	-	-	-	-	-	-
117	Zánět červu a jeho okolí	174	3	8	19	22	23	22	21	37	18	1	-
118a	Kýla 	183	12	-	-	1	2	-	6	49	95	18	-
118b	Záhať střevní	217	8	1	9	8	7	12	15	59	93	5	-
119b	Jiné choroby střev	48	5	1	2	2	1	4	1	14	17	1	-
120	Prudká atrofie jater	6	-	-	-	1	-	2	2	-	1	-	-
121	Hydativní nádor jater	3	-	-	-	-	1	-	-	1	1	-	-
122a	Svraštění jater alkoholické	66	-	-	2	-	-	1	4	36	23	-	-
122b	Svraštění jater neoznačené jako alkoholické	149	-	1	-	-	2	2	7	63	71	3	-
123	Žlučové kaménky	40	1	-	-	-	-	-	7	14	17	1	-
124	Jiné choroby jater	195	6	1	2	2	1	11	9	68	86	9	-
125	Choroby mikteru	6	4	-	-	-	-	-	-	2	-	-	-
126	Zánět pobřišnice bez označení příčiny	473	31	10	21	37	49	44	46	126	102	7	-
													
VIII	Nevenerické choroby ústrojí urogenitálního a jejich adnex	2007	47	46	43	35	46	138	178	586	814	74	-
128	Prudký zánět ledvin	159	37	39	35	8	8	13	10	6	2	1	-
129	Vleklý zánět ledvin	1392	6	5	8	27	36	119	156	512	498	25	-
130	Chylurie	1	-	-	-	-	-	-	-	-	1	-	-
131	Jiné choroby ledvin a jejich adnex	91	1	1	-	-	1	3	9	24	46	6	-
132	Močové kaménky	12	-	-	-	-	1	1	-	3	6	1	-
133	Choroby měchýře	180	2	1	-	-	-	1	2	19	135	20	-
134	Choroby močové roury	16	1	-	-	-	-	1	1	8	4	1	-
135	Choroby žlázy předstojné	156	-	-	-	-	-	-	-	14	122	20	-
136	Nevenerické choroby mužských pohlavních orgánů	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
137	Boubel a jiné nezhoubné nádory vaječníku	x	x	x	x	x	x	x	x	x	x	x	x
138	Zánět vejcovodu nebo vřed v pánvi	x	x	x	x	x	x	x	x	x	x	x	x
139	Nádory děložní	x	x	x	x	x	x	x	x	x	x	x	x
140	Nepuerperální krvácení z dělohy	x	x	x	x	x	x	x	x	x	x	x	x
141	Ostatní choroby rodidel	x	x	x	x	x	x	x	x	x	x	x	x
142	Nepuerperální choroby prsu	x	x	x	x	x	x	x	x	x	x	x	x
													
IX	Puerperální stav	x	x	x	x	x	x	x	x	x	x	x	x
143a	Potrat 	x	x	x	x	x	x	x	x	x	x	x	x
143b	Mimoděložní těhotenství	x	x	x	x	x	x	x	x	x	x	x	x
143c	Jiné nehody těhotenské	x	x	x	x	x	x	x	x	x	x	x	x
144	Krvácení těhotných a v šestinedělí	x	x	x	x	x	x	x	x	x	x	x	x
145	Jiné nehody při porodu	x	x	x	x	x	x	x	x	x	x	x	x
146	Horečka omladnic	x	x	x	x	x	x	x	x	x	x	x	x
147	Phlegmasia albadolens, embolie nebo náhlá smrt puerperální	x	x	x	x	x	x	x	x	x	x	x	x
148	Albuminurie nebo božec v šestinedělí	x	x	x	x	x	x	x	x	x	x	x	x
