1921	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku												
MKN (1920)	Název	Celkem	0	1-4	5-9	10-14	15-19	20-29	30-39	40-59	60-79	80+	Nezjiš- tìno
													
	CELKEM ZEMØELİCH EN	80700	18891	2979	1147	1220	1933	5113	4629	12020	25889	6857	22
													
I	Nemoci epidemické a endemické	2258	457	409	154	102	110	220	162	321	294	29	-
1a	Tyf støevní	434	4	6	16	34	69	121	65	90	28	1	-
1b	Paratyfy	12	-	-	1	-	-	3	2	4	2	-	-
2	Tyf skvrnitı	2	-	-	-	-	-	-	-	2	-	-	-
3	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-
5a	Malarie	3	-	-	-	1	-	-	1	-	1	-	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice	14	4	1	3	1	1	1	-	1	2	-	-
7	Spalnièky	238	96	115	22	4	1	-	-	-	-	-	-
8	Spála	34	5	11	6	3	1	6	1	-	1	-	-
9	Zajíkavı kašel	199	124	71	3	1	-	-	-	-	-	-	-
10	Záškrt	201	41	108	38	8	3	1	-	2	-	-	-
11a	Chøipka s plicními komplikacemi	112	17	11	1	4	2	8	14	23	31	1	-
11b	Chøipka bez komplikací plic	312	51	12	12	11	9	34	25	61	88	9	-
13	Zánìt pøíušnic	-	-	-	-	-	-	-	-	-	-	-	-
15	Choleroidní zánìt støev	3	1	1	-	-	-	-	-	-	1	-	-
16	Úplavice	401	25	55	43	22	15	21	28	87	95	10	-
19	Spirochetosa ikterohaemor	-	-	-	-	-	-	-	-	-	-	-	-
21	Rùe	199	78	8	-	3	2	10	13	40	37	8	-
22	Prudkı zánìt pøedních rohù míšních	-	-	-	-	-	-	-	-	-	-	-	-
23	Lethargùv zánìt støev	68	4	8	5	7	5	12	12	9	6	-	-
24	Epidemické ztrnutí šíje	26	7	2	4	3	2	3	1	2	2	-	-
25	Ostatní nemoci epidemické	-	-	-	-	-	-	-	-	-	-	-	-
													
II	Nemoci infekèní	11587	695	348	351	537	1127	2701	1881	2627	1280	38	2
26	Ozhøivka	1	-	-	-	-	-	-	-	1	-	-	-
27	Uhlák a snì slezinná	-	-	-	-	-	-	-	-	-	-	-	-
28	Vzteklina	10	-	-	3	2	-	-	1	3	1	-	-
29	Ztrnutí ranné	172	76	1	12	9	11	12	14	28	9	-	-
30	Mykosy	1	-	-	-	-	-	-	-	-	1	-	-
31	Tuberkulosa ústrojí dıchacího	9320	265	192	191	398	1003	2404	1640	2209	989	27	2
32	Tuberkulosa mozkovıch blan nebo centrálního systému nervového	388	57	97	70	49	19	37	21	26	12	-	-
33	Tuberkulosa støev neb pobøišnice 	242	14	13	17	11	21	42	30	70	24	-	-
34	Tuberkulosa obratlù	73	-	2	7	6	4	6	11	17	19	1	-
35	Tuberkulosa kloubù	63	1	3	4	4	1	8	3	15	24	-	-
36a	Tuberkulosa kùe nebo podkoního vaziva	45	15	3	5	2	2	5	6	3	4	-	-
36b	Tuberkulosa kostí	285	2	7	15	15	18	29	23	81	94	1	-
36c	Tuberkulosa lymfatického systému	24	4	1	1	1	2	3	5	2	4	1	-
36d	Tuberkulosa ústrojí urogenitálního	14	-	-	1	-	1	4	4	4	-	-	-
36	Tuberkulosa jinıch orgánù	28	5	2	1	3	1	1	1	8	6	-	-
37a	Tuberkulosa prudká	37	2	1	5	5	12	12	-	-	-	-	-
37b	Tuberkulosa vleklá	37	3	5	3	5	4	9	3	3	2	-	-
37c	Tuberkulosa bez blišího oznaèení	82	-	-	-	-	2	19	23	24	13	1	-
38	Pøíjice	130	87	5	-	1	1	3	9	17	6	1	-
40	Kapavka	2	1	-	-	-	-	-	1	-	-	-	-
41	Otrava krve	627	162	15	16	26	25	107	85	116	69	6	-
42	Ostatní nemoci a infekèní	6	1	1	-	-	-	-	1	-	3	-	-
													
RA		5706	11	5	5	8	12	76	234	2232	2942	178	3
KR		187	9	13	3	5	5	14	33	76	29	0	0
EN		789	121	112	9	21	21	37	52	179	232	5	0
DU		106	0	0	1	2	2	7	11	46	32	5	0
III	Celkové nemoci vıše nejmenované	6748	146	134	19	35	39	130	327	2509	3222	184	3
43	Rakovina neb jiné zhoubné nádory dutiny ústní	28	-	-	-	1	-	1	3	9	13	1	-
44	Rakovina neb jiné zhoubné nádory aludku, jater	2620	4	1	1	-	1	17	44	891	1561	98	2
45	Rakovina neb jiné zhoubné nádory pobøišnice, støev neb koneèníku	691	3	-	-	-	-	9	21	244	394	20	-
46	Rakovina neb jiné zhoubné nádory rodidel	1068	-	-	-	-	1	17	98	566	372	13	1
47	Rakovina neb jiné zhoubné nádory prsu	282	-	-	-	-	-	3	9	140	117	13	-
48	Rakovina neb jiné zhoubné nádory kùe	71	-	1	-	-	-	-	1	10	48	11	-
49	Rakovina neb jiné zhoubné nádory orgánù ostatních nebo blíe neurèenıch	879	1	1	1	3	7	22	51	346	425	22	-
50	Nádory, je nejsou zhoubné, neb jich zhoubná povaha není specifikovaná	14	2	-	1	1	-	3	2	3	2	-	-
51	Prudkı horeèatı hostec kloubní	16	-	1	4	8	1	-	1	-	1	-	-
52	Vleklı hostec, dna	260	-	1	2	8	4	12	14	92	124	3	-
53	Kurdìje	8	1	1	-	-	3	1	1	1	-	-	-
56	Køivice	210	101	107	1	1	-	-	-	-	-	-	-
57	Cukrovka	200	-	-	1	3	10	16	17	57	95	1	-
58a	Nedokrevnost zhoubná	157	5	10	2	4	4	13	29	66	24	-	-
58b	Jiné nedokrevnosti a blednièka	26	4	3	1	1	1	1	3	7	5	-	-
59	Nemoci hypophysy	-	-	-	-	-	-	-	-	-	-	-	-
60a	Basedowova nemoc	54	1	-	-	-	3	4	12	24	10	-	-
