1922	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku												
MKN (1920)	Název	Celkem	0	1-4	5-9	10-14	15-19	20-29	30-39	40-59	60-79	80+	Nezjiš- tìno
													
	CELKEM ZEMØELİCH MUÙ	82108	22421	3543	970	1015	2009	4891	3988	13791	24021	5427	32
													
I	Nemoci epidemické a endemické	2378	714	498	111	58	107	168	94	257	346	24	1
1a	Tyf støevní	255	2	1	6	25	47	69	31	54	20	-	-
1b	Paratyfy	9	1	-	-	-	1	1	1	4	1	-	-
2	Tyf skvrnitı	9	-	-	-	-	-	5	3	1	-	-	-
3	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-
5a	Malarie	11	-	-	-	-	-	1	4	6	-	-	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice	1	1	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	232	100	119	11	1	1	-	-	-	-	-	-
8	Spála	165	22	76	46	10	6	5	-	-	-	-	-
9	Zajíkavı kašel	464	343	119	2	-	-	-	-	-	-	-	-
10	Záškrt	169	41	106	15	3	2	1	-	-	1	-	-
11a	Chøipka s plicními komplikacemi	277	36	20	5	1	8	18	16	60	107	6	-
11b	Chøipka bez komplikací plic	465	81	38	11	7	18	24	24	77	171	14	-
13	Zánìt pøíušnic	3	1	1	-	-	-	-	-	-	1	-	-
15	Choleroidní zánìt støev	3	-	1	-	-	1	-	-	1	-	-	-
16	Úplavice	41	5	5	4	2	3	5	4	5	7	-	1
19	Spirochetosa ikterohaemor	1	-	-	-	-	-	-	1	-	-	-	-
21	Rùe	156	77	2	2	1	5	6	5	27	27	4	-
22	Prudkı zánìt pøedních rohù míšních	1	1	-	-	-	-	-	-	-	-	-	-
23	Lethargùv zánìt støev	77	2	6	7	5	10	12	4	20	11	-	-
24	Epidemické ztrnutí šíje	39	1	4	2	3	5	21	1	2	-	-	-
25	Ostatní nemoci epidemické	-	-	-	-	-	-	-	-	-	-	-	-
													
II	Nemoci infekèní	11531	887	474	260	324	914	2527	1701	3113	1296	32	3
26	Ozhøivka	2	-	-	-	-	-	2	-	-	-	-	-
27	Uhlák a snì slezinná	3	-	-	-	-	-	-	-	2	1	-	-
28	Vzteklina	26	-	2	2	2	2	3	4	7	4	-	-
29	Ztrnutí ranné	201	76	5	14	27	14	9	13	34	9	-	-
30	Mykosy	1	-	-	-	-	-	-	-	1	-	-	-
31	Tuberkulosa ústrojí dıchacího	9189	339	250	110	142	760	2287	1550	2680	1043	25	3
32	Tuberkulosa mozkovıch blan nebo centrálního systému nervového	521	94	149	67	55	38	44	22	41	11	-	-
33	Tuberkulosa støev neb pobøišnice 	169	12	13	9	8	18	26	22	33	28	-	-
34	Tuberkulosa obratlù	64	-	1	1	6	5	10	7	23	11	-	-
35	Tuberkulosa kloubù	40	1	2	3	5	1	1	4	8	15	-	-
36a	Tuberkulosa kùe nebo podkoního vaziva	57	23	11	3	3	1	6	3	6	1	-	-
36b	Tuberkulosa kostí	249	2	4	16	25	27	47	14	49	63	2	-
36c	Tuberkulosa lymfatického systému	22	4	5	2	-	-	4	1	5	1	-	-
36d	Tuberkulosa ústrojí urogenitálního	10	-	-	1	1	-	1	1	5	1	-	-
36	Tuberkulosa jinıch orgánù	24	1	1	1	1	1	4	1	8	6	-	-
37a	Tuberkulosa prudká	57	5	6	6	11	10	19	-	-	-	-	-
37b	Tuberkulosa vleklá	1	-	-	-	-	-	-	-	1	-	-	-
37c	Tuberkulosa bez blišího oznaèení	49	-	-	-	-	-	7	12	25	4	1	-
38	Pøíjice	179	115	4	-	-	-	8	11	37	4	-	-
40	Kapavka	-	-	-	-	-	-	-	-	-	-	-	-
41	Otrava krve	667	215	21	25	38	37	49	36	148	94	4	-
42	Ostatní nemoci a infekèní	-	-	-	-	-	-	-	-	-	-	-	-
													
RA		5362	14	9	13	11	16	56	143	1894	3057	148	1
KR		111	11	10	2	0	2	7	8	52	18	1	0
EN		778	171	101	16	18	24	40	33	165	202	8	0
DU		452	6	8	15	19	17	73	62	169	81	2	0
III	Celkové nemoci vıše nejmenované	6460	198	120	32	30	46	112	203	2226	3334	158	1
43	Rakovina neb jiné zhoubné nádory dutiny ústní	122	-	-	-	1	-	1	2	43	72	3	-
44	Rakovina neb jiné zhoubné nádory aludku, jater	3381	5	-	1	-	1	12	67	1262	1959	73	1
