1923	Zemřelé ženy podle podrobného seznamu příčin smrti a věku												
MKN (1920)	Název	Celkem	0	1-4	5-9	10-14	15-19	20-29	30-39	40-59	60-79	80+	Nezjiš- těno
													
	CELKEM ZEMŘELÝCH ŽEN	70855	14391	2880	645	955	1625	4474	4135	11370	24005	6340	35
													
I	Nemoci epidemické a endemické	1665	418	445	102	83	69	141	91	162	139	15	-
1a	Tyf střevní	241	1	3	12	29	30	72	35	43	16	-	-
1b	Paratyfy	3	-	-	1	-	-	1	1	-	-	-	-
2	Tyf skvrnitý	1	-	-	-	-	-	1	-	-	-	-	-
3	Tyf zvratný	-	-	-	-	-	-	-	-	-	-	-	-
5a	Malarie	2	-	-	-	-	-	-	1	1	-	-	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice	2	-	-	1	1	-	-	-	-	-	-	-
7	Spalničky	215	80	120	11	3	1	-	-	-	-	-	-
8	Spála	253	16	139	49	28	8	9	2	2	-	-	-
9	Zajíkavý kašel	267	185	78	-	1	1	-	-	2	-	-	-
10	Záškrt	115	27	67	13	4	-	-	2	1	1	-	-
11a	Chřipka s plicními komplikacemi	76	10	7	1	-	4	8	4	13	24	5	-
11b	Chřipka bez komplikací plic	206	33	16	5	8	11	23	20	42	42	6	-
13	Zánět příušnic	1	-	-	-	-	-	-	-	-	1	-	-
15	Choleroidní zánět střev	3	-	-	-	1	-	-	-	2	-	-	-
16	Úplavice	22	3	3	1	1	-	3	-	5	6	-	-
19	Spirochetosa ikterohaemor	-	-	-	-	-	-	-	-	-	-	-	-
21	Růže	133	56	4	-	-	4	3	7	21	34	4	-
22	Prudký zánět předních rohů míšních	4	2	1	-	-	-	1	-	-	-	-	-
23	Lethargův zánět střev	100	3	3	6	5	8	16	17	28	14	-	-
24	Epidemické ztrnutí šíje	21	2	4	2	2	2	4	2	2	1	-	-
25	Ostatní nemoci epidemické	-	-	-	-	-	-	-	-	-	-	-	-
													
II	Nemoci infekční	10374	700	480	191	437	932	2391	1668	2302	1228	44	1
26	Ozhřivka	-	-	-	-	-	-	-	-	-	-	-	-
27	Uhlák a sněť slezinná	1	-	-	-	-	-	-	1	-	-	-	-
28	Vzteklina	8	-	1	1	1	1	-	1	2	1	-	-
29	Ztrnutí ranné	143	59	4	6	10	5	14	11	24	9	1	-
30	Mykosy	2	-	-	-	-	-	-	1	-	1	-	-
31	Tuberkulosa ústrojí dýchacího	8260	243	226	82	310	821	2176	1474	1932	960	35	1
32	Tuberkulosa mozkových blan nebo centrálního systému nervového	451	68	180	57	39	29	25	14	32	7	-	-
33	Tuberkulosa střev neb pobřišnice 	198	11	17	4	17	14	36	23	50	25	1	-
34	Tuberkulosa obratlů	81	1	4	2	7	4	10	8	27	18	-	-
35	Tuberkulosa kloubů	65	3	3	1	4	3	4	5	16	26	-	-
36a	Tuberkulosa kůže nebo podkožního vaziva	41	11	10	2	2	1	2	3	2	6	2	-
36b	Tuberkulosa kostí	241	3	6	8	14	13	16	19	77	85	-	-
36c	Tuberkulosa lymfatického systému	22	5	4	-	-	2	2	4	3	2	-	-
36d	Tuberkulosa ústrojí urogenitálního	13	-	-	2	1	1	6	1	2	-	-	-
36	Tuberkulosa jiných orgánů	24	1	-	-	1	2	3	4	9	4	-	-
37a	Tuberkulosa prudká	54	5	9	7	6	11	16	-	-	-	-	-
37b	Tuberkulosa vleklá	7	-	-	-	-	-	-	2	4	1	-	-
37c	Tuberkulosa bez bližšího označení	67	-	-	-	1	-	10	17	24	15	-	-
38	Příjice	146	101	3	-	-	2	9	12	13	6	-	-
40	Kapavka	1	-	-	-	-	-	1	-	-	-	-	-
41	Otrava krve	546	187	13	18	24	23	61	68	85	62	5	-
42	Ostatní nemoci a infekční	3	2	-	1	-	-	-	-	-	-	-	-
													
RA		6099	17	15	7	10	13	60	289	2296	3203	188	1
KR		195	9	12	3	1	6	17	39	74	33	1	0
EN		796	124	89	6	29	14	49	45	191	239	9	1
DU		78	0	0	0	1	2	3	4	31	35	2	0
III	Celkové nemoci výše nejmenované	7153	156	117	17	40	36	127	378	2588	3493	199	2
43	Rakovina neb jiné zhoubné nádory dutiny ústní	23	-	-	1	-	-	-	-	10	11	1	-
44	Rakovina neb jiné zhoubné nádory žaludku, jater	2765	8	-	1	-	1	6	51	887	1730	81	-
45	Rakovina neb jiné zhoubné nádory pobřišnice, střev neb konečníku	717	2	1	1	-	1	6	37	225	412	32	-
46	Rakovina neb jiné zhoubné nádory rodidel	1159	-	-	-	2	3	16	115	605	406	12	-
47	Rakovina neb jiné zhoubné nádory prsu	334	-	-	-	-	-	1	15	167	138	13	-
48	Rakovina neb jiné zhoubné nádory kůže	86	1	-	-	-	-	-	3	16	46	20	-
49	Rakovina neb jiné zhoubné nádory orgánů ostatních nebo blíže neurčených	945	3	7	3	4	4	25	58	364	448	28	1
50	Nádory, jež nejsou zhoubné, neb jichž zhoubná povaha není specifikovaná	11	1	1	-	1	1	2	1	3	1	-	-
51	Prudký horečatý hostec kloubní	22	-	1	-	4	2	7	1	4	2	1	-
52	Vleklý hostec, dna	196	-	-	-	5	1	2	11	61	113	3	-
53	Kurděje	75	35	34	2	1	-	-	-	3	-	-	-
56	Křivice	123	65	52	2	4	-	-	-	-	-	-	-
57	Cukrovka	292	-	1	2	12	7	31	24	100	110	5	-
58a	Nedokrevnost zhoubná	148	8	10	3	1	3	13	27	57	25	1	-
58b	Jiné nedokrevnosti a blednička	37	-	2	-	-	3	3	10	12	7	-	-
59	Nemoci hypophysy	-	-	-	-	-	-	-	-	-	-	-	-
60a	Basedowova nemoc	51	-	-	-	1	4	7	7	19	12	-	1
60b	Jiná onemocnění štítné žlázy	4	-	-	-	-	-	-	1	2	1	-	-
61	Nemoci žlázek přištítných	23	18	1	-	2	-	-	-	2	-	-	-
62	Nemoci brzlíku	6	6	-	-	-	-	-	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	4	-	-	-	-	-	2	1	-	1	-	-
64	Nemoci sleziny	10	1	-	-	-	-	1	2	5	1	-	-
65	Bělokrevnost neb Hodgkinova nemoc	59	2	6	1	3	3	4	9	19	11	1	-
