1925	Zemřelé ženy podle podrobného seznamu příčin smrti a věku										
MKN (1920)	Název	Celkem	0	1-4	5-14	15-24	25-39	40-49	50-64	65 a více	Nezjiš- těno
											
	CELKEM ZEMŘELÝCH ŽEN	72788	13084	2908	1447	3906	6346	4642	12121	28331	3
											
I	Nemoci epidemické a endemické	1939	541	472	153	151	172	103	154	193	-
1a	Tyf střevní	240	-	2	31	71	77	28	28	3	-
1b	Paratyfy	5	-	-	1	4	-	-	-	-	-
2	Tyf skvrnitý	1	-	-	-	-	-	1	-	-	-
3	Tyf zvratný	-	-	-	-	-	-	-	-	-	-
5a	Malarie	1	-	-	-	-	-	-	-	1	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-	-
6	Neštovice	1	-	1	-	-	-	-	-	-	-
7	Spalničky	201	78	109	12	1	1	-	-	-	-
8	Spála	145	12	83	37	9	3	1	-	-	-
9	Zajíkavý kašel	453	296	151	6	-	-	-	-	-	-
10	Záškrt	138	17	85	34	-	-	-	1	1	-
11a	Chřipka s plicními komplikacemi	233	40	11	7	12	26	18	43	76	-
11b	Chřipka bez komplikací plic	200	30	15	9	18	21	14	28	65	-
13	Zánět příušnic	6	2	-	1	-	-	-	2	1	-
15	Choleroidní zánět střev	3	1	-	-	-	-	-	1	1	-
16	Úplavice	8	1	-	-	2	1	1	2	1	-
19	Spirochetosa ikterohaemor	-	-	-	-	-	-	-	-	-	-
21	Růže	165	58	4	-	7	11	16	31	38	-
22	Prudký zánět předních rohů míšních	8	-	6	2	-	-	-	-	-	-
23	Lethargův zánět střev	109	1	2	9	23	29	23	16	6	-
24	Epidemické ztrnutí šíje	19	3	2	4	4	3	1	2	-	-
25	Ostatní nemoci epidemické	3	2	1	-	-	-	-	-	-	-
											
II	Nemoci infekční	9836	514	487	522	2169	2742	1126	1522	754	-
26	Ozhřivka	-	-	-	-	-	-	-	-	-	-
27	Uhlák a sněť slezinná	1	-	-	-	-	-	-	-	1	-
28	Vzteklina	4	-	-	1	-	1	-	2	-	-
