1926	Zemřelí muži podle podrobného seznamu příčin smrti a věku										
MKN (1920)	Název	Celkem	0	1-4	5-14	15-24	25-39	40-49	50-64	65 a více	Nezjiš- těno
											
	CELKEM ZEMŘELÝCH MUŽŮ	74485	16930	3300	1517	4243	5861	5291	13415	23906	22
											
I	Nemoci epidemické a endemické	2029	641	515	170	182	122	94	140	165	-
1a	Tyf střevní	209	1	3	17	89	43	32	20	4	-
1b	Paratyfy	9	-	-	1	2	2	-	3	1	-
2	Tyf skvrnitý	-	-	-	-	-	-	-	-	-	-
3	Tyf zvratný	-	-	-	-	-	-	-	-	-	-
5a	Malarie	14	-	-	-	1	3	7	2	1	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-	-
6	Neštovice	-	-	-	-	-	-	-	-	-	-
7	Spalničky	331	141	165	25	-	-	-	-	-	-
8	Spála	105	9	55	29	9	3	-	-	-	-
9	Zajíkavý kašel	393	299	91	3	-	-	-	-	-	-
10	Záškrt	214	25	128	58	1	-	1	-	1	-
11a	Chřipka s plicními komplikacemi	230	62	31	11	9	8	10	35	64	-
11b	Chřipka bez komplikací plic	181	44	20	8	14	16	13	23	43	-
13	Zánět příušnic	9	2	3	1	-	1	-	2	-	-
15	Choleroidní zánět střev	5	-	-	-	-	-	1	4	-	-
16	Úplavice	8	-	1	-	1	2	2	1	1	-
19	Spirochetosa ikterohaemor	2	-	-	-	-	1	-	1	-	-
21	Růže	173	44	5	2	9	18	15	38	42	-
22	Prudký zánět předních rohů míšních	15	2	5	4	2	1	-	1	-	-
23	Lethargův zánět střev	69	2	2	5	17	15	13	9	6	-
24	Epidemické ztrnutí šíje	57	6	6	5	28	9	-	1	2	-
25	Ostatní nemoci epidemické	5	4	-	1	-	-	-	-	-	-
											
II	Nemoci infekční	10460	718	556	428	1814	2646	1547	1984	767	-
26	Ozhřivka	-	-	-	-	-	-	-	-	-	-
27	Uhlák a sněť slezinná	3	-	-	-	-	2	-	1	-	-
28	Vzteklina	10	-	1	1	3	2	3	-	-	-
29	Ztrnutí ranné	187	61	15	29	20	19	9	27	7	-
30	Mykosy	4	2	-	-	1	-	-	-	1	-
31	Tuberkulosa ústrojí dýchacího	8446	238	231	183	1593	2474	1395	1718	614	-
32	Tuberkulosa mozkových blan nebo centrálního systému nervového	571	111	238	123	46	19	17	11	6	-
33	Tuberkulosa střev neb pobřišnice 	151	11	15	21	20	22	20	28	14	-
34	Tuberkulosa obratlů	92	1	2	11	15	13	12	22	16	-
35	Tuberkulosa kloubů	41	-	2	3	9	2	3	8	14	-
36a	Tuberkulosa kůže nebo podkožního vaziva	12	1	1	-	2	2	-	3	3	-
36b	Tuberkulosa kostí	158	2	6	22	18	19	14	39	38	-
36c	Tuberkulosa lymfatického systému	55	21	14	4	4	3	2	3	4	-
36d	Tuberkulosa ústrojí urogenitálního	20	-	1	-	-	8	3	6	2	-
36	Tuberkulosa jiných orgánů	11	-	1	-	2	2	1	-	5	-
37a	Tuberkulosa prudká	68	10	12	14	31	-	-	1	-	-
37b	Tuberkulosa vleklá	7	-	-	-	-	2	-	4	1	-
37c	Tuberkulosa bez bližšího označení	46	-	-	-	-	19	14	13	-	-
38	Příjice	242	137	5	3	6	16	25	46	4	-
40	Kapavka	4	1	-	-	-	-	-	1	2	-
41	Otrava krve	329	120	11	14	44	22	29	53	36	-
42	Ostatní nemoci a infekční	3	2	1	-	-	-	-	-	-	-
											
RA		6306	6	21	20	45	206	512	2596	2900	0
KR		128	16	19	6	6	13	14	40	14	0
EN		817	137	70	25	41	53	61	221	209	0
DU		203	0	1	2	6	18	38	83	55	0
III	Celkové nemoci výše nejmenované	7441	166	112	54	99	291	620	2935	3164	-
43	Rakovina neb jiné zhoubné nádory dutiny ústní	158	-	-	-	-	5	12	52	89	-
44	Rakovina neb jiné zhoubné nádory žaludku, jater	4135	-	-	1	5	95	309	1784	1941	-
45	Rakovina neb jiné zhoubné nádory pobřišnice, střev neb konečníku	747	-	3	-	3	25	72	298	346	-
46	Rakovina neb jiné zhoubné nádory rodidel	x	x	x	x	x	x	x	x	x	x
47	Rakovina neb jiné zhoubné nádory prsu	2	-	-	-	-	-	-	1	1	-
48	Rakovina neb jiné zhoubné nádory kůže	83	-	-	1	-	2	5	26	49	-
49	Rakovina neb jiné zhoubné nádory orgánů ostatních nebo blíže neurčených	966	2	8	10	21	57	81	370	417	-
50	Nádory, jež nejsou zhoubné, neb jichž zhoubná povaha není specifikovaná	114	2	6	2	5	14	9	35	41	-
51	Prudký horečatý hostec kloubní	12	-	-	7	3	-	1	1	-	-
52	Vleklý hostec, dna	80	-	1	1	6	2	2	20	48	-
53	Kurděje	3	-	-	-	-	1	-	2	-	-
56	Křivice	173	113	59	1	-	-	-	-	-	-
57	Cukrovka	460	-	4	10	23	39	45	182	157	-
59	Nedokrevnost zhoubná	102	11	11	5	4	11	11	36	13	-
58a	Jiné nedokrevnosti a blednička	19	5	6	1	2	1	-	3	1	-
58b	Nemoci hypophysy	2	-	-	-	2	-	-	-	-	-
60a	Basedowova nemoc	24	-	-	-	1	5	6	11	1	-
60b	Jiná onemocnění štítné žlázy	20	1	-	1	5	5	2	3	3	-
61	Nemoci žlázek přištítných	16	9	3	3	-	-	1	-	-	-
62	Nemoci brzlíku	20	14	3	2	1	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	7	-	-	-	-	1	4	2	-	-
