1927	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku										
MKN (1920)	Název	Celkem	0	1-4	5-14	15-24	25-39	40-49	50-64	65 a více	Nezjiš- tìno
											
	CELKEM ZEMØELİCH MUÙ	78211	16433	3571	1690	4397	6004	5473	14110	26515	18
											
I	Nemoci epidemické a endemické	3217	818	749	270	249	188	163	259	521	-
1a	Tyf støevní	228	2	7	16	108	51	21	19	4	-
1b	Paratyfy	7	-	-	-	3	2	-	1	1	-
2	Tyf skvrnitı	1	-	-	-	-	-	-	1	-	-
3	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-
5a	Malarie	14	-	-	-	-	2	9	3	-	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-	-
6	Neštovice	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	440	179	230	29	2	-	-	-	-	-
8	Spála	126	6	59	43	12	5	1	-	-	-
9	Zajíkavı kašel	330	237	89	3	1	-	-	-	-	-
10	Záškrt	340	29	183	123	1	2	-	1	1	-
11a	Chøipka s plicními komplikacemi	921	213	112	19	46	58	72	127	274	-
11b	Chøipka bez komplikací plic	486	74	48	16	30	22	38	61	197	-
13	Zánìt pøíušnic	7	1	-	2	1	-	-	1	2	-
15	Choleroidní zánìt støev	6	2	1	-	1	-	-	1	1	-
16	Úplavice	10	-	-	2	2	-	2	3	1	-
19	Spirochetosa ikterohaemor	2	-	-	-	-	1	-	1	-	-
21	Rùe	160	62	3	-	4	13	11	32	35	-
22	Prudkı zánìt pøedních rohù míšních	12	1	6	4	-	-	-	-	1	-
23	Lethargùv zánìt støev	70	2	4	8	12	28	6	6	4	-
24	Epidemické ztrnutí šíje	50	5	6	5	26	4	2	2	-	-
25	Ostatní nemoci epidemické	7	5	1	-	-	-	1	-	-	-
											
II	Nemoci infekèní	10580	600	529	427	1824	2693	1695	2078	734	-
26	Ozhøivka	-	-	-	-	-	-	-	-	-	-
27	Uhlák a snì slezinná	3	-	-	-	-	1	-	1	1	-
28	Vzteklina	4	-	-	2	-	1	1	-	-	-
29	Ztrnutí ranné	189	56	14	26	22	18	15	29	9	-
30	Mykosy	10	4	-	-	-	1	-	3	2	-
31	Tuberkulosa ústrojí dıchacího	8679	195	230	185	1618	2482	1533	1833	603	-
32	Tuberkulosa mozkovıch blan nebo centrálního systému nervového	560	94	219	137	51	27	17	12	3	-
33	Tuberkulosa støev neb pobøišnice 	148	9	18	16	25	30	20	23	7	-
34	Tuberkulosa obratlù	82	2	4	8	13	16	7	22	10	-
35	Tuberkulosa kloubù	56	2	5	5	13	4	7	8	12	-
36a	Tuberkulosa kùe nebo podkoního vaziva	10	1	-	-	1	3	4	1	-	-
36b	Tuberkulosa kostí	122	4	4	10	15	21	14	29	25	-
36c	Tuberkulosa lymfatického systému	30	10	7	2	3	3	-	2	3	-
36d	Tuberkulosa ústrojí urogenitálního	18	2	-	3	1	4	3	4	1	-
36	Tuberkulosa jinıch orgánù	14	1	-	-	2	2	3	3	3	-
37a	Tuberkulosa prudká	63	7	10	11	31	3	-	1	-	-
37b	Tuberkulosa vleklá	3	-	-	1	-	-	-	1	1	-
37c	Tuberkulosa bez blišího oznaèení	57	-	-	-	-	20	11	21	5	-
38	Pøíjice	199	84	7	2	7	17	32	41	9	-
40	Kapavka	6	-	-	-	-	2	1	3	-	-
41	Otrava krve	327	129	11	19	22	38	27	41	40	-
42	Ostatní nemoci a infekèní	-	-	-	-	-	-	-	-	-	-
											
RA		6491	11	22	28	54	190	523	2688	2975	0
KR		147	19	13	4	4	19	20	47	21	0
EN		864	149	72	17	39	63	66	205	253	0
DU		218	0	0	1	3	21	41	90	62	0
III	Celkové nemoci vıše nejmenované	7701	185	112	52	100	289	648	3015	3300	-
43	Rakovina neb jiné zhoubné nádory dutiny ústní	156	-	-	-	1	4	10	57	84	-
44	Rakovina neb jiné zhoubné nádory aludku, jater	4168	-	-	1	6	73	317	1808	1963	-
45	Rakovina neb jiné zhoubné nádory pobøišnice, støev neb koneèníku	818	1	2	2	1	23	64	333	392	-
46	Rakovina neb jiné zhoubné nádory rodidel	x	x	x	x	x	x	x	x	x	x
47	Rakovina neb jiné zhoubné nádory prsu	6	-	-	-	-	-	1	-	5	-
48	Rakovina neb jiné zhoubné nádory kùe	80	-	-	-	-	3	8	15	54	-
49	Rakovina neb jiné zhoubné nádory orgánù ostatních nebo blíe neurèenıch	1001	3	5	7	28	55	93	397	413	-
50	Nádory, je nejsou zhoubné, neb jich zhoubná povaha není specifikovaná	139	4	3	9	8	12	17	38	48	-
51	Prudkı horeèatı hostec kloubní	28	2	2	7	9	3	2	1	2	-
52	Vleklı hostec, dna	89	-	-	2	2	7	3	22	53	-
53	Kurdìje	4	2	1	-	-	-	-	1	-	-
56	Køivice	180	118	61	1	-	-	-	-	-	-
57	Cukrovka	490	-	4	7	25	47	43	172	192	-
59	Nedokrevnost zhoubná	120	14	9	4	3	13	16	43	18	-
58a	Jiné nedokrevnosti a blednièka	18	4	3	-	1	2	2	3	3	-
58b	Nemoci hypophysy	2	-	-	-	-	-	1	1	-	-
60a	Basedowova nemoc	17	-	-	-	-	1	10	5	1	-
60b	Jiná onemocnìní štítné lázy	15	-	-	-	1	2	5	3	4	-
61	Nemoci lázek pøištítnıch	16	14	2	-	-	-	-	-	-	-
62	Nemoci brzlíku	17	13	2	-	2	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	6	-	-	-	-	3	2	-	1	-
64	Nemoci sleziny	9	1	1	-	-	4	2	1	-	-
65	Bìlokrevnost neb Hodgkinova nemoc	123	3	12	9	10	20	13	40	16	-
66	Alkoholismus	165	-	-	-	1	14	37	66	47	-
67	Vleklé otravy nerostnımi látkami	6	-	-	-	-	-	-	5	1	-
68	Vleklé otravy ústrojnımi látkami	3	-	-	-	-	1	1	-	1	-
69	Ostatní celkové nemoci	25	6	5	3	2	2	1	4	2	-
											
IV	Choroby systému nervového a smyslovıch orgánù	7646	1860	309	176	231	380	476	1523	2690	1
70	Zánìt mozku	101	13	13	7	15	18	12	16	7	-
71	Zánìt mozkovıch blan	601	143	174	92	61	50	27	35	19	-
72	Úbytì míchy	174	-	-	-	2	9	32	90	41	-
73	Jiné choroby míchy	199	2	3	9	23	30	21	66	45	-
74a	Vılev krevní do mozku	3447	-	-	3	6	50	185	996	2206	1
74b	Záha il mozkovıch	57	-	-	-	2	4	5	13	33	-
75a	Jednostranná obrna tìla	161	-	-	-	-	3	9	34	115	-
75b	Paralysis progressiva	363	-	-	-	11	92	97	113	50	-
75c	Jiné obrny	59	-	-	3	-	7	6	13	30	-
76	Ochrnutí spojené s duševní chorobou	5	-	-	-	-	-	2	3	-	-
77	Jiné duševní choroby	48	-	-	1	2	7	2	21	15	-
78	Padoucnice	178	5	7	16	51	49	19	16	15	-
79	Boec nepuerperální	5	-	-	2	1	-	1	-	1	-
80	Køeèe u dìtí	1744	1666	78	-	-	-	-	-	-	-
81	Posunèina	1	-	-	1	-	-	-	-	-	-
82b	Zánìt nervù	14	-	-	1	-	2	4	5	2	-
83	Zmìknutí mozku	102	-	-	-	1	2	8	25	66	-
84	Ostatní choroby systému nervového	265	6	18	22	32	43	41	63	40	-
86	Choroby ucha nebo dutin mastoideu	122	25	16	19	24	14	5	14	5	-
											
V	Choroby obìhu krevního	10201	46	37	117	232	500	771	2891	5604	3
87	Zánìt osrdce	30	1	-	5	3	4	1	10	6	-
88	Prudkı zánìt nitroblány nebo svalu srdeèního	159	-	7	19	25	57	45	3	3	-
89	Srdeèní angina	168	-	-	-	1	7	16	67	77	-
90	Jiné nemoci srdce	7549	42	25	90	192	400	653	2335	3809	3
91a	Vıdu	124	-	-	-	3	12	22	58	29	-
91b	Zkornatìní a jiné choroby tepen	2064	-	-	1	-	11	24	375	1653	-
92	Záha (nikoliv mozkovı)	67	1	1	1	5	6	8	33	12	-
93	Choroby il	21	1	-	-	1	2	1	8	8	-
94	Choroby systému mízního	16	1	4	1	1	1	1	2	5	-
95	Ostatní choroby obìhu krevního	2	-	-	-	1	-	-	-	1	-
96	Ostatní choroby obìhu krevního	1	-	-	-	-	-	-	-	1	-
											
VI	Choroby ústrojí dıchacího	11709	3668	1150	137	210	331	435	1611	4166	1
97	Choroby dutin nosních a jejich adnex	2	1	-	-	1	-	-	-	-	-
98	Choroby hrtanu	32	14	8	1	-	3	1	2	3	-
99a	Zánìt prùdušek prudkı	698	613	34	1	-	-	2	10	38	-
99b	Zánìt prùdušek vleklı	512	19	16	1	3	10	20	105	338	-
99c	Zánìt prùdušek bez blišího oznaèení (pod 5 let)	443	307	136	-	-	-	-	-	-	-
99d	Zánìt prùdušek bez blišího oznaèení (v 5 a více letech)	553	-	-	7	2	8	17	82	437	-
100	Lalùèkovı zánìt plic vèetnì zánìtu prùdušinek	2292	1269	326	25	22	38	29	138	444	1
101a	Zánìt plic lalokovı	951	162	102	22	45	72	73	190	285	-
101b	Zánìt plic bez blišího oznaèení	4108	1243	499	59	94	132	192	574	1315	-
102	Zánìt pohrudnice	364	23	19	16	33	32	34	91	116	-
103	Pøekrvení nebo krvácení parenchymatosní plic	159	13	3	1	5	4	5	15	113	-
104	Snì plicní	79	1	-	1	1	14	13	29	20	-
105	Záducha	365	1	2	-	-	4	15	105	238	-
106	Rozedma plic	1093	-	-	2	1	9	29	254	798	-
107	Ostatní choroby ústrojí dıchacího	58	2	5	1	3	5	5	16	21	-
											
VII	Choroby ústrojí zaívacího	7252	4414	331	144	192	319	382	738	732	-
108b	Choroby ústní dutiny a jejich adnex	14	8	3	1	-	2	-	-	-	-
109	Choroby hltanu nebo mandlí	81	11	14	15	8	12	7	7	7	-
110	Choroby jícnu	11	-	-	-	-	1	1	3	6	-
111a	Vøed aludeèní	426	2	1	2	15	94	92	153	67	-
111b	Vøed dvanácterníku	75	-	-	1	6	16	19	28	5	-
112	Jiné choroby aludeèní	50	1	-	1	-	4	4	8	32	-
113	Prùjem a zánìt støev (pod 2 roky)	4525	4319	206	-	-	-	-	-	-	-
114	Prùjem a zánìt støev (nad 2 roky)	247	-	48	26	12	16	13	32	100	-
115	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-
116	Choroby zavinìné intestinálními cizopasníky	-	-	-	-	-	-	-	-	-	-
117	Zánìt èervu a jeho okolí	340	1	22	54	74	59	48	52	30	-
118a	Kıla 	268	17	4	2	8	10	19	60	148	-
118b	Záha støevní	233	20	6	13	11	24	24	60	75	-
119b	Jiné choroby støev	54	5	4	2	3	4	6	12	18	-
120	Prudká atrofie jater	33	-	-	2	6	6	6	8	5	-
121	Hydativní nádor jater	1	-	-	-	-	-	-	-	1	-
122a	Svraštìní jater alkoholické	14	-	-	-	-	2	3	6	3	-
122b	Svraštìní jater neoznaèené jako alkoholické	382	-	2	-	2	18	70	190	100	-
123	luèové kaménky	56	-	-	1	1	2	12	20	20	-
124	Jiné choroby jater	166	1	5	1	9	11	22	53	64	-
125	Choroby mikteru	17	-	-	1	-	3	7	3	3	-
126	Zánìt pobøišnice bez oznaèení pøíèiny	259	29	16	22	37	35	29	43	48	-
											
VIII	Nevenerické choroby ústrojí urogenitálního a jejich adnex	2325	19	38	41	89	194	231	657	1056	-
128	Prudkı zánìt ledvin	91	16	28	19	9	1	4	11	3	-
129	Vleklı zánìt ledvin	1505	-	7	20	77	180	205	549	467	-
130	Chylurie	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
131	Jiné choroby ledvin a jejich adnex	87	1	1	1	-	8	12	25	39	-
132	Moèové kaménky	28	-	1	-	-	1	3	5	18	-
133	Choroby mìchıøe	169	2	-	1	1	3	4	12	146	-
134	Choroby moèové roury	21	-	1	-	2	-	-	7	11	-
135	Choroby lázy pøedstojné	423	-	-	-	-	1	3	48	371	-
136	Nevenerické choroby muskıch pohlavních orgánù	1	-	-	-	-	-	-	-	1	-
137	Boubel a jiné nezhoubné nádory vajeèníku	x	x	x	x	x	x	x	x	x	x
138	Zánìt vejcovodu nebo vøed v pánvi	x	x	x	x	x	x	x	x	x	x
139	Nádory dìloní	x	x	x	x	x	x	x	x	x	x
140	Nepuerperální krvácení z dìlohy	x	x	x	x	x	x	x	x	x	x
141	Ostatní choroby rodidel	x	x	x	x	x	x	x	x	x	x
142	Nepuerperální choroby prsu	x	x	x	x	x	x	x	x	x	x
											
IX	Puerperální stav	x	x	x	x	x	x	x	x	x	x
143a	Potrat 	x	x	x	x	x	x	x	x	x	x
143b	Mimodìloní tìhotenství	x	x	x	x	x	x	x	x	x	x
143c	Jiné nehody tìhotenské	x	x	x	x	x	x	x	x	x	x
144	Krvácení tìhotnıch a v šestinedìlí	x	x	x	x	x	x	x	x	x	x
145	Jiné nehody pøi porodu	x	x	x	x	x	x	x	x	x	x
146	Horeèka omladnic	x	x	x	x	x	x	x	x	x	x
