1930	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku										
MKN (1920)	Název	Celkem	0	1-4	5-14	15-24	25-39	40-49	50-64	65 a více	Nezjiš- tìno
											
	CELKEM ZEMØELİCH EN	69465	11058	2553	1885	3356	5890	4218	11747	28758	-
											
I	Nemoci epidemické a endemické	2575	541	707	696	125	141	81	152	132	-
1a	Tyf støevní	255	1	8	25	71	67	32	42	9	-
1b	Paratyfy	10	-	-	-	4	-	2	1	3	-
2	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-
3	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-
5a	Malarie	-	-	-	-	-	-	-	-	-	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-	-
6	Neštovice	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	294	102	162	29	1	-	-	-	-	-
8	Spála	175	3	83	74	9	6	-	-	-	-
9	Zajíkavı kašel	350	243	100	7	-	-	-	-	-	-
10	Záškrt	920	35	322	546	7	7	1	2	-	-
11a	Chøipka s plicními komplikacemi	88	25	6	3	4	9	4	14	23	-
11b	Chøipka bez komplikací plic	93	26	7	4	4	6	6	8	32	-
13	Zánìt pøíušnic	5	1	1	-	-	-	-	2	1	-
15	Choleroidní zánìt støev	1	-	1	-	-	-	-	-	-	-
16	Úplavice	6	-	1	1	1	-	-	2	1	-
19	Spirochetosa ikterohaemor	1	-	-	-	-	1	-	-	-	-
21	Rùe	292	98	8	2	11	21	24	70	58	-
22	Prudkı zánìt pøedních rohù míšních	5	-	3	2	-	-	-	-	-	-
23	Lethargùv zánìt støev	51	1	3	-	7	18	9	9	4	-
24	Epidemické ztrnutí šíje	26	5	1	2	6	6	3	2	1	-
25	Ostatní nemoci epidemické	3	1	1	1	-	-	-	-	-	-
											
II	Nemoci infekèní	7913	399	352	346	1694	2359	858	1216	689	-
26	Ozhøivka	1	-	-	-	-	1	-	-	-	-
27	Uhlák a snì slezinná	1	1	-	-	-	-	-	-	-	-
28	Vzteklina	-	-	-	-	-	-	-	-	-	-
29	Ztrnutí ranné	95	27	7	7	6	17	10	13	8	-
30	Mykosy	5	2	-	-	1	-	-	1	1	-
31	Tuberkulosa ústrojí dıchacího	6351	92	104	144	1559	2155	773	1014	510	-
32	Tuberkulosa mozkovıch blan nebo centrálního systému nervového	466	80	173	142	28	25	5	11	2	-
33	Tuberkulosa støev neb pobøišnice 	152	5	18	14	19	33	18	28	17	-
34	Tuberkulosa obratlù	75	1	-	1	7	15	9	18	24	-
35	Tuberkulosa kloubù	59	2	1	3	3	4	-	20	26	-
36a	Tuberkulosa kùe nebo podkoního vaziva	19	-	-	-	-	2	4	8	5	-
36b	Tuberkulosa kostí	112	-	1	4	11	10	7	31	48	-
36c	Tuberkulosa lymfatického systému	23	7	3	3	2	-	2	2	4	-
36d	Tuberkulosa ústrojí urogenitálního	10	-	-	-	3	5	1	1	-	-
36	Tuberkulosa jinıch orgánù	13	1	2	-	3	1	-	2	4	-
37a	Tuberkulosa prudká	79	12	23	16	21	6	-	1	-	-
37b	Tuberkulosa vleklá	1	-	-	-	-	-	-	1	-	-
37c	Tuberkulosa bez blišího oznaèení	24	-	-	-	-	11	2	7	4	-
38	Pøíjice	114	44	2	-	7	20	9	25	7	-
40	Kapavka	6	4	-	-	1	1	-	-	-	-
41	Otrava krve	307	121	18	12	23	53	18	33	29	-
42	Ostatní nemoci a infekèní	-	-	-	-	-	-	-	-	-	-
											
RA		7679	9	26	26	39	417	844	2855	3463	0
KR		43	10	6	1	4	5	6	7	4	0
EN		1010	90	39	24	42	78	79	281	377	0
DU		85	0	0	0	5	13	14	33	20	0
III	Celkové nemoci vıše nejmenované	8944	120	78	65	98	529	969	3210	3875	-
43	Rakovina neb jiné zhoubné nádory dutiny ústní	42	-	2	-	2	6	2	9	21	-
44	Rakovina neb jiné zhoubné nádory aludku, jater	3637	-	-	1	3	71	239	1325	1998	-
45	Rakovina neb jiné zhoubné nádory pobøišnice, støev neb koneèníku	867	-	-	2	8	40	84	303	430	-
46	Rakovina neb jiné zhoubné nádory rodidel	1527	-	-	-	6	164	318	648	391	x
47	Rakovina neb jiné zhoubné nádory prsu	443	-	-	-	-	31	83	179	150	-
48	Rakovina neb jiné zhoubné nádory kùe	130	-	-	-	-	-	2	20	108	-
49	Rakovina neb jiné zhoubné nádory orgánù ostatních nebo blíe neurèenıch	740	4	6	9	17	64	80	283	277	-
50	Nádory, je nejsou zhoubné, neb jich zhoubná povaha není specifikovaná	191	3	11	3	1	21	22	61	69	-
51	Prudkı horeèatı hostec kloubní	27	-	1	11	4	7	2	1	1	-
52	Vleklı hostec, dna	155	-	-	1	6	7	8	25	108	-
53	Kurdìje	4	1	2	-	-	-	-	1	-	-
56	Køivice	76	46	28	1	1	-	-	-	-	-
57	Cukrovka	552	-	-	8	16	33	40	208	247	-
59	Nedokrevnost zhoubná	158	1	4	8	9	22	37	59	18	-
58a	Jiné nedokrevnosti a blednièka	32	10	5	1	2	5	2	5	2	-
58b	Nemoci hypophysy	2	-	-	-	-	-	1	1	-	-
60a	Basedowova nemoc	93	-	-	-	11	22	17	34	9	-
60b	Jiná onemocnìní štítné lázy	33	-	-	2	2	4	6	8	11	-
61	Nemoci lázek pøištítnıch	33	27	4	1	-	1	-	-	-	-
62	Nemoci brzlíku	22	16	4	-	1	1	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	13	-	-	-	1	3	5	3	1	-
64	Nemoci sleziny	9	-	1	-	2	-	3	1	2	-
65	Bìlokrevnost neb Hodgkinova nemoc	102	2	7	11	2	20	14	27	19	-
66	Alkoholismus	16	-	-	-	-	2	1	4	9	-
67	Vleklé otravy nerostnımi látkami	-	-	-	-	-	-	-	-	-	-
68	Vleklé otravy ústrojnımi látkami	-	-	-	-	-	-	-	-	-	-
69	Ostatní celkové nemoci	40	10	3	6	4	5	3	5	4	-
											
IV	Choroby systému nervového a smyslovıch orgánù	6708	1118	196	144	146	330	386	1333	3055	-
70	Zánìt mozku	88	16	11	8	10	16	11	10	6	-
71	Zánìt mozkovıch blan	409	80	108	90	37	38	18	26	12	-
72	Úbytì míchy	81	-	-	-	2	6	10	39	24	-
73	Jiné choroby míchy	192	1	1	4	9	43	29	54	51	-
74a	Vılev krevní do mozku	3742	-	1	1	12	46	171	930	2581	-
74b	Záha il mozkovıch	64	-	1	1	3	3	2	22	32	-
75a	Jednostranná obrna tìla	187	-	-	-	1	1	6	46	133	-
75b	Paralysis progressiva	174	-	-	-	3	37	43	54	37	-
75c	Jiné obrny	36	2	-	2	2	3	3	8	16	-
76	Ochrnutí spojené s duševní chorobou	-	-	-	-	-	-	-	-	-	-
77	Jiné duševní choroby	69	-	-	-	5	11	13	29	11	-
78	Padoucnice	149	-	4	10	26	44	27	19	19	-
79	Boec nepuerperální	9	-	-	1	3	3	1	-	1	-
80	Køeèe u dìtí	1045	998	47	-	-	-	-	-	-	-
81	Posunèina	1	-	-	1	-	-	-	-	-	-
82b	Zánìt nervù	11	-	-	-	1	1	2	2	5	-
83	Zmìknutí mozku	95	-	-	1	-	6	6	24	58	-
84	Ostatní choroby systému nervového	287	3	15	18	19	66	39	64	63	-
86	Choroby ucha nebo dutin mastoideu	69	18	8	7	13	6	5	6	6	-
											
V	Choroby obìhu krevního	12841	54	35	126	229	608	819	3163	7807	-
87	Zánìt osrdce	11	1	-	2	2	2	-	3	1	-
88	Prudkı zánìt nitroblány nebo svalu srdeèního	163	7	8	23	26	64	32	1	2	-
89	Srdeèní angina	133	-	1	2	-	2	8	39	81	-
90	Jiné nemoci srdce	10322	39	23	96	190	499	718	2798	5959	-
91a	Vıdu	43	-	-	-	-	1	4	17	21	-
91b	Zkornatìní a jiné choroby tepen	1915	-	-	-	2	4	15	226	1668	-
92	Záha (nikoliv mozkovı)	148	1	-	-	5	32	31	41	38	-
93	Choroby il	77	-	-	-	-	3	9	32	33	-
94	Choroby systému mízního	20	6	3	2	2	1	2	3	1	-
95	Ostatní choroby obìhu krevního	8	-	-	1	2	-	-	2	3	-
96	Ostatní choroby obìhu krevního	1	-	-	-	-	-	-	1	-	-
											
VI	Choroby ústrojí dıchacího	8014	2376	714	160	118	270	251	992	3133	-
97	Choroby dutin nosních a jejich adnex	4	2	-	1	1	-	-	-	-	-
98	Choroby hrtanu	30	19	6	2	-	1	1	-	1	-
99a	Zánìt prùdušek prudkı	326	275	14	2	1	1	3	5	25	-
99b	Zánìt prùdušek vleklı	282	11	17	-	1	3	7	40	203	-
99c	Zánìt prùdušek bez blišího oznaèení (pod 5 let)	219	169	50	-	-	-	-	-	-	-
99d	Zánìt prùdušek bez blišího oznaèení (v 5 a více letech)	258	-	-	8	1	3	4	31	211	-
100	Lalùèkovı zánìt plic vèetnì zánìtu prùdušinek	2169	1038	288	47	24	48	42	149	533	-
101a	Zánìt plic lalokovı	992	143	92	36	22	73	57	218	351	-
101b	Zánìt plic bez blišího oznaèení	2429	685	221	50	43	99	95	325	911	-
102	Zánìt pohrudnice	266	19	21	10	15	26	18	66	91	-
103	Pøekrvení nebo krvácení parenchymatosní plic	161	12	3	1	-	4	5	20	116	-
104	Snì plicní	28	-	-	2	5	3	7	6	5	-
105	Záducha	169	1	-	-	3	3	1	24	137	-
106	Rozedma plic	633	-	-	-	-	2	6	100	525	-
107	Ostatní choroby ústrojí dıchacího	48	2	2	1	2	4	5	8	24	-
											
VII	Choroby ústrojí zaívacího	5155	2757	246	170	143	307	240	555	737	-
108b	Choroby ústní dutiny a jejich adnex	28	9	1	2	2	4	3	2	5	-
109	Choroby hltanu nebo mandlí	143	16	30	42	12	14	5	13	11	-
110	Choroby jícnu	6	-	-	1	1	1	-	1	2	-
111a	Vøed aludeèní	168	-	-	-	-	27	36	59	46	-
111b	Vøed dvanácterníku	31	1	-	2	-	3	7	10	8	-
112	Jiné choroby aludeèní	50	-	-	2	2	2	6	11	27	-
113	Prùjem a zánìt støev (pod 2 roky)	2820	2688	132	-	-	-	-	-	-	-
114	Prùjem a zánìt støev (nad 2 roky)	202	-	37	20	2	12	12	29	90	-
115	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-
116	Choroby zavinìné intestinálními cizopasníky	-	-	-	-	-	-	-	-	-	-
117	Zánìt èervu a jeho okolí	276	5	16	45	63	49	31	42	25	-
118a	Kıla 	224	3	-	-	-	14	18	60	129	-
118b	Záha støevní	233	14	7	6	12	26	12	51	105	-
119b	Jiné choroby støev	37	2	-	1	3	7	5	6	13	-
120	Prudká atrofie jater	36	-	-	3	1	10	4	8	10	-
121	Hydativní nádor jater	2	-	-	-	1	-	-	-	1	-
122a	Svraštìní jater alkoholické	-	-	-	-	-	-	-	-	-	-
122b	Svraštìní jater neoznaèené jako alkoholické	208	1	-	-	2	11	27	80	87	-
123	luèové kaménky	146	-	-	-	1	19	19	59	48	-
124	Jiné choroby jater	203	2	1	2	8	19	18	72	81	-
125	Choroby mikteru	18	-	-	-	1	3	3	6	5	-
126	Zánìt pobøišnice bez oznaèení pøíèiny	324	16	22	44	32	86	34	46	44	-
											
VIII	Nevenerické choroby ústrojí urogenitálního a jejich adnex	1809	35	39	47	92	262	268	514	552	-
128	Prudkı zánìt ledvin	111	16	24	30	4	10	5	15	7	-
129	Vleklı zánìt ledvin	1284	1	6	14	57	150	176	423	457	-
130	Chylurie	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
131	Jiné choroby ledvin a jejich adnex	100	11	6	2	6	12	12	24	27	-
132	Moèové kaménky	28	-	-	-	-	5	4	7	12	-
133	Choroby mìchıøe	28	5	2	-	2	-	2	2	15	-
134	Choroby moèové roury	9	1	-	-	-	1	-	1	6	-
135	Choroby lázy pøedstojné	x	x	x	x	x	x	x	x	x	-
136	Nevenerické choroby muskıch pohlavních orgánù	x	x	x	x	x	x	x	x	x	-
137	Boubel a jiné nezhoubné nádory vajeèníku	50	-	-	-	4	13	9	15	9	-
138	Zánìt vejcovodu nebo vøed v pánvi	37	-	-	-	4	23	7	1	2	-
139	Nádory dìloní	68	-	-	-	-	10	38	13	7	-
140	Nepuerperální krvácení z dìlohy	10	-	-	-	2	3	4	1	-	-
141	Ostatní choroby rodidel	80	-	1	1	11	35	11	11	10	-
142	Nepuerperální choroby prsu	4	1	-	-	2	-	-	1	-	-
											
IX	Puerperální stav	1012	-	-	1	271	659	80	1	-	-
143a	Potrat 	59	-	-	-	16	36	7	-	-	-
143b	Mimodìloní tìhotenství	51	-	-	-	4	40	6	1	-	-
143c	Jiné nehody tìhotenské	-	-	-	-	-	-	-	-	-	-
144	Krvácení tìhotnıch a v šestinedìlí	87	-	-	1	13	66	7	-	-	-
145	Jiné nehody pøi porodu	62	-	-	-	11	47	4	-	-	-
146	Horeèka omladnic	632	-	-	-	190	397	45	-	-	-
147	Phlegmasia albadolens, embolie nebo náhlá smrt puerperální	33	-	-	-	6	23	4	-	-	-
148	Albuminurie nebo boec v šestinedìlí	79	-	-	-	29	43	7	-	-	-
149	Následky porodu (bez blišího oznaèení)	9	-	-	-	2	7	-	-	-	-
150	Puerperální choroby prsu	-	-	-	-	-	-	-	-	-	-
											
X	Choroby kùe a vaziva	547	333	9	4	4	13	11	27	146	-
151	Snì	91	3	1	2	-	1	4	9	71	-
152	Neit	224	202	3	2	2	7	1	1	6	-
153	Zánìt podkoního vaziva, horeènatı vøed	71	40	4	-	1	2	4	8	12	-
155	Ostatní choroby kùe neb jejich adnex	161	88	1	-	1	3	2	9	57	-
											
XI	Choroby kostí a ústrojí pohybového	185	7	9	18	10	15	13	28	85	-
156	Choroby kostí	148	7	8	16	9	10	10	20	68	-
157	Choroby kloubù	33	-	1	2	1	4	3	8	14	-
158	Ostatní choroby kostí nebo ústrojí pohybového	4	-	-	-	-	1	-	-	3	-
											
XII	Zrùdnost vrozená	209	205	4	-	-	-	-	-	-	-
159	Zrùdnost vrozená	209	205	4	-	-	-	-	-	-	-
											
XIII	Ranı vìk	3014	3014	-	-	-	-	-	-	-	-
160b	Vrozená slabost, loutenka a skleroma	1576	1576	-	-	-	-	-	-	-	-
161	Pøedèasné narození nebo rùzné následky porodu	1118	1118	-	-	-	-	-	-	-	-
162	Ostatní zvláštní choroby raného vìku	319	319	-	-	-	-	-	-	-	-
163	Nedostatek péèe	1	1	-	-	-	-	-	-	-	-
											
XIV		8145	10	3	6	4	5	3	125	7989	0
164	Stáøí	8105	-	-	-	-	-	-	120	7985	-
											
XV	Zevní pøíèiny 	1979	52	144	99	419	358	196	318	393	-
SE		990	0	0	5	286	242	116	188	153	0
165	Sebevrada otravou jedy	80	-	-	1	25	24	9	17	4	-
166	Sebevrada otravou poitím íravin	92	-	-	-	41	27	9	9	6	-
167	Sebevrada vdechováním jedovatıch plynù	48	-	-	-	16	16	6	7	3	-
168	Sebevrada obìšením neb uškrcením	368	-	-	1	47	85	50	95	90	-
169	Sebevrada utopením	182	-	-	1	52	42	17	38	32	-
170	Sebevrada zastøelením	60	-	-	1	35	18	5	1	-	-
171	Sebevrada nástroji øeznımi neb bodnımi	18	-	-	-	1	4	7	2	4	-
172	Sebevrada skokem s vıše	24	-	-	-	7	5	4	4	4	-
173	Sebevrada rozdrcením	80	-	-	1	52	10	6	7	4	-
174	Sebevrada jinım zpùsobem	38	-	-	-	10	11	3	8	6	-
175	Otrava potravinami	12	-	3	1	2	1	3	-	2	-
176	Uštknutí neb štípnutí	2	-	-	1	-	-	-	-	1	-
177	Jiné prudké otravy náhodné (vyjma plyny)	22	-	2	4	3	4	5	4	-	-
178	Úraz pøi poáru	2	-	-	-	-	-	-	1	1	-
179	Náhodné popálení (vyjma pøi poáru)	155	10	58	18	11	15	9	7	27	-
180	Náhodné mechanické udušení (vyjma pøi poáru)	16	7	1	1	3	2	1	1	-	-
181	Vdechování plynù nedıchatelnıch neb jedovatıch	34	1	3	1	6	4	2	4	13	-
182	Náhodné utopení	118	3	43	20	18	9	6	8	11	-
183	Poranìní støelnou zbraní	7	-	-	2	2	2	1	-	-	-
184	Poranìní nástroji øeznımi neb bodnımi	13	-	2	2	-	1	-	3	5	-
185	Poranìní pádem	34	1	2	2	2	1	1	7	18	-
186	Poranìní v dolech neb lomech	2	-	-	-	-	1	-	-	1	-
187	Poranìní stroji	3	-	-	1	2	-	-	-	-	-
DN		98	0	7	14	17	14	9	17	20	0
188a	Poranìní eleznicemi a tramvajemi	26	-	1	-	7	5	3	5	5	-
188b	Poranìní automobily	53	-	3	11	5	6	5	10	13	-
188c	Poranìní motocykly	8	-	1	-	2	1	1	1	2	-
188d	Poranìní aeroplány a balony	2	-	-	-	-	2	-	-	-	-
188	Poranìní jinımi dopravními prostøedky	9	-	2	3	3	-	-	1	-	-
188f	Poranìní jinım zhmodìním	125	2	9	12	10	16	10	22	44	-
189	Poranìní zpùsobená zvíøaty	4	-	-	-	-	-	-	1	3	-
