1931	Zemřelé ženy podle podrobného seznamu příčin smrti a věku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- těno
												
	CELKEM ZEMŘELÝCH ŽEN	70889	9797	2138	1823	3330	4052	3891	5427	9130	31291	10
												
I	Nemoci nakažlivé a cizopasné	10552	778	806	1009	1872	1907	1199	946	990	1044	1
1	Tyf břišní	216	3	3	16	55	57	18	36	22	6	-
2	Paratyfy	7	-	-	-	3	1	1	1	-	1	-
3	Tyf skvrnitý	-	-	-	-	-	-	-	-	-	-	-
5	Horečka vlnitá, maltská	2	-	-	-	1	-	1	-	-	-	-
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-
7	Spalničky	173	73	80	19	1	-	-	-	-	-	-
8	Spála	127	1	51	56	6	6	5	1	-	1	-
9	Kašel zádušný	188	131	53	4	-	-	-	-	-	-	-
10	Záškrt	849	18	267	544	11	3	2	2	-	2	-
11a	Chřipka neboli influenza s komplikacemi dýchadel	267	53	22	4	13	8	18	16	35	98	-
11b	Chřipka neboli influenza bez údaje takových komplikací	227	43	10	10	11	9	16	13	25	90	-
13a	Úplavice střevní amoebová	-	-	-	-	-	-	-	-	-	-	-
13b	Úplavice střevní bacilární	-	-	-	-	-	-	-	-	-	-	-
13c	Úplavice střevní nerozlišená nebo z jiné příčiny	4	-	-	1	1	-	-	1	-	1	-
15	Růže	219	66	10	2	4	8	15	16	30	68	-
16	Prudký zánět šedé hmoty míšní a prudký zánět šedé hmoty mozkové	15	1	4	6	2	1	-	-	1	-	-
17	Zánět mozku lethargický neboli epidemický	38	-	1	3	4	9	6	4	5	6	-
18	Epidemický zánět plen mozkových a míšních	30	10	4	2	4	3	5	2	-	-	-
19	Ozhřivka 	-	-	-	-	-	-	-	-	-	-	-
20	Uhlák	-	-	-	-	-	-	-	-	-	-	-
21	Vzteklina	-	-	-	-	-	-	-	-	-	-	-
22	Ztrnutí	86	30	5	10	8	2	4	12	4	11	-
23(4)	Tuberkulosa ústrojí dýchacího	6701	108	95	143	1633	1677	980	737	722	605	1
24	Tuberkulosa plen a ústřední soustavy čivové	415	74	148	117	27	16	13	10	7	3	-
25	Tuberkulosa střev a pobřišnice	149	4	12	27	19	26	20	14	19	8	-
26	Tuberkulosa páteře	87	-	2	5	9	8	10	8	22	23	-
27	Tuberkulosa kostí a kloubů	181	6	1	5	10	11	15	21	41	71	-
28	Tuberkulosa kůže a podkožního tuku	17	-	1	-	1	2	1	1	5	6	-
29	Tuberkulosa soustavy mízní	23	5	7	1	-	2	1	1	3	3	-
30	Tuberkulosa ústrojí pohlavního a močového	17	-	-	-	6	1	5	2	2	1	-
31	Tuberkulosa jiných míst	8	-	2	-	-	1	3	-	1	1	-
32	Tuberkulosa roztroušená	99	8	13	13	27	13	11	7	4	3	-
33	Malomocenství	-	-	-	-	-	-	-	-	-	-	-
34a	Příjice vrozená	50	47	3	-	-	-	-	-	-	-	-
34b	Příjice získaná	24	-	-	-	2	6	6	4	4	2	-
34c	Příjice nerozlišená	68	-	-	-	3	8	25	15	8	9	-
35	Kapavka a jiné nemoci pohlavní	1	1	-	-	-	-	-	-	-	-	-
												
36a	Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve	225	80	9	18	9	24	15	19	28	23	-
36b	Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve	20	11	-	2	1	2	2	1	-	1	-
