1937	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku												
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- tìno	
													
	CELKEM ZEMØELİCH MUÙ	70723	8910	1741	1973	2467	3630	4602	6467	10962	29966	5	
													
I	Nemoci nakalivé a cizopasné	10161	590	644	969	865	1453	1509	1456	1462	1213	-	
1	Tyf bøišní	144	1	4	14	33	48	18	15	7	4	-	
2	Paratyfy	4	-	-	-	2	2	-	-	-	-	-	
3	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-	-	
5	Horeèka vlnitá, maltská	-	-	-	-	-	-	-	-	-	-	-	
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-	
7	Spalnièky	71	26	36	8	-	1	-	-	-	-	-	
8	Spála	141	5	65	61	6	2	2	-	-	-	-	
9	Kašel zádušnı	104	77	24	3	-	-	-	-	-	-	-	
10	Záškrt	973	42	294	597	33	2	4	1	-	-	-	
11a	Chøipka neboli influenza s komplikacemi dıchadel	359	78	26	9	12	15	23	33	40	123	-	
11b	Chøipka neboli influenza bez údaje takovıch komplikací	268	55	14	10	8	16	11	21	32	101	-	
13a	Úplavice støevní amoebová	-	-	-	-	-	-	-	-	-	-	-	
13b	Úplavice støevní bacilární	1	-	-	-	-	1	-	-	-	-	-	
13c	Úplavice støevní nerozlišená nebo z jiné pøíèiny	-	-	-	-	-	-	-	-	-	-	-	
15	Rùe	184	47	2	7	4	9	9	15	32	59	-	
16	Prudkı zánìt šedé hmoty míšní a prudkı zánìt šedé hmoty mozkové	21	2	5	8	4	2	-	-	-	-	-	
17	Zánìt mozku lethargickı neboli epidemickı	50	1	-	2	4	15	10	6	8	4	-	
18	Epidemickı zánìt plen mozkovıch a míšních	25	4	2	5	8	2	3	-	-	1	-	
19	Ozhøivka 	-	-	-	-	-	-	-	-	-	-	-	
20	Uhlák	2	-	-	-	1	-	-	1	-	-	-	
21	Vzteklina	1	-	-	-	-	-	-	1	-	-	-	
22	Ztrnutí	88	24	1	22	5	11	8	5	7	5	-	
23(4)	Tuberkulosa ústrojí dıchacího	6420	52	48	78	641	1232	1265	1170	1169	765	-	
24	Tuberkulosa plen a ústøední soustavy èivové	296	32	92	90	35	9	18	10	10	-	-	
25	Tuberkulosa støev a pobøišnice	72	4	2	8	8	15	13	8	7	7	-	
26	Tuberkulosa páteøe	66	-	1	6	9	11	7	10	7	15	-	
27	Tuberkulosa kostí a kloubù	135	3	1	7	16	8	13	15	22	50	-	
28	Tuberkulosa kùe a podkoního tuku	7	-	-	-	-	1	-	1	2	3	-	
29	Tuberkulosa soustavy mízní	19	2	4	-	1	-	-	7	1	4	-	
30	Tuberkulosa ústrojí pohlavního a moèového	39	-	-	-	1	9	12	6	6	5	-	
31	Tuberkulosa jinıch míst	10	-	-	-	2	-	1	2	3	2	-	
32	Tuberkulosa roztroušená	75	15	7	11	11	6	4	12	6	3	-	
33	Malomocenství	-	-	-	-	-	-	-	-	-	-	-	
34a	Pøíjice vrozená	56	46	3	4	2	1	-	-	-	-	-	
34b	Pøíjice získaná	183	-	-	-	-	2	29	62	62	28	-	
34c	Pøíjice nerozlišená	86	-	-	1	1	9	34	25	11	5	-	
35	Kapavka a jiné nemoci pohlavní	5	1	1	-	1	1	-	-	1	-	-	
													
36a	Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve	219	68	10	15	15	18	21	23	22	27	-	
36b	Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve	10	2	-	1	1	-	2	3	-	1	-	
36c	Hnisavá nákaza a otrava krve nikoli poporodní: snì plynová	3	-	-	1	-	-	1	-	-	1	-	
38a	Zimnice malarická	9	-	-	-	-	1	-	2	6	-	-	
38b	Kachexie malarická	-	-	-	-	-	-	-	-	-	-	-	
39	Jiné nemoci, zavinìné cizopasnımi prvoky	-	-	-	-	-	-	-	-	-	-	-	
40	Ankylostomiasa	-	-	-	-	-	-	-	-	-	-	-	
41a	Boubel mìchoilová jater	1	-	-	-	-	1	-	-	-	-	-	
41b	Boubel mìchoilová jinıch míst	1	-	-	-	-	-	-	1	-	-	-	
42	Jiné nemoci zavinìné èervy	-	-	-	-	-	-	-	-	-	-	-	
43	Mykosy	6	-	-	-	1	2	1	1	1	-	-	
44	Jiné nemoci nakalivé nebo cizopasníky pùsobené	7	3	2	1	-	1	-	-	-	-	-	
													
II	Rakoviny a jiné nádory	7920	6	19	39	44	115	372	1001	2236	4088	-	
45	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu	279	-	1	-	1	4	9	21	71	172	-	
													
46a	Rakovina a jiné zhoubné nádory: poeráku	532	-	-	-	-	1	11	48	154	318	-	
46b	Rakovina a jiné zhoubné nádory: aludku a dvanáctníku	3490	-	-	-	1	27	158	429	1031	1844	-	
46c	Rakovina a jiné zhoubné nádory: koneèníku	507	-	-	1	3	7	8	57	153	278	-	
46d	Rakovina a jiné zhoubné nádory: jater a luèovodù	558	-	-	-	-	1	24	53	167	313	-	
46	Rakovina a jiné zhoubné nádory: slinivky bøišní	96	-	-	-	2	1	3	18	37	35	-	
46f	Rakovina a jiné zhoubné nádory: pobøišnice	39	-	-	-	-	1	3	8	11	16	-	
46g	Rakovina a jiné zhoubné nádory: jiné nádory roury zaívací a pobøišnice	454	-	-	3	2	10	21	45	120	253	-	
47	Rakovina a jiné zhoubné nádory: ústrojí dıchacího	477	-	-	-	2	5	33	124	168	145	-	
48	Rakovina a jiné zhoubné nádory: dìlohy	x	x	x	x	x	x	x	x	x	x	x	
49	Rakovina a jiné zhoubné nádory: jinıch pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x	
50	Rakovina a jiné zhoubné nádory: prsù	5	-	-	-	-	-	-	2	-	3	-	
51	Rakovina a jiné zhoubné nádory: pohlavních a moèovıch ústrojù muskıch	506	-	3	4	1	10	11	33	118	326	-	
52	Rakovina a jiné zhoubné nádory: kùe	137	1	1	-	-	-	3	13	20	99	-	
53	Rakovina a jiné zhoubné nádory: jinıch ústrojù neb ústrojù nerozlišenıch	480	1	4	10	19	26	40	78	112	190	-	
													
54a	Nádory nezhoubné: pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x	
54b	Nádory nezhoubné: jinıch ústrojù	9	-	2	-	1	-	-	3	1	2	-	
													
55a	Nádory, jich zhoubnı ráz není rozlišen: pohlavních ústrojù enskıch	 x	x	x	x	x	x	x	x	x	x	x	
55b	Nádory, jich zhoubnı ráz není rozlišen: jinıch ústrojù	351	4	8	21	12	22	48	69	73	94	-	
													
III	Nemoci rheumatické, nemoci vıivové, nemoci endokrinních láz a jiné nemoci celkové	1123	116	31	44	43	41	58	98	234	458	-	
56	Rheumatismus kloubní prudkı, horeènatı	73	-	5	28	11	9	8	6	2	4	-	
57	Rheumatismus vleklı, osteoarthritis	110	-	-	1	1	1	7	6	17	77	-	
58	Dna	5	-	-	-	-	-	-	-	-	5	-	
59	Úplavice cukrová	716	3	2	10	20	24	32	72	199	354	-	
	Kurdìje	-	-	-	-	-	-	-	-	-	-	-	
60a	Dìtské kurdìje	1	1	-	-	-	-	-	-	-	-	-	
60b	Kurdìje	-	-	-	-	-	-	-	-	-	-	-	
62	Pellagra	1	-	-	-	-	-	1	-	-	-	-	
63	Køivice	74	53	15	2	-	1	2	-	1	-	-	
64	Mìknutí kostí	-	-	-	-	-	-	-	-	-	-	-	
65	Nemoci podvìsku mozkového	-	-	-	-	-	-	-	-	-	-	-	
													
66a	Nemoci lázy štítné a pøídavnıch lázek štítnıch: vole prosté	15	-	-	-	2	2	-	3	2	6	-	
