1939	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- tìno
												
	CELKEM ZEMØELİCH MUÙ	47869	5766	1186	1167	1563	2376	3304	4683	7600	20219	5
												
I	Nemoci nakalivé a cizopasné	6984	429	460	520	607	948	1057	1130	976	857	-
1	Tyf bøišní	113	-	6	9	30	21	21	14	12	-	-
2	Paratyfy	7	-	-	-	1	-	3	-	2	1	-
3	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnitá, maltská	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	106	42	53	11	-	-	-	-	-	-	-
8	Spála	61	7	32	21	-	1	-	-	-	-	-
9	Kašel zádušnı	99	78	19	2	-	-	-	-	-	-	-
10	Záškrt	486	17	157	284	23	3	-	-	1	1	-
11a	Chøipka neboli influenza s komplikacemi dıchadel	275	46	13	6	6	12	17	18	37	120	-
11b	Chøipka neboli influenza bez údaje takovıch komplikací	181	33	7	3	9	4	6	9	20	90	-
13a	Úplavice støevní amoebová	-	-	-	-	-	-	-	-	-	-	-
13b	Úplavice støevní bacilární	1	-	-	-	-	-	-	-	1	-	-
13c	Úplavice støevní nerozlišená nebo z jiné pøíèiny	3	1	-	-	-	-	-	1	1	-	-
15	Rùe	88	30	3	1	2	5	7	3	10	27	-
16	Prudkı zánìt šedé hmoty míšní a prudkı zánìt šedé hmoty mozkové	85	5	25	21	12	16	2	3	1	-	-
17	Zánìt mozku lethargickı neboli epidemickı	23	-	-	-	1	3	5	6	5	3	-
18	Epidemickı zánìt plen mozkovıch a míšních	94	11	15	18	32	8	5	2	3	-	-
19	Ozhøivka 	-	-	-	-	-	-	-	-	-	-	-
20	Uhlák	1	-	-	-	-	-	-	1	-	-	-
21	Vzteklina	-	-	-	-	-	-	-	-	-	-	-
22	Ztrnutí	75	15	4	16	4	5	8	10	5	8	-
23(4)	Tuberkulosa ústrojí dıchacího	4429	36	35	41	419	810	894	944	750	500	-
24	Tuberkulosa plen a ústøední soustavy èivové	195	24	70	47	19	11	7	9	1	7	-
25	Tuberkulosa støev a pobøišnice	52	3	4	2	10	8	8	7	7	3	-
26	Tuberkulosa páteøe	56	-	-	5	11	6	6	5	14	9	-
27	Tuberkulosa kostí a kloubù	89	-	1	9	9	5	6	14	19	26	-
28	Tuberkulosa kùe a podkoního tuku	10	-	-	1	-	-	-	2	3	4	-
29	Tuberkulosa soustavy mízní	9	2	-	1	-	1	1	1	1	2	-
