1939	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- tìno
												
	CELKEM ZEMØELİCH EN	45651	4465	1098	1035	1310	2125	2517	3574	6159	23367	1
												
I	Nemoci nakalivé a cizopasné	5685	352	419	557	693	906	691	533	628	906	-
1	Tyf bøišní	108	-	4	18	24	21	18	10	11	2	-
2	Paratyfy	8	1	-	1	2	2	1	-	-	1	-
3	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnitá, maltská	1	-	-	-	-	-	-	1	-	-	-
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	107	44	48	14	-	-	-	-	1	-	-
8	Spála	82	3	41	32	1	3	1	-	1	-	-
9	Kašel zádušnı	109	82	25	2	-	-	-	-	-	-	-
10	Záškrt	449	19	131	262	31	-	2	1	1	2	-
11a	Chøipka neboli influenza s komplikacemi dıchadel	251	36	7	3	5	8	10	12	28	142	-
11b	Chøipka neboli influenza bez údaje takovıch komplikací	187	21	8	8	2	6	2	2	21	117	-
13a	Úplavice støevní amoebová	-	-	-	-	-	-	-	-	-	-	-
13b	Úplavice støevní bacilární	1	-	-	-	-	1	-	-	-	-	-
13c	Úplavice støevní nerozlišená nebo z jiné pøíèiny	4	-	-	1	-	-	-	-	-	3	-
15	Rùe	94	20	2	1	-	4	4	13	12	38	-
16	Prudkı zánìt šedé hmoty míšní a prudkı zánìt šedé hmoty mozkové	61	4	16	17	10	6	4	1	2	1	-
17	Zánìt mozku lethargickı neboli epidemickı	26	-	1	2	2	6	9	2	4	-	-
18	Epidemickı zánìt plen mozkovıch a míšních	59	7	18	17	3	3	4	3	3	1	-
19	Ozhøivka 	-	-	-	-	-	-	-	-	-	-	-
20	Uhlák	-	-	-	-	-	-	-	-	-	-	-
21	Vzteklina	-	-	-	-	-	-	-	-	-	-	-
22	Ztrnutí	44	5	1	7	4	5	5	5	5	7	-
23(4)	Tuberkulosa ústrojí dıchacího	3358	23	36	85	563	787	575	408	455	426	-
24	Tuberkulosa plen a ústøední soustavy èivové	168	20	58	52	16	6	6	6	2	2	-
25	Tuberkulosa støev a pobøišnice	57	1	1	7	11	7	6	13	6	5	-
26	Tuberkulosa páteøe	70	-	1	4	1	4	7	11	18	24	-
27	Tuberkulosa kostí a kloubù	115	-	2	3	3	6	6	6	14	75	-
28	Tuberkulosa kùe a podkoního tuku	17	-	-	-	1	-	1	2	3	10	-
29	Tuberkulosa soustavy mízní	7	1	1	-	-	2	-	-	1	2	-
30	Tuberkulosa ústrojí pohlavního a moèového	6	-	-	1	1	1	-	1	1	1	-
31	Tuberkulosa jinıch míst	10	-	-	-	-	1	-	-	4	5	-
32	Tuberkulosa roztroušená	37	4	11	6	4	3	2	-	2	5	-
33	Malomocenství	-	-	-	-	-	-	-	-	-	-	-
34a	Pøíjice vrozená	26	22	2	1	-	1	-	-	-	-	-
34b	Pøíjice získaná	63	-	-	-	-	3	8	19	16	17	-
34c	Pøíjice nerozlišená	42	-	-	-	2	10	8	8	6	8	-
35	Kapavka a jiné nemoci pohlavní	-	-	-	-	-	-	-	-	-	-	-
												
36a	Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve	102	35	3	11	5	8	11	9	10	10	-
36b	Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve	7	1	-	1	2	-	1	-	1	1	-
36c	Hnisavá nákaza a otrava krve nikoli poporodní: snì plynová	2	-	-	1	-	-	-	-	-	1	-
38a	Zimnice malarická	1	1	-	-	-	-	-	-	-	-	-
38b	Kachexie malarická	-	-	-	-	-	-	-	-	-	-	-
39	Jiné nemoci, zavinìné cizopasnımi prvoky	-	-	-	-	-	-	-	-	-	-	-
40	Ankylostomiasa	-	-	-	-	-	-	-	-	-	-	-
41a	Boubel mìchoilová jater	-	-	-	-	-	-	-	-	-	-	-
41b	Boubel mìchoilová jinıch míst	-	-	-	-	-	-	-	-	-	-	-
42	Jiné nemoci zavinìné èervy	-	-	-	-	-	-	-	-	-	-	-
43	Mykosy	1	-	-	-	-	1	-	-	-	-	-
44	Jiné nemoci nakalivé nebo cizopasníky pùsobené	5	2	2	-	-	1	-	-	-	-	-
												
II	Rakoviny a jiné nádory	5660	5	4	18	33	115	434	948	1476	2627	-
45	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu	52	-	1	-	-	2	5	5	12	27	-
												
