1941	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- tìno
													
	CELKEM ZEMØELİCH MUÙ	50027	6836	1210	1079	1519	2263	3520	4999	7670	10406	10523	2
													
I	Nemoci nakalivé a cizopasné	8424	503	440	508	706	1040	1346	1446	1279	794	362	-
1	Tyf bøišní	92	1	-	10	28	26	14	3	6	4	-	-
2	Paratyf	8	-	1	-	2	2	1	-	-	1	1	-
3	Mor	-	-	-	-	-	-	-	-	-	-	-	-
4	Cholera	-	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnivá	-	-	-	-	-	-	-	-	-	-	-	-
6	Epidemickı zánìt plen mozkovıch a míšních	35	6	7	12	4	2	-	3	-	1	-	-
7	Uhlák	-	-	-	-	-	-	-	-	-	-	-	-
8	Spála	116	4	57	50	3	1	1	-	-	-	-	-
9	Kašel zádušnı	118	88	25	5	-	-	-	-	-	-	-	-
10	Záškrt	473	20	166	261	24	-	1	-	1	-	-	-
11	Rùe	76	19	1	1	1	2	4	5	11	15	17	-
12	Ztrnutí (tetanus)	100	23	1	19	10	7	9	7	13	6	5	-
13	Tuberkulosa ústrojí dıchacího	5388	34	40	58	521	891	1117	1149	947	497	134	-
14a	Tuberkulosa plen a ústøední soustavy nervové: plen mozkovıch	177	15	59	45	31	11	7	1	7	1	-	-
14b	Tuberkulosa plen a ústøední soustavy nervové: jinıch míst	-	-	-	-	-	-	-	-	-	-	-	-
15a	Tuberkulosa støev a pobøišnice: støev	32	1	-	1	3	3	4	5	5	9	1	-
15b	Tuberkulosa støev a pobøišnice: jinıch míst	27	-	1	-	8	5	3	5	2	3	-	-
16	Tuberkulosa páteøe	50	-	1	4	13	2	5	6	8	8	3	-
17	Tuberkulosa kostí a kloubù (vyjma páteøe)	98	-	1	3	12	12	9	6	13	19	23	-
18	Tuberkulosa kùe a podkoního vaziva	8	-	1	-	-	1	-	1	3	-	2	-
19	Tuberkulosa soustavy mízní	12	-	1	-	2	-	-	1	2	6	-	-
20	Tuberkulosa ústrojí moèového a pohlavního	14	-	-	-	-	2	5	3	3	1	-	-
21a	Addisonova nemoc tuberkulosního pùvodu	4	-	-	-	2	1	-	1	-	-	-	-
21b	Addisonova nemoc tuberkulosního pùvodu ostatních orgánù	4	-	-	-	-	-	1	-	1	2	-	-
22	Tuberkulosa miliární	46	4	8	7	6	3	5	4	6	3	-	-
24a	Otrava krve	156	64	5	15	8	13	7	19	9	6	10	-
24b	Snì plynová	-	-	-	-	-	-	-	-	-	-	-	-
25	Kapavka	2	2	-	-	-	-	-	-	-	-	-	-
26	Jiné nemoci zpùsobené mikroby (vyjma úplavici)	-	-	-	-	-	-	-	-	-	-	-	-
27	Úplavice	10	-	-	-	1	2	1	4	-	-	2	-
