1944	Zemřelí muži podle podrobného seznamu příčin smrti a věku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- těno
													
	CELKEM ZEMŘELÝCH MUŽŮ	52428	8670	1158	896	2334	2054	3512	5093	7502	10448	10703	58
													
I	Nemoci nakažlivé a cizopasné	8514	505	410	268	1131	873	1329	1556	1416	813	213	-
1	Tyf břišní	95	-	-	6	26	24	25	9	3	1	1	-
2	Paratyf	7	1	2	1	-	-	2	-	1	-	-	-
3	Mor	-	-	-	-	-	-	-	-	-	-	-	-
4	Cholera	-	-	-	-	-	-	-	-	-	-	-	-
5	Horečka vlnivá	2	-	-	-	1	-	-	-	-	1	-	-
6	Epidemický zánět plen mozkových a míšních	34	7	9	3	4	2	5	2	1	1	-	-
7	Uhlák	3	-	1	-	1	-	-	-	-	1	-	-
8	Spála	93	3	55	24	6	3	1	1	-	-	-	-
9	Kašel zádušný	98	84	12	1	-	-	-	-	-	1	-	-
10	Záškrt	385	60	172	84	53	4	4	3	2	3	-	-
11	Růže	122	33	-	-	5	5	11	16	16	26	10	-
12	Ztrnutí (tetanus)	73	22	3	7	5	3	5	8	11	6	3	-
13	Tuberkulosa ústrojí dýchacího	6017	35	39	43	892	766	1120	1279	1162	577	104	-
14a	Tuberkulosa plen a ústřední soustavy nervové: plen mozkových	208	24	68	52	39	5	6	10	4	-	-	-
14b	Tuberkulosa plen a ústřední soustavy nervové: jiných míst	4	-	-	-	-	1	-	1	1	1	-	-
15a	Tuberkulosa střev a pobřišnice: střev	21	1	-	2	7	2	1	1	4	2	1	-
15b	Tuberkulosa střev a pobřišnice: jiných míst	25	-	-	5	6	1	3	4	2	4	-	-
16	Tuberkulosa páteře	62	-	1	4	10	4	7	11	10	14	1	-
17	Tuberkulosa kostí a kloubů (vyjma páteře)	83	-	-	2	8	3	9	8	15	23	15	-
18	Tuberkulosa kůže a podkožního vaziva	6	-	-	-	-	-	1	2	2	-	1	-
19	Tuberkulosa soustavy mízní	6	1	-	1	1	1	-	1	-	-	1	-
20	Tuberkulosa ústrojí močového a pohlavního	25	-	-	-	5	4	5	3	3	5	-	-
21a	Addisonova nemoc tuberkulosního původu	2	-	-	-	-	-	-	2	-	-	-	-
21b	Addisonova nemoc tuberkulosního původu ostatních orgánů	3	-	-	-	-	1	-	-	-	1	1	-
22	Tuberkulosa miliární	54	6	8	4	19	2	3	5	4	2	1	-
24a	Otrava krve	226	101	6	10	11	9	21	21	17	19	11	-
24b	Sněť plynová	-	-	-	-	-	-	-	-	-	-	-	-
25	Kapavka	-	-	-	-	-	-	-	-	-	-	-	-
26	Jiné nemoci způsobené mikroby (vyjma úplavici)	-	-	-	-	-	-	-	-	-	-	-	-
27	Úplavice	7	-	-	-	1	-	-	1	2	1	2	-
28	Střídavka (malarie)	2	-	-	-	-	-	1	-	1	-	-	-
29	Jiné nemoci způsobené prvoky cizopasnými (vyjma spirochaetami)	1	-	-	1	-	-	-	-	-	-	-	-
30a	Příjice: úbyt míchy (tabes dorsalis)	83	-	-	-	2	1	8	22	25	17	8	-
30b	Příjice: postupná obrna povšechná (progresivní paralysa)	122	-	-	1	1	5	33	40	25	16	1	-
30c	Příjice: výduť srdečnice (aneurysma aorty)	103	-	-	-	-	-	8	24	25	35	11	-
30d	Příjice: příjice vrozená	14	11	1	-	1	-	1	-	-	-	-	-
30	Příjice: jiné druhy příjice	127	-	-	-	3	5	14	53	35	13	4	-
31	Tyf zvratný	-	-	-	-	-	-	-	-	-	-	-	-
32a	Infekční žloutenka	-	-	-	-	-	-	-	-	-	-	-	-
32b	Ostatní nemoci způsobené spirochaetami	1	-	-	-	-	-	1	-	-	-	-	-
33a	Chřipka neboli influenza s onemocněním dýchydel	123	57	4	2	1	-	4	8	9	21	17	-
33b	Chřipka neboli influenza bez údaje takového onemocnění	83	41	3	2	1	1	2	2	8	6	17	-
34	Neštovice	-	-	-	-	-	-	-	-	-	-	-	-
35	Spalničky	33	15	16	2	-	-	-	-	-	-	-	-
36	Prudký zánět šedé hmoty míšní nebo mozkové	43	2	6	9	14	6	4	-	2	-	-	-
37a	Zánět mozku epidemický (lethargický): prudký	-	-	-	-	-	-	-	-	-	-	-	-
37b	Zánět mozku epidemický (lethargický): následky epidemického zánětu mozku	27	-	-	-	-	2	5	4	10	5	1	-
37c	Zánět mozku epidemický (lethargický): zánět mozku epidemický bez bližšího označení	13	1	-	-	1	4	4	-	2	1	-	-
38a	Jiné nemoci připisované virům: žlutá zimnice	-	-	-	-	-	-	-	-	-	-	-	-
38b	Jiné nemoci připisované virům: vzteklina	-	-	-	-	-	-	-	-	-	-	-	-
38c	Jiné nemoci připisované virům: plané neštovice (varicella)	2	-	2	-	-	-	-	-	-	-	-	-
38d	Jiné nemoci připisované virům: ostatní nemoci připisované virům	-	-	-	-	-	-	-	-	-	-	-	-
39a	Skvrnivka (tyf exanthem.)	-	-	-	-	-	-	-	-	-	-	-	-
39b	Jiné rickettsiosy	-	-	-	-	-	-	-	-	-	-	-	-
40	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-
41	Boubel měchožilová (echinococcus)	2	-	-	-	-	-	-	-	-	1	1	-
42	Jiné nemoci způsobené hlísty	-	-	-	-	-	-	-	-	-	-	-	-
43a	Actinomykosy	5	-	-	1	-	2	1	-	-	-	1	-
43b	Jiné mykosy	1	-	-	-	-	-	-	-	1	-	-	-
44a	nemoci pohlavní vyjma příjici a kapavku	-	-	-	-	-	-	-	-	-	-	-	-
44b	Lymphogranulomatosy	68	-	2	1	7	7	14	15	13	9	-	-
44c	Epidemický zánět příušnic	-	-	-	-	-	-	-	-	-	-	-	-
44d	Ostatní nemoci přenosné	-	-	-	-	-	-	-	-	-	-	-	-
													
II	Rakovina a jiné nádory	5626	13	14	35	59	99	278	782	1523	1942	881	-
45a	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtů	24	1	-	-	-	-	1	3	2	10	7	-
45b	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka	38	-	-	-	-	-	1	1	13	15	8	-
45c	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jiných a blíže neoznačených míst	72	1	1	1	-	1	5	5	14	26	18	-
46a	Rakovina a jiné zhoubné nádory: jícnu	340	-	-	-	-	2	4	34	93	131	76	-
