1947	Zemřelé ženy podle podrobného seznamu příčin smrti a věku													
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- těno
														
	CELKEM ZEMŘELÝCH ŽEN	50341	6911	804	533	1271	1449	2434	3996	6640	11541	11386	3370	6
														
I	Nemoci nakažlivé a cizopasné	4775	466	301	197	652	600	513	513	650	616	241	26	-
1	Tyf břišní	106	-	4	8	26	19	13	14	12	6	4	-	-
2	Paratyf	8	-	2	1	2	-	1	2	-	-	-	-	-
3	Mor	-	-	-	-	-	-	-	-	-	-	-	-	-
4	Cholera	-	-	-	-	-	-	-	-	-	-	-	-	-
5	Horečka vlnivá	-	-	-	-	-	-	-	-	-	-	-	-	-
6	Epidemický zánět plen mozkových a míšních	15	2	1	7	3	-	-	1	1	-	-	-	-
7	Uhlák	-	-	-	-	-	-	-	-	-	-	-	-	-
8	Spála	31	5	17	7	-	-	2	-	-	-	-	-	-
9	Kašel zádušný	88	70	17	1	-	-	-	-	-	-	-	-	-
10	Záškrt	225	49	108	20	15	16	3	5	3	6	-	-	-
11	Růže	46	11	-	1	1	2	-	3	7	9	10	2	-
12	Ztrnutí (tetanus)	76	17	4	4	-	7	11	5	15	10	3	-	-
13	Tuberkulosa ústrojí dýchacího	2889	38	45	61	512	498	391	349	450	406	128	11	-
14a	Tuberkulosa plen a ústřední soustavy nervové: plen mozkových	216	28	65	62	36	9	5	6	3	1	1	-	-
14b	Tuberkulosa plen a ústřední soustavy nervové: jiných míst	1	-	-	-	-	-	1	-	-	-	-	-	-
15a	Tuberkulosa střev a pobřišnice: střev	22	2	-	1	3	1	1	2	5	6	1	-	-
15b	Tuberkulosa střev a pobřišnice: jiných míst	33	-	2	1	4	4	3	7	6	4	2	-	-
16	Tuberkulosa páteře	59	-	1	2	6	5	5	6	15	15	3	1	-
17	Tuberkulosa kostí a kloubů (vyjma páteře)	116	-	-	3	-	4	8	7	18	45	29	2	-
18	Tuberkulosa kůže a podkožního vaziva	17	-	-	-	3	1	3	2	1	2	5	-	-
19	Tuberkulosa soustavy mízní	12	1	-	1	-	-	-	1	1	5	3	-	-
20	Tuberkulosa ústrojí močového a pohlavního	7	-	-	-	1	1	1	2	1	-	1	-	-
21a	Addisonova nemoc tuberkulosního původu	-	-	-	-	-	-	-	-	-	-	-	-	-
21b	Addisonova nemoc tuberkulosního původu ostatních orgánů	8	-	-	-	2	-	-	2	2	1	1	-	-
22	Tuberkulosa miliární	54	11	9	5	14	5	1	1	3	4	1	-	-
24a	Otrava krve	112	56	3	-	7	6	6	7	9	12	5	1	-
24b	Sněť plynová	1	-	-	-	-	-	-	1	-	-	-	-	-
25	Kapavka	1	-	-	-	1	-	-	-	-	-	-	-	-
26	Jiné nemoci způsobené mikroby (vyjma úplavici)	-	-	-	-	-	-	-	-	-	-	-	-	-
27	Úplavice	7	-	-	1	-	-	-	-	1	2	2	1	-
28	Střídavka (malarie)	-	-	-	-	-	-	-	-	-	-	-	-	-
29	Jiné nemoci způsobené prvoky cizopasnými (vyjma spirochaetami)	-	-	-	-	-	-	-	-	-	-	-	-	-
30a	Příjice: úbyt míchy (tabes dorsalis)	38	-	-	-	-	-	5	11	11	9	2	-	-
30b	Příjice: postupná obrna povšechná (progresivní paralysa)	46	-	-	-	1	2	10	12	13	7	1	-	-
30c	Příjice: výduť srdečnice (aneurysma aorty)	46	-	-	-	-	1	2	8	19	12	3	1	-
30d	Příjice: příjice vrozená	59	55	-	-	1	3	-	-	-	-	-	-	-
30	Příjice: jiné druhy příjice	99	-	-	-	4	3	13	35	28	14	2	-	-
31	Tyf zvratný	-	-	-	-	-	-	-	-	-	-	-	-	-
32a	Infekční žloutenka	1	-	-	-	-	1	-	-	-	-	-	-	-
32b	Ostatní nemoci způsobené spirochaetami	-	-	-	-	-	-	-	-	-	-	-	-	-
33a	Chřipka neboli influenza s onemocněním dýchydel	114	64	6	-	-	-	3	3	7	15	14	2	-
33b	Chřipka neboli influenza bez údaje takového onemocnění	74	36	2	-	-	1	1	2	-	13	14	5	-
34	Neštovice	-	-	-	-	-	-	-	-	-	-	-	-	-
35	Spalničky	19	14	5	-	-	-	-	-	-	-	-	-	-
36	Prudký zánět šedé hmoty míšní nebo mozkové	27	2	7	7	3	2	3	2	1	-	-	-	-
37a	Zánět mozku epidemický (lethargický): prudký	-	-	-	-	-	-	-	-	-	-	-	-	-
37b	Zánět mozku epidemický (lethargický): následky epidemického zánětu mozku	29	-	-	1	1	2	6	5	7	4	3	-	-
37c	Zánět mozku epidemický (lethargický): zánět mozku epidemický bez bližšího označení	14	-	2	1	-	-	3	3	2	3	-	-	-
38a	Jiné nemoci připisované virům: žlutá zimnice	-	-	-	-	-	-	-	-	-	-	-	-	-
38b	Jiné nemoci připisované virům: vzteklina	-	-	-	-	-	-	-	-	-	-	-	-	-
38c	Jiné nemoci připisované virům: plané neštovice (varicella)	5	4	1	-	-	-	-	-	-	-	-	-	-
38d	Jiné nemoci připisované virům: ostatní nemoci připisované virům	-	-	-	-	-	-	-	-	-	-	-	-	-
39a	Skvrnivka (tyf exanthem.)	1	-	-	-	-	-	1	-	-	-	-	-	-
39b	Jiné rickettsiosy	-	-	-	-	-	-	-	-	-	-	-	-	-
40	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-	-
41	Boubel měchožilová (echinococcus)	-	-	-	-	-	-	-	-	-	-	-	-	-
42	Jiné nemoci způsobené hlísty	-	-	-	-	-	-	-	-	-	-	-	-	-
43a	Actinomykosy	1	-	-	-	-	-	-	-	1	-	-	-	-
43b	Jiné mykosy	1	1	-	-	-	-	-	-	-	-	-	-	-
44a	nemoci pohlavní vyjma příjici a kapavku	-	-	-	-	-	-	-	-	-	-	-	-	-
44b	Lymphogranulomatosy	49	-	-	1	6	7	11	9	8	5	2	-	-
44c	Epidemický zánět příušnic	2	-	-	1	-	-	-	-	-	-	1	-	-
44d	Ostatní nemoci přenosné	-	-	-	-	-	-	-	-	-	-	-	-	-
														
II	Rakovina a jiné nádory	7406	4	12	25	36	147	605	1246	1825	2218	1139	149	-
45a	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtů	6	-	-	-	-	-	-	-	1	4	1	-	-
45b	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka	13	-	-	-	-	-	2	1	3	6	1	-	-
45c	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jiných a blíže neoznačených míst	33	-	-	-	-	-	5	4	8	12	4	-	-
46a	Rakovina a jiné zhoubné nádory: jícnu	101	-	-	-	-	-	1	12	18	43	23	4	-
46b	Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku	1991	-	-	-	-	11	53	206	466	773	434	48	-
46c	Rakovina a jiné zhoubné nádory: střev, vyjma dvanáctníku a konečníku	435	-	-	-	2	5	21	39	114	148	96	10	-
46d	Rakovina a jiné zhoubné nádory: konečníku	302	-	-	-	1	7	21	47	93	90	36	7	-
46	Rakovina a jiné zhoubné nádory: jater (pokud jsou označeny jako původní) a žlučovodů	754	-	-	-	-	5	24	70	211	286	142	16	-
46f	Rakovina a jiné zhoubné nádory: jater, pokud nejsou označeny  jako  původní	173	-	1	2	3	3	12	21	37	56	31	7	-
46g	Rakovina a jiné zhoubné nádory: slinivky břišní	79	-	-	-	-	-	4	14	26	22	6	7	-
46h	Rakovina a jiné zhoubné nádory: pobřišnice	87	-	-	-	-	2	15	12	21	25	11	1	-
46i	Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů zažívacích	-	-	-	-	-	-	-	-	-	-	-	-	-
47a	Rakovina a jiné zhoubné nádory: hrtanu a průdušnice	29	-	-	-	1	1	4	3	6	9	4	1	-
47b	Rakovina a jiné zhoubné nádory: průdušek, plic a pohrudnice	198	-	-	2	1	4	24	29	56	60	22	-	-
47c	Rakovina a jiné zhoubné nádory: dýchacích ústrojů blíže neoznačených	3	-	-	-	-	2	-	-	-	1	-	-	-
48a	Rakovina a jiné zhoubné nádory: hrdla děložního	151	-	-	-	1	12	33	50	29	21	5	-	-
48b	Rakovina a jiné zhoubné nádory: dělohy	1238	-	-	1	7	38	158	322	325	274	111	2	-
49	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů ženských	260	-	1	-	3	10	35	69	72	52	17	1	-
50	Rakovina a jiné zhoubné nádory: prsů	625	-	-	-	1	9	84	166	160	137	57	11	-
51a	Rakovina a jiné zhoubné nádory: šourku	x	x	x	x	x	x	x	x	x	x	x	x	x
51b	Rakovina a jiné zhoubné nádory: předstojné žlázy	x	x	x	x	x	x	x	x	x	x	x	x	x
