1948	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku													
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
														
	CELKEM ZEMØELİCH MUÙ	53001	7991	1002	732	1608	1589	3061	5531	8245	11462	9549	2226	5
														
I	Nemoci nakalivé a cizopasné	6449	529	299	186	566	565	823	1176	1192	797	291	24	1
1	Tyf bøišní	68	3	2	3	12	8	14	19	4	2	1	-	-
2	Paratyf	6	-	-	2	-	-	3	-	-	-	-	1	-
3	Mor	-	-	-	-	-	-	-	-	-	-	-	-	-
4	Cholera	1	-	-	-	-	-	-	-	1	-	-	-	-
5	Horeèka vlnivá	-	-	-	-	-	-	-	-	-	-	-	-	-
6	Epidemickı zánìt plen mozkovıch a míšních	15	4	1	2	1	1	-	-	4	1	1	-	-
7	Uhlák	1	-	-	-	-	-	-	1	-	-	-	-	-
8	Spála	37	3	21	9	2	-	-	2	-	-	-	-	-
9	Kašel zádušnı	82	73	9	-	-	-	-	-	-	-	-	-	-
10	Záškrt	121	51	48	15	3	2	-	2	-	-	-	-	-
11	Rùe	40	8	-	-	-	2	1	5	4	13	6	1	-
12	Ztrnutí (tetanus)	97	20	5	14	5	4	10	12	14	9	4	-	-
13	Tuberkulosa ústrojí dıchacího	4493	56	73	50	457	486	684	943	960	592	182	10	-
14a	Tuberkulosa plen a ústøední soustavy nervové: plen mozkovıch	163	20	48	42	27	7	4	5	4	3	3	-	-
14b	Tuberkulosa plen a ústøední soustavy nervové: jinıch míst	5	2	-	1	1	-	-	-	1	-	-	-	-
15a	Tuberkulosa støev a pobøišnice: støev	16	1	1	-	2	-	3	3	2	2	2	-	-
15b	Tuberkulosa støev a pobøišnice: jinıch míst	24	-	3	1	6	1	4	2	4	2	-	-	1
16	Tuberkulosa páteøe	45	-	1	4	7	6	3	5	6	8	4	1	-
17	Tuberkulosa kostí a kloubù (vyjma páteøe)	54	-	1	3	2	3	4	8	7	10	15	1	-
18	Tuberkulosa kùe a podkoního vaziva	-	-	-	-	-	-	-	-	-	-	-	-	-
19	Tuberkulosa soustavy mízní	8	2	-	-	1	-	-	1	2	2	-	-	-
20	Tuberkulosa ústrojí moèového a pohlavního	13	-	1	-	2	1	2	5	1	-	1	-	-
21a	Addisonova nemoc tuberkulosního pùvodu	1	-	-	-	1	-	-	-	-	-	-	-	-
21b	Addisonova nemoc tuberkulosního pùvodu ostatních orgánù	7	-	2	-	1	-	-	1	1	-	2	-	-
22	Tuberkulosa miliární	43	7	9	4	6	4	-	3	4	4	2	-	-
24a	Otrava krve	125	72	6	3	3	6	10	5	7	7	6	-	-
24b	Snì plynová	2	1	-	-	-	-	-	-	1	-	-	-	-
25	Kapavka	1	1	-	-	-	-	-	-	-	-	-	-	-
