1950	Zemøelí muži podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
																	
VN	Úrazy a otravy podle vnìjší pøíèiny	4535	53	69	77	66	48	249	736	654	794	670	488	373	213	40	5
																	
D1	Úrazy na železnicích	175	1	2	2	1	-	2	21	32	58	30	14	8	4	-	-
E800	Úrazy na železnicích postihující železnièní zamìstnance	86	-	-	-	-	-	-	6	16	35	21	6	1	1	-	-
E801	Úrazy na železnicích postihující cestující	19	-	-	-	-	-	-	5	3	4	1	2	4	-	-	-
E802	Úrazy na železnicích postihující jiné a blíže neoznaèené osoby	70	1	2	2	1	-	2	10	13	19	8	6	3	3	-	-
																	
D2	Dopravní úrazy motorovými vozidly	581	-	-	4	8	8	43	115	124	110	83	42	27	15	2	-
E810	Dopravní úraz motorovými vozidly pøi srážce s vlakem	29	-	-	-	-	-	2	7	5	5	6	1	2	1	-	-
E811	Dopravní úraz motorovými vozidly pøi srážce s poulièní drahou	2	-	-	-	-	-	-	-	-	1	-	1	-	-	-	-
E812	Dopravní úraz motorovými vozidly zpùsobený chodcùm	134	-	-	4	4	5	28	9	7	18	17	15	13	13	1	-
E813	Dopravní úraz motorovými vozidly zpùsobený cyklistùm	10	-	-	-	-	-	1	1	-	1	1	4	2	-	-	-
E814	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s vozidlem nemotorovým nebo jiným pøedmìtem	9	-	-	-	-	-	-	3	4	2	-	-	-	-	-	-
E815	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s jiným motorovým vozidlem 	45	-	-	-	-	-	1	10	14	9	5	5	1	-	-	-
E816	Jiný dopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	8	-	-	-	-	-	-	3	2	2	1	-	-	-	-	-
E817	Dopravní úraz motorovými vozidly zpùsobený posádce motorového vozidla pøi srážce s chodcem nebo cyklistou	2	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-
E818	Dopravní úraz motorovými vozidly pøi srážce se zvíøaty nebo vozidly taženými zvíøaty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E819	Dopravní úraz motorovými vozidly pøi srážce s pøedmìty pevnými nebo blíže neurèenými	15	-	-	-	-	1	-	3	3	4	2	2	-	-	-	-
E820	Dopravní úraz motorovými vozidly bìhem sestupování a nastupování	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E821	Dopravní úraz motorovými vozidly zpùsobený øidièi motocyklu, nejde-li o srážku	13	-	-	-	-	-	-	7	4	-	2	-	-	-	-	-
E822	Dopravní úraz motorovými vozidly pøi pøevrhnutí na silnici	15	-	-	-	-	-	-	6	3	3	3	-	-	-	-	-
E823	Dopravní úraz motorovými vozidly pøi vyboèení ze silnice	6	-	-	-	1	-	-	1	2	-	1	1	-	-	-	-
E824	Jiný dopravní úraz motorovými vozidly bez srážky	59	-	-	-	1	-	4	14	14	9	11	3	1	1	1	-
E825	Dopravní úraz motorovými vozidly neurèené povahy	233	-	-	-	2	2	7	50	66	55	34	10	7	-	-	-
																	
D3	Úrazy motorovými vozidly nedopravní	23	-	-	-	-	1	2	6	6	4	3	1	-	-	-	-
E830	Nedopravní úraz motorovými vozidly  zpùsobený chodcùm	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E831	Nedopravní úraz motorovými vozidly  zpùsobený cyklistùm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E832	Nedopravní úraz motorovými vozidly  zpùsobený øidièùm nebo spolujezdcùm na motocyklech	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E833	Jiný nedopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E834	Nedopravní úraz motorovými vozidly  pøi nastupování a sestupování	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E835	Nedopravní úraz motorovými vozidly  jiné nebo neurèené povahy	21	-	-	-	-	1	1	6	6	4	2	1	-	-	-	-
E836	Úraz motorovými vozidly nedopravní zpùsobený	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
D4	Úrazy jinými silnièními vozidly	62	1	1	-	-	1	7	3	9	7	16	10	6	-	-	1
E840	Úraz zpùsobený chodcùm vozy poulièní dopravy	7	-	1	-	-	-	-	-	1	2	1	1	1	-	-	-
E841	Ostatní druhy úrazu vozy poulièní dopravy , vyjma srážku s motorovým vozidlem 	4	-	-	-	-	-	-	1	1	-	-	2	-	-	-	-
E842	Úraz zpùsobený chodcùm cyklisty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E843	Úraz zpùsobený cyklistùm, ne však pøi srážce  s motorovým  vozidlem 	20	-	-	-	-	-	6	-	1	3	5	3	2	-	-	-
E844	Úraz zpùsobený chodcùm jinými nemotorovými silnièními vozidly 	5	1	-	-	-	1	-	-	-	-	3	-	-	-	-	-
