1950	Zemøelé ženy podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
																	
VN	Úrazy a otravy podle vnìjší pøíèiny	1598	44	37	42	21	24	86	163	133	202	231	200	201	173	41	-
																	
D1	Úrazy na železnicích	42	-	1	-	-	1	-	11	2	9	4	5	5	3	1	-
E800	Úrazy na železnicích postihující železnièní zamìstnance	3	-	-	-	-	-	-	2	-	1	-	-	-	-	-	-
E801	Úrazy na železnicích postihující cestující	7	-	1	-	-	-	-	2	-	3	-	1	-	-	-	-
E802	Úrazy na železnicích postihující jiné a blíže neoznaèené osoby	32	-	-	-	-	1	-	7	2	5	4	4	5	3	1	-
																	
D2	Dopravní úrazy motorovými vozidly	171	-	2	2	6	8	16	26	20	26	17	22	18	6	2	-
E810	Dopravní úraz motorovými vozidly pøi srážce s vlakem	35	-	-	1	1	-	3	4	7	9	5	3	2	-	-	-
E811	Dopravní úraz motorovými vozidly pøi srážce s poulièní drahou	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E812	Dopravní úraz motorovými vozidly zpùsobený chodcùm	75	-	2	1	3	6	11	6	3	7	5	12	13	4	2	-
E813	Dopravní úraz motorovými vozidly zpùsobený cyklistùm	2	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-
E814	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s vozidlem nemotorovým nebo jiným pøedmìtem	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E815	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s jiným motorovým vozidlem 	4	-	-	-	-	-	-	1	1	2	-	-	-	-	-	-
E816	Jiný dopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	2	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-
E817	Dopravní úraz motorovými vozidly zpùsobený posádce motorového vozidla pøi srážce s chodcem nebo cyklistou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E818	Dopravní úraz motorovými vozidly pøi srážce se zvíøaty nebo vozidly taženými zvíøaty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E819	Dopravní úraz motorovými vozidly pøi srážce s pøedmìty pevnými nebo blíže neurèenými	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E820	Dopravní úraz motorovými vozidly bìhem sestupování a nastupování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E821	Dopravní úraz motorovými vozidly zpùsobený øidièi motocyklu, nejde-li o srážku	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E822	Dopravní úraz motorovými vozidly pøi pøevrhnutí na silnici	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E823	Dopravní úraz motorovými vozidly pøi vyboèení ze silnice	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E824	Jiný dopravní úraz motorovými vozidly bez srážky	10	-	-	-	-	-	-	1	2	3	1	2	1	-	-	-
E825	Dopravní úraz motorovými vozidly neurèené povahy	39	-	-	-	2	2	2	12	6	2	5	4	2	2	-	-
																	
D3	Úrazy motorovými vozidly nedopravní	4	-	-	-	-	1	1	2	-	-	-	-	-	-	-	-
E830	Nedopravní úraz motorovými vozidly  zpùsobený chodcùm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E831	Nedopravní úraz motorovými vozidly  zpùsobený cyklistùm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E832	Nedopravní úraz motorovými vozidly  zpùsobený øidièùm nebo spolujezdcùm na motocyklech	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E833	Jiný nedopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E834	Nedopravní úraz motorovými vozidly  pøi nastupování a sestupování	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E835	Nedopravní úraz motorovými vozidly  jiné nebo neurèené povahy	3	-	-	-	-	1	1	1	-	-	-	-	-	-	-	-
E836	Úraz motorovými vozidly nedopravní zpùsobený	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
D4	Úrazy jinými silnièními vozidly	15	-	-	1	1	-	1	1	1	3	1	2	1	3	-	-
E840	Úraz zpùsobený chodcùm vozy poulièní dopravy	8	-	-	-	-	-	-	1	-	2	1	1	1	2	-	-
E841	Ostatní druhy úrazu vozy poulièní dopravy , vyjma srážku s motorovým vozidlem 	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-
E842	Úraz zpùsobený chodcùm cyklisty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E843	Úraz zpùsobený cyklistùm, ne však pøi srážce  s motorovým  vozidlem 	2	-	-	-	-	-	1	-	1	-	-	-	-	-	-	-
E844	Úraz zpùsobený chodcùm jinými nemotorovými silnièními vozidly 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E845	Jiný druh úrazu nemotorovými silnièními vozidly 	4	-	-	1	1	-	-	-	-	1	-	1	-	-	-	-
																	
D5	Úrazy pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E850	Úraz cestujících na malých èlunech zpùsobený potopením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E851	Ostatní druhy úrazu pøi vodní dopravì zpùsobený potopením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
