1951	Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- těno
																	
VN	Úrazy a otravy podle vnější příčiny	4586	54	53	54	52	36	230	690	674	768	781	433	398	300	60	3
																	
D1	Úrazy na železnicích	174	-	1	1	-	1	5	23	38	40	46	13	3	2	-	1
E800	Úrazy na železnicích postihující železniční zaměstnance	87	-	-	-	-	-	-	4	20	28	30	5	-	-	-	-
E801	Úrazy na železnicích postihující cestující	31	-	-	-	-	1	1	3	9	8	5	3	1	-	-	-
E802	Úrazy na železnicích postihující jiné a blíže neoznačené osoby	56	-	1	1	-	-	4	16	9	4	11	5	2	2	-	1
																	
D2	Dopravní úrazy motorovými vozidly	489	-	-	2	5	9	42	99	97	101	76	30	19	7	2	-
E810	Dopravní úraz motorovými vozidly při srážce s vlakem	22	-	-	1	-	-	1	4	7	-	8	1	-	-	-	-
E811	Dopravní úraz motorovými vozidly při srážce s pouliční drahou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E812	Dopravní úraz motorovými vozidly způsobený chodcům	139	-	-	-	3	7	33	12	15	15	25	13	9	5	2	-
E813	Dopravní úraz motorovými vozidly způsobený cyklistům	8	-	-	-	-	-	3	-	1	1	1	-	1	1	-	-
E814	Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s vozidlem nemotorovým nebo jiným předmětem	15	-	-	-	-	-	-	3	3	7	1	1	-	-	-	-
E815	Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s jiným motorovým vozidlem 	27	-	-	-	-	-	-	8	6	6	4	1	2	-	-	-
E816	Jiný dopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel	4	-	-	-	-	-	-	-	1	3	-	-	-	-	-	-
E817	Dopravní úraz motorovými vozidly způsobený posádce motorového vozidla při srážce s chodcem nebo cyklistou	4	-	-	-	-	-	-	1	-	2	1	-	-	-	-	-
E818	Dopravní úraz motorovými vozidly při srážce se zvířaty nebo vozidly taženými zvířaty	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E819	Dopravní úraz motorovými vozidly při srážce s předměty pevnými nebo blíže neurčenými	13	-	-	-	1	-	-	2	4	5	-	1	-	-	-	-
E820	Dopravní úraz motorovými vozidly během sestupování a nastupování	2	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-
E821	Dopravní úraz motorovými vozidly způsobený řidiči motocyklu, nejde-li o srážku	18	-	-	-	-	-	-	4	6	1	4	2	1	-	-	-
E822	Dopravní úraz motorovými vozidly při převrhnutí na silnici	9	-	-	-	-	-	-	3	3	1	1	-	1	-	-	-
E823	Dopravní úraz motorovými vozidly při vybočení ze silnice	5	-	-	-	-	-	-	-	2	1	1	1	-	-	-	-
