1956	Zemřelé ženy podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- těno
																	
VN	Úrazy a otravy podle vnější příčiny	2206	143	31	29	26	14	66	111	126	160	243	269	354	468	166	-
																	
D1	Úrazy na železnicích	41	-	-	1	-	-	1	5	4	3	12	8	5	1	1	-
E800	Úrazy na železnicích postihující železniční zaměstnance	5	-	-	-	-	-	-	-	-	1	1	2	1	-	-	-
E801	Úrazy na železnicích postihující cestující	8	-	-	-	-	-	1	2	1	-	-	2	2	-	-	-
E802	Úrazy na železnicích postihující jiné a blíže neoznačené osoby	28	-	-	1	-	-	-	3	3	2	11	4	2	1	1	-
																	
D2	Dopravní úrazy motorovými vozidly	164	-	-	1	4	4	22	13	17	11	18	16	30	19	9	-
E810	Dopravní úraz motorovými vozidly při srážce s vlakem	2	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-
E811	Dopravní úraz motorovými vozidly při srážce s pouliční drahou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E812	Dopravní úraz motorovými vozidly způsobený chodcům	109	-	-	1	4	4	15	4	10	4	10	12	20	18	7	-
E813	Dopravní úraz motorovými vozidly způsobený cyklistům	6	-	-	-	-	-	3	-	-	1	-	1	1	-	-	-
E814	Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s vozidlem nemotorovým nebo jiným předmětem	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E815	Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s jiným motorovým vozidlem 	2	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-
E816	Jiný dopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel	3	-	-	-	-	-	-	-	-	1	-	1	1	-	-	-
E817	Dopravní úraz motorovými vozidly způsobený posádce motorového vozidla při srážce s chodcem nebo cyklistou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E818	Dopravní úraz motorovými vozidly při srážce se zvířaty nebo vozidly taženými zvířaty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E819	Dopravní úraz motorovými vozidly při srážce s předměty pevnými nebo blíže neurčenými	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E820	Dopravní úraz motorovými vozidly během sestupování a nastupování	5	-	-	-	-	-	-	1	-	-	1	2	1	-	-	-
E821	Dopravní úraz motorovými vozidly způsobený řidiči motocyklu, nejde-li o srážku	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E822	Dopravní úraz motorovými vozidly při převrhnutí na silnici	3	-	-	-	-	-	-	1	1	1	-	-	-	-	-	-
E823	Dopravní úraz motorovými vozidly při vybočení ze silnice	4	-	-	-	-	-	-	-	-	1	1	-	2	-	-	-
E824	Jiný dopravní úraz motorovými vozidly bez srážky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E825	Dopravní úraz motorovými vozidly neurčené povahy	29	-	-	-	-	-	4	6	3	3	5	-	5	1	2	-
																	
D3	Úrazy motorovými vozidly nedopravní	15	-	-	-	1	1	1	4	1	1	1	3	1	-	1	-
E830	Nedopravní úraz motorovými vozidly  způsobený chodcům	4	-	-	-	1	-	-	-	-	1	-	1	-	-	1	-
E831	Nedopravní úraz motorovými vozidly  způsobený cyklistům	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E832	Nedopravní úraz motorovými vozidly  způsobený řidičům nebo spolujezdcům na motocyklech	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E833	Jiný nedopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
