1958	Zemřelé ženy podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny																
MKN (1955)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš-těno
																	
VN	Úrazy a otravy podle vnější příčiny	2142	89	48	14	20	11	73	111	113	129	274	260	360	472	168	-
																	
D1	Úrazy na železnicích	43	-	1	-	-	1	-	2	3	6	11	8	8	3	-	-
E800	Úraz na železnicích postihující železniční zaměstnance	9	-	-	-	-	-	-	1	2	2	2	2	-	-	-	-
E801	Úraz na železnicích postihující cestující	3	-	-	-	-	-	-	-	-	1	-	-	2	-	-	-
E802	Úraz na železnicích postihující jiné osoby	31	-	1	-	-	1	-	1	1	3	9	6	6	3	-	-
																	
D2	Dopravní úrazy motorovými vozidly	154	-	1	-	7	3	19	27	14	9	19	15	19	18	3	-
E810	Dopravní úraz   při srážce s vlakem	4	-	-	-	-	-	-	-	-	1	3	-	-	-	-	-
E811	Dopravní úraz   při srážce s pouliční drahou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E812	Dopravní úraz   způsobený chodcům	96	-	1	-	7	3	16	6	6	5	7	11	14	17	3	-
E813	Dopravní úraz   způsobený cyklistům	4	-	-	-	-	-	-	1	-	-	1	2	-	-	-	-
E814	Dopravní úraz  motocyklem při srážce s vozidlem nemotorovým a jinými předměty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E815	Dopravní úraz motocyklem při srážce s motorovým vozidlem 	4	-	-	-	-	-	-	3	1	-	-	-	-	-	-	-
E816	Dopravní úraz při srážce  motorových vozidel 	4	-	-	-	-	-	1	-	-	-	1	-	2	-	-	-
E817	Dopravní úraz  posádky motorového vozidla při srážce s chodcem, cyklistou	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E818	Dopravní úraz   při srážce se zvířaty nebo vozy taženými zvířaty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E819	Dopravní úraz   při srážce s předměty pevnými nebo blíže neurčenými	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E820	Dopravní úraz  při nastupování nebo vystupování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E821	Dopravní úraz  řidiče motocyklu, nejde-li o srážku	7	-	-	-	-	-	-	3	2	1	1	-	-	-	-	-
E822	Dopravní úraz   při převrhnutí na silnici	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E823	Dopravní úraz   při vybočení ze silnice	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E824	Jiný dopravní úraz   bez srážky	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E825	Dopravní úraz   neurčené povahy	31	-	-	-	-	-	2	13	3	2	5	2	3	1	-	-
																	
D3	Nedopravní úrazy motorovými vozidly 	18	-	-	-	-	-	7	4	1	2	1	1	1	1	-	-
E830	Nedopravní úraz   způsobený chodcům	5	-	-	-	-	-	3	-	-	-	1	1	-	-	-	-
E831	Nedopravní úraz   způsobený cyklistům	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E832	Nedopravní úraz   způsobený posádce motocyklu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E833	Nedopravní úraz, jde-li o několik motorových vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E834	Nedopravní úraz    při nastupování a vystupování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E835	Nedopravní úraz    jiné nebo neurčené povahy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E836	Úraz způsobený traktorem	13	-	-	-	-	-	4	4	1	2	-	-	1	1	-	-
																	
D4	Úrazy jinými silničními vozidly	11	-	-	-	-	-	-	2	-	2	1	1	2	3	-	-
E840	Úraz způsobený chodcům vozy pouliční dopravy	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
E841	Jiný úraz pouliční drahou , mimo srážku s motorovým vozidlem 	2	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-
E842	Úraz způsobený chodcům cyklisty	3	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-
E843	Úraz způsobený cyklistům, vyjma srážku  s motorovým  vozidlem 	2	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-
E844	Úraz chodců nemotorovými silničními vozidly 	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E845	Jiný úraz nemotorovými silničními vozidly 	2	-	-	-	-	-	-	1	-	-	-	-	1	-	-	-
																	
D5	Úrazy při vodní dopravě	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E850	Úraz cestujících potopením na malých člunech 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E851	Ostatní úrazy při vodní dopravě způsobené potopením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E852	Pád se schodů nebo žebříku při vodní dopravě	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
