1959	Zemøelí muži podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1955)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš-tìno
																	
VN	Úrazy a otravy podle vnìjší pøíèiny	4962	86	38	28	20	22	202	686	654	580	917	716	517	375	121	-
																	
D1	Úrazy na železnicích	194	1	-	1	-	-	3	31	25	25	50	30	18	6	4	-
E800	Úraz na železnicích postihující železnièní zamìstnance	86	-	-	-	-	-	-	11	11	15	30	15	2	-	2	-
E801	Úraz na železnicích postihující cestující	7	-	-	-	-	-	-	-	-	1	3	1	-	2	-	-
E802	Úraz na železnicích postihující jiné osoby	101	1	-	1	-	-	3	20	14	9	17	14	16	4	2	-
																	
D2	Dopravní úrazy motorovými vozidly	964	-	1	3	7	8	44	254	172	113	174	79	74	29	6	-
E810	Dopravní úraz   pøi srážce s vlakem	9	-	-	-	-	-	1	2	-	2	2	1	1	-	-	-
E811	Dopravní úraz   pøi srážce s poulièní drahou	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E812	Dopravní úraz   zpùsobený chodcùm	242	-	1	3	7	8	36	24	16	13	39	28	41	21	5	-
E813	Dopravní úraz   zpùsobený cyklistùm	24	-	-	-	-	-	3	1	-	-	7	6	5	2	-	-
E814	Dopravní úraz  motocyklem pøi srážce s vozidlem nemotorovým a jinými pøedmìty	42	-	-	-	-	-	-	20	11	6	3	2	-	-	-	-
E815	Dopravní úraz motocyklem pøi srážce s motorovým vozidlem 	85	-	-	-	-	-	-	26	22	14	15	3	4	1	-	-
E816	Dopravní úraz pøi srážce  motorových vozidel 	29	-	-	-	-	-	2	6	7	6	5	3	-	-	-	-
E817	Dopravní úraz  posádky motorového vozidla pøi srážce s chodcem, cyklistou	3	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-
E818	Dopravní úraz   pøi srážce se zvíøaty nebo vozy taženými zvíøaty	2	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-
E819	Dopravní úraz   pøi srážce s pøedmìty pevnými nebo blíže neurèenými	31	-	-	-	-	-	-	12	11	4	3	1	-	-	-	-
E820	Dopravní úraz  pøi nastupování nebo vystupování	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E821	Dopravní úraz  øidièe motocyklu, nejde-li o srážku	137	-	-	-	-	-	-	51	29	18	29	7	2	1	-	-
E822	Dopravní úraz   pøi pøevrhnutí na silnici	14	-	-	-	-	-	1	3	3	2	2	2	1	-	-	-
E823	Dopravní úraz   pøi vyboèení ze silnice	9	-	-	-	-	-	-	2	2	-	4	1	-	-	-	-
E824	Jiný dopravní úraz   bez srážky	25	-	-	-	-	-	-	6	7	3	4	2	3	-	-	-
E825	Dopravní úraz   neurèené povahy	310	-	-	-	-	-	1	100	61	44	59	23	17	4	1	-
																	
