1960	Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny																							
MKN (1955)	Název	Celkem	0	1	2	3	4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85+
																								
VN	Úrazy a otravy podle vnější příčiny	5033	100	37	32	26	26	96	113	291	394	358	334	351	224	475	476	435	318	246	226	195	161	119
																								
D1	Úrazy na železnicích	289	-	1	2	-	-	6	1	13	22	26	22	32	24	29	39	31	15	9	8	4	4	1
E800	Úraz na železnicích postihující železniční zaměstnance	89	-	-	-	-	-	-	-	2	3	6	7	8	7	14	18	19	2	2	1	-	-	-
E801	Úraz na železnicích postihující cestující	80	-	-	-	-	-	-	1	3	10	10	7	12	6	9	12	2	6	1	1	-	-	-
E802	Úraz na železnicích postihující jiné osoby	120	-	1	2	-	-	6	-	8	9	10	8	12	11	6	9	10	7	6	6	4	4	1
																								
D2	Dopravní úrazy motorovými vozidly	919	2	2	9	4	9	28	18	117	137	115	69	65	28	66	70	61	51	22	18	16	9	3
E810	Dopravní úraz   při srážce s vlakem	21	-	-	-	-	-	-	1	4	2	2	-	1	2	4	3	1	1	-	-	-	-	-
E811	Dopravní úraz   při srážce s pouliční drahou	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-
E812	Dopravní úraz   způsobený chodcům	251	1	2	9	4	9	27	9	10	11	12	9	11	5	16	20	25	23	13	14	13	6	2
E813	Dopravní úraz   způsobený cyklistům	18	-	-	-	-	-	-	2	3	-	-	-	1	1	2	2	-	4	3	-	-	-	-
E814	Dopravní úraz  motocyklem při srážce s vozidlem nemotorovým a jinými předměty	25	-	-	-	-	-	-	-	6	9	3	1	2	-	2	-	1	1	-	-	-	-	-
E815	Dopravní úraz motocyklem při srážce s motorovým vozidlem 	70	-	-	-	-	-	-	1	11	14	9	7	5	6	7	3	2	4	1	-	-	-	-
E816	Dopravní úraz při srážce  motorových vozidel 	20	-	-	-	-	-	-	-	1	1	1	4	2	-	2	5	3	-	-	1	-	-	-
E817	Dopravní úraz  posádky motorového vozidla při srážce s chodcem, cyklistou	3	-	-	-	-	-	-	-	-	-	1	1	1	-	-	-	-	-	-	-	-	-	-
E818	Dopravní úraz   při srážce se zvířaty nebo vozy taženými zvířaty	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
