1968	Zemøelí muži podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																							
MKN (1966)	Název	Celkem	0	1	2	3	4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85+
																								
VN	Úrazy, otravy a násilí (vnìjší pøíèina)	5887	49	23	16	21	28	110	106	438	692	426	334	338	364	371	321	493	442	366	312	274	222	141
																								
D1	Úrazy na železnicích	235	-	-	-	1	-	1	4	23	35	24	11	14	22	13	15	31	6	14	9	6	4	2
E800	Srážka se železnièními vozidly v pohybu	14	-	-	-	-	-	-	-	1	1	-	1	-	3	3	1	3	1	-	-	-	-	-
E801	Náraz na nepohyblivý pøedmìt	2	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-
E802	Vykolejení bez pøedchozí srážky 	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
E803	Výbuch, oheò, popálení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E804	Pád ve vlaku nebo z vlaku	15	-	-	-	-	-	-	-	1	6	1	-	1	1	-	-	4	1	-	-	-	-	-
E805	Zachycení železnièním vozidlem v pohybu	151	-	-	-	1	-	1	3	17	24	15	6	8	13	6	12	18	3	10	6	5	2	1
E806	Jiný blíže popsaný úraz  na železnici	8	-	-	-	-	-	-	-	-	1	1	2	-	1	1	-	1	-	-	-	-	-	1
E807	Úraz na železnici NS	44	-	-	-	-	-	-	1	4	2	5	2	5	4	3	2	5	1	4	3	1	2	-
																								
D2	Dopravní úrazy motorovými vozidly	1622	-	2	2	5	11	58	27	202	293	147	86	92	84	99	76	122	95	81	53	39	31	17
E810	Srážka motorového vozidla s vlakem	17	-	-	-	-	-	-	-	-	-	2	5	2	2	3	-	3	-	-	-	-	-	-
E811	Srážka motorového vozidla s vozem poulièní dráhy	3	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	1	-	-	-	-
E812	Jiná srážka motorového vozidla s jiným motorovým vozidel	199	-	-	-	1	1	2	1	33	42	23	9	15	11	17	11	12	7	6	4	2	1	1
E813	Srážka motorového vozidla s jiným vozidlem	96	-	-	-	-	-	1	6	6	16	2	9	7	3	8	6	10	7	9	3	1	2	-
E814	Srážka motorového vozidla s chodcem	446	-	1	1	3	10	45	13	23	26	22	13	14	16	17	21	54	43	42	28	23	21	10
E815	Náraz motorového vozidla na nepohyblivý pøedmìt 	142	-	-	-	1	-	-	1	25	51	24	9	4	5	4	4	4	6	2	1	1	-	-
E816	Úraz beze srážky následkem ztráty vlády nad vozidlem	81	-	-	-	-	-	-	-	15	24	13	2	2	8	7	-	6	1	-	2	-	1	-
E817	Úraz motorovým vozidlem pøi nastupování nebo vystupování	3	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1	-	-	-	-	1	-	-
E818	Jiný úraz motorovým vozidlem beze srážky	131	-	1	-	-	-	3	2	28	25	12	12	5	8	7	7	8	6	2	2	2	-	1
E819	Úraz motorovým vozidlem NS	504	-	-	1	-	-	7	4	72	108	47	27	43	31	36	26	25	25	19	13	9	6	5
																								
D3	Úrazy motorovými vozidly mimo dopravu	36	-	1	-	-	-	-	-	5	4	6	5	4	1	3	2	-	4	1	-	-	-	-
E820	Srážka s pohybujícím se pøedmìtem mimo dopravu	5	-	-	-	-	-	-	-	-	2	1	-	-	1	-	-	-	1	-	-	-	-	-
E821	Náraz na nepohyblivý pøedmìt mimo dopravu	3	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	-	-	-	-	-
E822	Úraz pøi nastupování nebo vystupování mimo dopravu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E823	Jiný nebo NS úraz mimo dopravu	28	-	1	-	-	-	-	-	5	1	4	5	3	-	3	2	-	3	1	-	-	-	-
																								
D4	Jiné úrazy silnièními vozidly	73	-	-	-	-	-	1	4	3	3	2	1	1	3	6	8	17	9	5	4	3	3	-
E825	Úraz poulièní drahou, mimo srážku s motorovým vozidlem	20	-	-	-	-	-	-	1	-	2	2	-	1	1	2	1	5	2	-	1	1	1	-
E826	Úraz jízdním kolem ,  mimo srážku s motorovým vozidlem nebo tramvají	42	-	-	-	-	-	1	3	3	1	-	1	-	1	4	5	9	6	3	1	2	2	-
E827	Úraz zpùsobený jiným silnièním vozidlem bez motoru	11	-	-	-	-	-	-	-	-	-	-	-	-	1	-	2	3	1	2	2	-	-	-
																								
D5	Úrazy pøi vodní dopravì	2	-	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E830	Srážka, ztroskotání, pøevržení mající za následek potopení 	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E831	Srážka, ztroskotání, pøevržení bez potopení 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E832	Jiné potopení nebo utonutí pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E833	Pád na schodech nebo ze žebøíku pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E834	Jiný pád s výšky  pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E835	Jiný a NS pád pøi vodní dopravì	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E836	Úraz u stroje pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E837	Výbuch, oheò, popálení pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E838	Jiný nebo NS úraz pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																								
D6	Úrazy pøi dopravì vzduchem a mimovzdušným prostorem	14	-	-	-	-	-	-	-	-	2	3	1	2	2	2	1	1	-	-	-	-	-	-
E840	Nehoda motorového letadla pøi stratu nebo pøistávání	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-
E841	Jiná nebo NS nehoda motorového letadla	10	-	-	-	-	-	-	-	-	2	1	-	1	2	2	1	1	-	-	-	-	-	-
E842	Nehoda letadla bez motoru	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E843	Pád v letadle, na letadle  nebo z letadla	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E844	Jiný blíže psaný úraz pøi dopravì vzduchem	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-
E845	Nehoda kosmické lodi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E846	Úraz pøi dopravì vzduchem ne prostorem NS	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	-	-	-	-
																								
	Náhodné otravy léky a drogami	8	-	-	1	-	-	-	-	-	3	-	-	1	-	2	-	-	-	-	1	-	-	-
E850	Antibiotiky a jinými prostøedky proti infekcím	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E851	Hormony a jejich syntetickými náhradami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E852	Látkami primárnì pùsobícími na celý organismus a složky krve	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E853	Analgetiky a antipyretiky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E854	Sedativy a hypnotiky	2	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	1	-	-	-
E855	Léky pùsobícími primárnì na nervovou soustavu a psychofarmaky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E856	Jinými ataraktiky a stimulaci CNS	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
E857	Látkami pùsobícími na ústrojí obìhu krevního	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E858	Léky pùsobícími na ústrojí trávicí	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E859	Náhodné otravy jinými léèivy	5	-	-	1	-	-	-	-	-	1	-	-	1	-	2	-	-	-	-	-	-	-	-
																								
	Náhodné otravy jinými pevnými nebo tekutými látkami	67	-	-	-	1	2	2	2	2	8	7	3	5	7	8	4	6	5	2	-	2	-	1
E860	Alkohol	38	-	-	-	-	-	-	-	1	6	6	3	4	5	5	-	1	5	1	-	1	-	-
E861	Èisticí a lešticí prostøedky	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
E862	Dezinfekèní  prostøedky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E863	Barvy atd.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E864	Výrobky z ropy a  jiná rozpustidla 	3	-	-	-	-	-	-	-	1	-	1	-	-	-	1	-	-	-	-	-	-	-	-
E865	Pesticidy, umìlá hnojiva, prostøedky pro výživu rostlin	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E866	Tìžké kovy a jejich páry	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E867	Žíravé a leptavé látky nezaøaditelné jinam	6	-	-	-	-	-	-	-	-	1	-	-	1	-	1	2	1	-	-	-	-	-	-
E868	Škodlivé potraviny a jedovaté rostliny	10	-	-	-	1	1	2	2	-	-	-	-	-	-	-	1	1	-	1	-	1	-	-
E869	Jiné a NS látky pevné a tekuté	8	-	-	-	-	1	-	-	-	1	-	-	-	1	1	1	3	-	-	-	-	-	-
																								
	Náhodné otravy plyny a parami	256	2	1	2	1	1	1	4	11	16	14	12	10	10	20	12	18	23	21	27	31	12	7
