1970;Zemřelé ženy podle podrobného seznamu příčin smrti a věku;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
MKN (1966);Název;Celkem;0;1;2;3;4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85+
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";CELKEM ZEMŘELÝCH ŽEN;58 324;1 258;73;41;32;37;101;103;229;226;226;244;411;669;1 237;1 157;2 852;4 791;7 101;9 808;10 797;9 099;7 832
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
I;Nemoci infekční a parazitární;388;15;1;2;-;-;2;1;1;4;2;5;6;8;7;9;23;38;50;65;66;57;26
0;Cholera;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1;Břišní tyfus;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-
2;Paratyfus;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3;Jiné infekce způsobené salmonelami;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-
4;Bacilární úplavice;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-
5;Alimentární intoxikace;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
6;Úplavice amébová;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
7;Jiná střevní onemocnění protozoární;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
8;Střevní zánět způsobený jiným určeným mikroorganismem;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
9;Průjmová onemocnění;16;7;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;-;3;-
10;Koniotuberkulóza;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-
11;Tuberkulóza plic;211;-;-;-;-;-;-;-;-;1;1;2;2;3;3;2;16;16;29;39;46;37;14
12;Jiná tuberkulóza dýchacího ústrojí;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
13;Tuberkulóza mozkomíšních plen a centrální nervové soustavy;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-
14;Tuberkulóza střev, pobřišnice a uzlin okruží;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;1;1;-
15;Tuberkulóza kostí a kloubů;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;3
16;Tuberkulóza ústrojí močového a pohlavního;5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;-;1;-
17;Tuberkulóza jiných orgánů;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
18;Diseminovaná tuberkulóza několika orgánových soustav;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;3;2;-
19;Pozdní následky tuberkulózy;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;1;1;-
20;Mor;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
21;Tularemie;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
22;Uhlák;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
23;Vlnivá horečka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24;Vozhřivka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25;Melioidosis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
26;Horečka z krysího kousnutí;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
27;Ostatní zoonotické bakteriální nemoci;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
30;Malomocenství;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31;Jiné nemoci působené mykobaktériemi;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
32;Záškrt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
33;Dávivý kašel;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
34;Streptokoková angína a spála;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
35;Růže;7;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;1;3;-
36;Meningokové infekce;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
37;Tetanus;16;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3;1;4;3;1;2
38;Septikémie;11;1;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;1;1;2;1;-;2
39;Jiné bakteriální nemoci;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
40;Akutní paralytická poliomyelitis určená jako bulbární;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
41;Akutní poliomyelitis s jinými obrnami;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
42;Akutní neparalytická poliomyelitis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
43;Akutní poliomyelitis blíže neurčená;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
44;Pozdní následky akutní poliomyelitidy;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-
45;Aseptická meningitis způsobená enterovirem;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
46;Jiné enterovirové nemoci centrální nervové soustavy;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
50;Neštovice;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
51;Kravské neštovice;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
52;Plané neštovice;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
53;Pásový opar;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-
54;Prostý opar;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
55;Spalničky;3;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
56;Zarděnky;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
57;Jiné virové nemoci s vyrážkou;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
60;Žlutá zimnice;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
61;Dengue;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
62;Virový zánět mozku-přenášený komáry;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
63;Virový zánět mozku-přenášený klíšťaty;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-
64;Virový zánět mozku -přenášený jinými členovci;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-
65;Virový zánět mozku bez bližšího označení;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-
66;Pozdní následky virového zánětu mozku;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-
67;Hemoragická horečka přenášená členovci;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
68;Jiné virové nemoci přenášené členovci;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
70;Infekční zánět jater;31;2;-;-;-;-;1;1;1;1;1;3;2;-;1;1;-;-;5;7;2;2;1
71;Vzteklina;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
72;Epidemický zánět příušnic;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-
73;Psittacosis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
74;Specifická onemocnění způsobená virem Coxsackie;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
75;Infekční mononukleóza;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
76;Trachom aktivní;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
77;Pozdní následky trachomu;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
78;Jiná virová onemocnění spojivek;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
79;Jiné virové nemoci;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
80;Epidemická skvrnivka - přenášená vešmi;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
81;Jiná skvrnivka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
82;Rickettsiózy přenášené klíšťaty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
83;Jiné rickettsiózy;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
84;Malárie;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
85;Leishmanióza;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
86;Americká trypanosomiáza;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
87;Jiná trypanosomiáza;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
88;Návratná horečka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
89;Jiné nemoci přenášené členovci;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
90;Vrozená syfilis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
91;Čerstvá  syfilis, s příznaky;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
92;Čerstvá syfilis,latentní;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
93;Kardiovaskulární syfilis;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5;4;3;3;3;-
94;Syfilis centrálního nervstva;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;2;2;-;-;-
95;Jiné formy pozdní syfilidy, s příznaky;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
96;Pozdní syfilis, latentní (trvání 2 roky a více);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
97;Jiná syfilis a NS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
98;Gonokoková onemocnění;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
