1988	Zemøelé ženy podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																							
MKN (1976)	Název	Celkem	0	1	2	3	4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85+
																								
VN	Vnìjší pøíèiny poranìní a otrav	3727	37	13	7	6	9	21	20	54	47	47	55	74	108	93	80	108	150	208	270	617	810	893
																								
D1	Úrazy na železnicích	40	-	-	-	1	-	1	1	3	1	1	2	1	3	2	-	5	2	2	5	7	2	1
E800	Srážka se železnièními vozidly	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1	-
E801	Náraz na jiný pøedmìt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E802	Vykolejení bez pøedchozí srážky nebo nárazu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E803	Výbuch, oheò nebo popálení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E804	Pád ve vlaku nebo z vlaku	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E805	Zasažení železnièním vozidlem	36	-	-	-	-	-	1	1	3	-	1	2	1	3	2	-	4	2	2	5	7	1	1
E806	Jiný blíže popsaný úraz  na železnici	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E807	Železnièní úraz NS	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
																								
D2	Provozní úrazy motorovými vozidly	299	1	2	1	1	4	9	8	17	13	9	12	11	24	16	11	16	23	23	22	37	23	16
E810	Srážka motorového vozidla s vlakem	4	-	-	-	-	-	-	-	-	1	1	1	-	-	-	-	-	1	-	-	-	-	-
E811	Srážka motorového vozidla s jiným motorovým vozidlem pøi návratu do jízdní dráhy	3	-	-	-	-	1	-	1	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-
E812	Jiná srážka motorového vozidla s jiným motorovým vozidel	25	-	-	-	-	-	-	1	4	2	2	1	2	2	4	-	3	2	-	1	1	-	-
E813	Srážka motorového vozidla s jiným vozidlem	13	-	-	-	-	-	-	-	1	1	-	1	-	1	-	1	1	2	3	2	-	-	-
E814	Srážka motorového vozidla s chodcem	97	-	-	-	-	-	6	4	3	2	-	-	1	7	4	5	6	8	8	5	19	11	8
E815	Jiný náraz motorového vozidla na pøedmìt na silnici	11	-	-	-	-	-	-	-	1	1	-	-	-	2	2	-	2	1	1	-	1	-	-
E816	Ztráta vlády nad motorovým vozidlem na silnici, beze srážky	10	1	-	-	-	-	1	-	1	-	1	-	-	-	-	-	1	-	2	-	2	1	-
E817	Úraz pøi nastupování nebo vystupování, bez srážky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E818	Jiný provozní úraz motorovým vozidlem bez srážky	2	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	1	-
E819	Jiný provozní úraz motorovým vozidlem, bez srážky	134	-	2	1	1	3	2	2	7	6	5	9	6	12	6	5	3	9	9	14	14	10	8
																								
D3	Neprovozní úrazy motorovými vozidly	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E820	Neprovozní úraz motorovým vozidlem pro jizdu na snìhu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E821	Neprovozní úraz jiným mimosilnièním motorovým vozidlem 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E822	Neprovozní úraz jiným motorovým vozidlem pøi srážce s pohybujícím se pøedmìtem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E823	Neprovozní úraz  jiným motorovým vozidlem pøi nárazu na nepohybující se pøedmìt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E824	Neprovozní úraz jiným motorovým vozidlem pøi nastupování nebo vystupování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E825	Neprovozní úraz jiné nebo NS povahy jiným  motorovým vozidlem	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
																								
D4	Úrazy jinými silnièními vozidly	18	-	-	-	-	-	-	-	-	-	-	2	-	1	1	-	1	1	1	1	5	3	2
