1994;Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
MKN (1993);Název;Celkem;0;1;2;3;4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85+
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";CELKEM ZEMØELİCH EN;58 764;361;37;22;27;16;66;66;138;160;140;184;336;667;1 059;1 305;1 673;3 184;5 386;8 538;6 947;13 549;14 903
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
I;Nìkteré infekèní a parazitární nemoci;158;3;-;4;-;-;1;1;1;-;4;3;2;4;3;5;6;8;8;27;16;35;27
A02;Jiné infekce zpùsobené salmonelami;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;2
A03;Shigellosis;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-
A04;Jiné bakteriální støevní infekce;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;2
A05;"Jiné bakteriální otravy (intoxikace) ";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -"
A06;Amoebiasis - amébóza;" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -"
A08;Virové a jiné specifikované støevní infekce;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A09;Prùjem-diarrhoea a gastroenteritida pøedpokládaného infekèního pùvodu;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
A15;"TBC dıchacího ústrojí bakteriologicky
a histologicky ovìøená ";30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;6;5;9;7
A16;"TBC dıchacího ústrojí bakteriologicky 
a histologicky neovìøená ";14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3;-;6;2
A17;Tuberkulóza nervové soustavy;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A18;TBC jinıch orgánù;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1
