1997	Zemřelé ženy podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny																							
MKN (1993)	Název	Celkem	0	1	2	3	4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85 +
																								
VN	Vnější příčiny poranění a otrav	2794	9	5	6	9	6	18	19	62	76	56	72	75	111	129	105	91	75	135	218	301	417	799
																								
DN	Dopravní nehody	384	-	1	4	2	4	10	10	32	32	20	30	15	22	22	25	20	22	22	26	22	24	19
																								
	Chodec zraněný při dopravní nehodě     V01-V09	90	-	-	1	1	2	4	4	2	2	-	4	2	1	8	7	3	6	8	7	12	9	7
V01	Chodec zraněný při srážce s jízdním kolem	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-
V02	Chodec zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	1	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V03	Chodec zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním	56	-	-	1	1	1	2	3	2	1	-	3	2	1	4	4	2	4	3	4	8	7	3
V04	Chodec zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	8	-	-	-	-	-	1	1	-	1	-	-	-	-	-	-	-	1	2	-	1	1	-
V05	Chodec zraněný při srážce s železničním vlakem nebo s železničním vozidlem	16	-	-	-	-	-	-	-	-	-	-	1	-	-	4	3	1	-	2	3	-	-	2
V06	Chodec zraněný při srážce s jiným nemotorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V09	Chodec zraněný při jiných a neurčených dopravních nehodách	7	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	1	-	2	1	2
																								
	Cyklista zraněný při dopravní nehodě     V10-V19	30	-	-	-	-	-	-	1	-	2	2	-	-	1	1	5	6	4	1	4	1	1	1
V10	Cyklista zraněný při srážce s chodcem nebo zvířetem	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-
V11	Cyklista zraněný při srážce s jiným jízdním kolem	3	-	-	-	-	-	-	-	-	-	-	-	-	1	-	2	-	-	-	-	-	-	-
V12	Cyklista zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V13	Cyklista zraněný při srážce s automobilem osobním,dodávkovým  nebo lehkým nákladním	10	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1	5	1	1	1	-	-	-
V14	Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	4	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	2	-	-	-	-	-
V15	Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V16	Cyklista zraněný při srážce s jiným nemotorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V17	Cyklista zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem]	2	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-
V18	Cyklista zraněný při dopravní nehodě bez srážky	6	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	1	-	2	1	1	-
V19	Cyklista zraněný při jiným a neurčených dopravních nehodách	4	-	-	-	-	-	-	1	-	-	-	-	-	-	-	1	-	-	-	1	-	-	1
																								
	Jezdec na motocyklu zraněný při dopravní nehodě    V20-V29	2	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	1	-
V20	Jezdec na motocyklu zraněný při srážce s chodcem nebo zvířetem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V21	Jezdec na motocyklu zraněný při srážce s jízdním kolem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V22	Jezdec na motocyklu zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V23	Jezdec na motocyklu zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V24	Jezdec na motocyklu zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V25	Jezdec na motocyklu zraněný při srážce s železničním vlakem nebo  železničním vozidlem	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-
V26	Jezdec na motocyklu zraněný při srážce s jiným nemotorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V27	Jezdec na motocyklu zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem]	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-
V28	Jezdec na motocyklu zraněný při dopravní nehodě bez srážky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V29	Jezdec na motocyklu zraněný při jiných a neurčených dopravních nehodách	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																								
