1920,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1920),Název,Celkem,0,1-4,5-9,10-14,15-19,20-29,30-39,40-59,60-79,80+,Nezjiš- těno
,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,89566,18192,2831,1812,1581,2716,6466,5802,14079,28823,7199,65
,,,,,,,,,,,,,
I,Nemoci epidemické a  endemické,4863,669,561,342,233,317,679,510,762,729,60,1
1a,Tyf střevní,407,4,2,17,39,70,126,67,67,15,-,-
1b,Paratyfy,15,-,2,2,-,-,5,3,3,-,-,-
2,Tyf skvrnitý,8,-,-,-,-,-,1,-,4,3,-,-
3,Tyf zvratný,-,-,-,-,-,-,-,-,-,-,-,-
5a,Malarie,1,-,-,-,-,-,-,1,-,-,-,-
5b,Malarická sešlost,1,-,-,-,-,-,-,-,1,-,-,-
6,Neštovice,305,60,63,42,15,12,25,34,47,7,-,-
7,Spalničky,283,134,111,30,5,1,-,-,1,1,-,-
8,Spála,34,3,10,14,2,-,2,2,1,-,-,-
9,Zajíkavý kašel,216,156,55,3,-,-,1,-,1,-,-,-
10,Záškrt,306,55,152,72,14,3,3,3,2,2,-,-
11a,Chřipka s plicními komplikacemi,894,31,33,27,25,80,204,126,160,197,11,-
11b,Chřipka bez komplikací plic,1616,131,73,75,78,105,238,200,315,367,34,-
13,Zánět příušnic,4,1,-,-,-,-,-,3,-,-,-,-
15,Choleroidní zánět střev,1,-,-,-,-,1,-,-,-,-,-,-
16,Úplavice,371,29,42,51,26,20,23,30,74,69,7,-
19,Spirochetosa ikterohaemor,-,-,-,-,-,-,-,-,-,-,,
21,Růže,182,59,2,1,-,1,11,13,37,50,7,1
22,Prudký zánět předních rohů míšních,2,-,-,-,-,-,2,-,-,-,-,-
23,Lethargův zánět střev,195,2,12,6,27,24,33,25,48,17,1,-
24,Epidemické ztrnutí šíje,22,4,4,2,2,-,5,3,1,1,-,-
25,Ostatní nemoci epidemické,-,-,-,-,-,-,-,-,-,-,,
,,,,,,,,,,,,,
II,Nemoci  infekční,14524,728,422,546,695,1527,3269,2401,3303,1579,45,9
26,Ozhřivka,2,-,-,-,-,1,-,-,1,-,-,-
27,Uhlák a sněť slezinná,2,-,-,-,-,1,-,-,1,-,-,-
28,Vzteklina,7,-,-,1,-,4,-,-,1,1,-,-
29,Ztrnutí ranné,151,64,2,10,10,7,13,8,24,12,1,-
30,Mykosy,3,-,-,-,-,-,1,1,1,-,-,-
31,Tuberkulosa ústrojí dýchacího,12053,323,254,348,529,1340,2983,2144,2834,1260,30,8
32,Tuberkulosa mozkových blan nebo centrálního systému nervového,493,67,103,116,59,46,40,22,28,12,-,-
33,Tuberkulosa střev neb pobřišnice ,300,15,18,14,29,30,42,36,87,29,-,-
34,Tuberkulosa obratlů,81,2,2,2,4,7,13,7,25,18,1,-
35,Tuberkulosa kloubů,77,2,1,2,2,5,8,4,22,31,-,-
36a,Tuberkulosa kůže nebo podkožního vaziva,65,20,10,11,7,1,2,4,4,5,1,-
36b,Tuberkulosa kostí,324,5,3,9,15,25,28,26,101,109,3,-
36c,Tuberkulosa lymfatického systému,22,6,3,1,-,4,3,-,1,4,-,-
36d,Tuberkulosa ústrojí urogenitálního,8,-,1,-,-,1,4,1,-,1,-,-
36,Tuberkulosa jiných orgánů,29,4,-,2,3,4,6,4,3,3,-,-
37a,Tuberkulosa prudká,72,7,7,14,12,15,17,-,-,-,-,-
37b,Tuberkulosa vleklá,28,-,-,-,-,-,4,5,14,5,-,-
37c,Tuberkulosa bez bližšího označení,52,-,-,-,-,-,6,18,20,8,-,-
38,Příjice,114,71,2,1,-,4,8,7,15,6,-,-
40,Kapavka,-,-,-,-,-,-,-,-,-,-,-,-
41,Otrava krve,634,139,15,15,25,32,91,112,120,75,9,1
42,Ostatní nemoci epidemické a infekční,7,3,1,-,-,-,-,2,1,-,-,-
,,,,,,,,,,,,,
RA,,5671,35,5,10,9,8,70,277,2259,2848,149,1
KR,,175,12,9,8,5,7,14,23,66,30,1,0
EN,,848,150,115,28,25,13,45,45,207,215,5,0
DU,,87,0,0,0,1,2,8,10,39,25,2,0
III,Celkové nemoci výše nejmenované,6753,203,131,48,41,31,131,350,2552,3110,155,1
43,Rakovina neb jiné zhoubné nádory dutiny ústní,31,1,-,-,-,-,-,1,6,20,3,-
44,"Rakovina neb jiné zhoubné nádory žaludku, jater",2573,14,1,1,2,1,12,67,899,1508,68,-
45,"Rakovina neb jiné zhoubné nádory pobřišnice, střev neb konečníku",643,6,-,-,1,1,11,26,224,349,25,-
46,Rakovina neb jiné zhoubné nádory rodidel,1061,-,-,-,-,-,15,100,573,362,10,1
47,Rakovina neb jiné zhoubné nádory prsu,303,-,-,-,-,-,3,17,163,111,9,-
48,Rakovina neb jiné zhoubné nádory kůže,67,-,1,-,-,-,-,2,8,45,11,-
49,Rakovina neb jiné zhoubné nádory orgánů ostatatních nebo blíže neurčených,912,8,3,6,3,3,23,56,350,437,23,-
50,"Nádory, jež nejsou zhoubné, neb jichž zhoubná povaha není specifikována",30,4,-,-,-,1,1,2,14,8,-,-
51,Prudký horečnatý hostec kloubní,26,1,-,-,7,3,5,2,5,3,-,-
52,"Vleklý hostec, dna",258,-,-,4,2,2,10,16,102,118,4,-
53,Kurděje,4,2,-,1,1,-,-,-,-,-,-,-
56,Křivice,270,133,115,19,3,-,-,-,-,-,-,-
57,Cukrovka,216,-,-,-,10,7,24,17,72,85,1,-
58a,Nedokrevnost zhoubná,165,12,8,8,3,6,12,23,65,27,1,-
58b,Jiné nedokrevnosti a blednička,9,-,-,-,2,1,2,-,1,3,-,-
59,Choroby hypophysy,-,-,-,-,-,-,-,-,-,-,-,-
60a,Basedowova nemoc,25,-,-,-,-,-,3,6,10,6,-,-
60b,Jiná onemocnění štítné žlázy,20,-,-,-,1,1,2,2,12,2,-,-
61,Nemoci žlázek přištítných,18,12,-,1,-,-,1,2,2,-,-,-
62,Nemoci brzlíku,6,2,-,3,1,-,-,-,-,-,-,-
63,Nemoci nadledvinek (nemoc Addisonova),5,-,-,-,-,-,-,-,4,1,-,-
64,Nemoci sleziny,1,-,1,-,-,-,-,-,-,-,-,-
65,Bělokrevnost nebo  Hodgkinova nemoc,51,2,-,3,3,2,5,6,22,8,-,-
66,Alkoholismus,26,-,-,-,-,-,1,3,12,10,-,-
67,Vleklé otravy nerostnými látkami,1,-,-,-,-,-,-,-,-,1,-,-
68,Vleklé otravy ústrojnými látkami,1,-,-,-,-,-,-,-,1,-,-,-
69,Ostatní celkové nemoci,31,6,2,2,2,3,1,2,7,6,-,-
,,,,,,,,,,,,,
IV,Choroby systému nervového a smyslových orgánů,8757,3279,349,221,167,138,287,344,1340,2325,303,4
70,Zánět mozku,245,22,26,28,13,22,40,29,41,22,2,-
71,Zánět mozkových blan,982,213,163,159,105,64,69,66,103,39,1,-
72,Úbytě míchy,123,-,-,1,-,1,6,10,59,46,-,-
