1922,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1920),Název,Celkem,0,1-4,5-9,10-14,15-19,20-29,30-39,40-59,60-79,80+,Nezjiš- těno
,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,82108,22421,3543,970,1015,2009,4891,3988,13791,24021,5427,32
,,,,,,,,,,,,,
I,Nemoci epidemické a endemické,2378,714,498,111,58,107,168,94,257,346,24,1
1a,Tyf střevní,255,2,1,6,25,47,69,31,54,20,-,-
1b,Paratyfy,9,1,-,-,-,1,1,1,4,1,-,-
2,Tyf skvrnitý,9,-,-,-,-,-,5,3,1,-,-,-
3,Tyf zvratný,-,-,-,-,-,-,-,-,-,-,-,-
5a,Malarie,11,-,-,-,-,-,1,4,6,-,-,-
5b,Malarická sešlost,-,-,-,-,-,-,-,-,-,-,-,-
6,Neštovice,1,1,-,-,-,-,-,-,-,-,-,-
7,Spalničky,232,100,119,11,1,1,-,-,-,-,-,-
8,Spála,165,22,76,46,10,6,5,-,-,-,-,-
9,Zajíkavý kašel,464,343,119,2,-,-,-,-,-,-,-,-
10,Záškrt,169,41,106,15,3,2,1,-,-,1,-,-
11a,Chřipka s plicními komplikacemi,277,36,20,5,1,8,18,16,60,107,6,-
11b,Chřipka bez komplikací plic,465,81,38,11,7,18,24,24,77,171,14,-
13,Zánět příušnic,3,1,1,-,-,-,-,-,-,1,-,-
15,Choleroidní zánět střev,3,-,1,-,-,1,-,-,1,-,-,-
16,Úplavice,41,5,5,4,2,3,5,4,5,7,-,1
19,Spirochetosa ikterohaemor,1,-,-,-,-,-,-,1,-,-,-,-
21,Růže,156,77,2,2,1,5,6,5,27,27,4,-
22,Prudký zánět předních rohů míšních,1,1,-,-,-,-,-,-,-,-,-,-
23,Lethargův zánět střev,77,2,6,7,5,10,12,4,20,11,-,-
24,Epidemické ztrnutí šíje,39,1,4,2,3,5,21,1,2,-,-,-
25,Ostatní nemoci epidemické,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
II,Nemoci infekční,11531,887,474,260,324,914,2527,1701,3113,1296,32,3
26,Ozhřivka,2,-,-,-,-,-,2,-,-,-,-,-
27,Uhlák a sněť slezinná,3,-,-,-,-,-,-,-,2,1,-,-
28,Vzteklina,26,-,2,2,2,2,3,4,7,4,-,-
29,Ztrnutí ranné,201,76,5,14,27,14,9,13,34,9,-,-
30,Mykosy,1,-,-,-,-,-,-,-,1,-,-,-
31,Tuberkulosa ústrojí dýchacího,9189,339,250,110,142,760,2287,1550,2680,1043,25,3
32,Tuberkulosa mozkových blan nebo centrálního systému nervového,521,94,149,67,55,38,44,22,41,11,-,-
33,Tuberkulosa střev neb pobřišnice ,169,12,13,9,8,18,26,22,33,28,-,-
34,Tuberkulosa obratlů,64,-,1,1,6,5,10,7,23,11,-,-
35,Tuberkulosa kloubů,40,1,2,3,5,1,1,4,8,15,-,-
36a,Tuberkulosa kůže nebo podkožního vaziva,57,23,11,3,3,1,6,3,6,1,-,-
36b,Tuberkulosa kostí,249,2,4,16,25,27,47,14,49,63,2,-
36c,Tuberkulosa lymfatického systému,22,4,5,2,-,-,4,1,5,1,-,-
36d,Tuberkulosa ústrojí urogenitálního,10,-,-,1,1,-,1,1,5,1,-,-
36,Tuberkulosa jiných orgánů,24,1,1,1,1,1,4,1,8,6,-,-
37a,Tuberkulosa prudká,57,5,6,6,11,10,19,-,-,-,-,-
37b,Tuberkulosa vleklá,1,-,-,-,-,-,-,-,1,-,-,-
37c,Tuberkulosa bez bližšího označení,49,-,-,-,-,-,7,12,25,4,1,-
38,Příjice,179,115,4,-,-,-,8,11,37,4,-,-
40,Kapavka,-,-,-,-,-,-,-,-,-,-,-,-
41,Otrava krve,667,215,21,25,38,37,49,36,148,94,4,-
42,Ostatní nemoci a infekční,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
RA,,5362,14,9,13,11,16,56,143,1894,3057,148,1
KR,,111,11,10,2,0,2,7,8,52,18,1,0
EN,,778,171,101,16,18,24,40,33,165,202,8,0
DU,,452,6,8,15,19,17,73,62,169,81,2,0
III,Celkové nemoci výše nejmenované,6460,198,120,32,30,46,112,203,2226,3334,158,1
43,Rakovina neb jiné zhoubné nádory dutiny ústní,122,-,-,-,1,-,1,2,43,72,3,-
44,"Rakovina neb jiné zhoubné nádory žaludku, jater",3381,5,-,1,-,1,12,67,1262,1959,73,1
45,"Rakovina neb jiné zhoubné nádory pobřišnice, střev neb konečníku",598,2,-,-,-,2,5,14,189,371,15,-
46,Rakovina neb jiné zhoubné nádory rodidel,x,x,x,x,x,x,x,x,x,x,x,x
47,Rakovina neb jiné zhoubné nádory prsu,x,x,x,x,x,x,x,x,x,x,x,x
48,Rakovina neb jiné zhoubné nádory kůže,71,-,-,-,-,-,1,1,17,41,11,-
49,Rakovina neb jiné zhoubné nádory orgánů ostatních nebo blíže neurčených,1107,2,3,6,8,9,28,49,363,595,44,-
50,"Nádory, jež nejsou zhoubné, neb jichž zhoubná povaha není specifikovaná",22,2,3,2,-,-,1,-,6,7,1,-
51,Prudký horečatý hostec kloubní,13,2,-,2,4,-,2,-,1,1,1,-
52,"Vleklý hostec, dna",141,-,1,7,4,14,11,6,37,59,2,-
53,Kurděje,6,-,1,1,-,-,1,-,2,1,-,-
56,Křivice,245,146,96,3,-,-,-,-,-,-,-,-
57,Cukrovka,316,-,1,2,10,8,20,25,107,138,5,-
58a,Nedokrevnost zhoubná,90,7,5,1,-,2,6,7,46,16,-,-
58b,Jiné nedokrevnosti a blednička,21,4,5,1,-,-,1,1,6,2,1,-
59,Nemoci hypophysy,-,-,-,-,-,-,-,-,-,-,-,-
60a,Basedowova nemoc,25,-,-,-,-,2,5,2,14,2,-,-
60b,Jiná onemocnění štítné žlázy,-,-,-,-,-,-,-,-,-,-,-,-
61,Nemoci žlázek přištítných,13,13,-,-,-,-,-,-,-,-,-,-
62,Nemoci brzlíku,13,10,2,1,-,-,-,-,-,-,-,-
63,Nemoci nadledvinek (nemoc Addisonova),6,-,-,-,-,-,1,-,4,1,-,-
64,Nemoci sleziny,-,-,-,-,-,-,-,-,-,-,-,-
