1929,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,
MKN (1920),Název,Celkem,0,1-4,5-14,15-24,25-39,40-49,50-64,65 a více,Nezjiš- těno
,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,79021,14548,2901,1983,4316,6512,5729,15092,27935,5
,,,,,,,,,,,
I,Nemoci epidemické a endemické,2804,468,580,571,235,169,127,262,392,-
1a,Tyf střevní,268,-,9,19,123,63,27,23,4,-
1b,Paratyfy,3,-,1,-,1,-,-,1,-,-
2,Tyf skvrnitý,-,-,-,-,-,-,-,-,-,-
3,Tyf zvratný,-,-,-,-,-,-,-,-,-,-
5a,Malarie,9,-,-,-,-,-,3,6,-,-
5b,Malarická sešlost,-,-,-,-,-,-,-,-,-,-
6,Neštovice,-,-,-,-,-,-,-,-,-,-
7,Spalničky,149,52,78,19,-,-,-,-,-,-
8,Spála,185,5,96,70,9,3,2,-,-,-
9,Zajíkavý kašel,122,80,39,2,-,-,-,1,-,-
10,Záškrt,729,38,265,415,1,3,2,2,3,-
11a,Chřipka s plicními komplikacemi,596,128,51,15,25,27,48,117,185,-
11b,Chřipka bez komplikací plic,299,55,21,17,19,19,12,33,123,-
13,Zánět příušnic,10,3,1,1,-,-,-,1,4,-
15,Choleroidní zánět střev,6,-,-,-,-,2,1,2,1,-
16,Úplavice,3,-,-,-,1,1,-,-,1,-
19,Spirochetosa ikterohaemor,4,-,-,-,1,2,-,1,-,-
21,Růže,259,90,1,2,9,20,21,54,62,-
22,Prudký zánět předních rohů míšních,11,1,4,2,2,-,1,1,-,-
23,Lethargův zánět střev,91,1,6,5,25,18,8,19,9,-
24,Epidemické ztrnutí šíje,54,11,6,4,19,11,2,1,-,-
25,Ostatní nemoci epidemické,6,4,2,-,-,-,-,-,-,-
,,,,,,,,,,,
II,Nemoci infekční,10170,510,364,360,1718,2682,1647,2099,790,-
26,Ozhřivka,-,-,-,-,-,-,-,-,-,-
27,Uhlák a sněť slezinná,5,-,-,-,-,2,1,-,2,-
28,Vzteklina,2,-,-,1,-,-,-,1,-,-
29,Ztrnutí ranné,165,42,9,28,16,17,13,27,13,-
30,Mykosy,7,-,-,-,1,-,1,2,3,-
31,Tuberkulosa ústrojí dýchacího,8341,162,102,122,1497,2484,1473,1860,641,-
32,Tuberkulosa mozkových blan nebo centrálního systému nervového,539,81,186,139,61,36,20,13,3,-
33,Tuberkulosa střev neb pobřišnice ,117,11,15,13,17,17,18,21,5,-
34,Tuberkulosa obratlů,69,-,1,6,15,10,7,22,8,-
35,Tuberkulosa kloubů,56,-,4,6,7,7,6,4,22,-
36a,Tuberkulosa kůže nebo podkožního vaziva,5,-,-,-,1,-,2,2,-,-
36b,Tuberkulosa kostí,101,1,5,4,24,16,9,15,27,-
36c,Tuberkulosa lymfatického systému,28,12,5,4,2,3,1,1,-,-
36d,Tuberkulosa ústrojí urogenitálního,23,-,-,1,3,5,4,6,4,-
36,Tuberkulosa jiných orgánů,15,-,-,1,3,4,2,3,2,-
37a,Tuberkulosa prudká,66,7,12,12,32,1,2,-,-,-
37b,Tuberkulosa vleklá,2,-,-,-,-,-,-,2,-,-
37c,Tuberkulosa bez bližšího označení,42,-,-,-,-,17,9,10,6,-
38,Příjice,225,64,9,3,7,34,47,50,11,-
40,Kapavka,3,1,-,-,1,-,-,1,-,-
41,Otrava krve,359,129,16,20,31,29,32,59,43,-
