1929,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,
MKN (1920),Název,Celkem,0,1-4,5-14,15-24,25-39,40-49,50-64,65 a více,Nezjiš- těno
,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,76472,11403,2525,1940,3718,6507,4611,12938,32830,-
,,,,,,,,,,,
I,Nemoci epidemické a endemické,2909,440,562,621,188,205,116,264,513,-
1a,Tyf střevní,277,1,4,30,80,79,23,46,14,-
1b,Paratyfy,12,-,-,-,5,1,2,3,1,-
2,Tyf skvrnitý,-,-,-,-,-,-,-,-,-,-
3,Tyf zvratný,-,-,-,-,-,-,-,-,-,-
5a,Malarie,-,-,-,-,-,-,-,-,-,-
5b,Malarická sešlost,-,-,-,-,-,-,-,-,-,-
6,Neštovice,-,-,-,-,-,-,-,-,-,-
7,Spalničky,146,61,73,11,-,1,-,-,-,-
8,Spála,193,12,77,78,12,14,-,-,-,-
9,Zajíkavý kašel,157,106,45,4,-,1,-,1,-,-
10,Záškrt,762,38,259,442,13,4,1,4,1,-
11a,Chřipka s plicními komplikacemi,623,106,54,19,14,37,34,105,254,-
11b,Chřipka bez komplikací plic,336,34,29,11,16,27,19,39,161,-
13,Zánět příušnic,8,-,1,1,1,-,2,2,1,-
15,Choleroidní zánět střev,4,1,-,-,2,-,-,1,-,-
16,Úplavice,11,-,-,1,1,1,-,1,7,-
19,Spirochetosa ikterohaemor,-,-,-,-,-,-,-,-,-,-
21,Růže,236,67,8,4,6,15,21,47,68,-
22,Prudký zánět předních rohů míšních,12,1,4,4,1,-,-,1,1,-
23,Lethargův zánět střev,79,-,2,6,23,21,12,11,4,-
24,Epidemické ztrnutí šíje,41,3,5,9,14,4,2,3,1,-
25,Ostatní nemoci epidemické,12,10,1,1,-,-,-,-,-,-
,,,,,,,,,,,
II,Nemoci infekční,8998,398,358,425,1942,2658,996,1440,781,-
26,Ozhřivka,-,-,-,-,-,-,-,-,-,-
27,Uhlák a sněť slezinná,2,-,-,-,-,1,-,-,1,-
28,Vzteklina,2,-,1,-,-,1,-,-,-,-
29,Ztrnutí ranné,98,23,4,14,8,18,7,14,10,-
30,Mykosy,3,-,-,-,1,2,-,-,-,-
31,Tuberkulosa ústrojí dýchacího,7390,103,124,229,1786,2467,869,1219,593,-
32,Tuberkulosa mozkových blan nebo centrálního systému nervového,460,68,165,130,51,28,7,9,2,-
33,Tuberkulosa střev neb pobřišnice ,152,8,11,15,27,33,24,26,8,-
34,Tuberkulosa obratlů,87,-,4,2,8,12,7,29,25,-
35,Tuberkulosa kloubů,67,2,2,5,4,2,5,17,30,-
36a,Tuberkulosa kůže nebo podkožního vaziva,13,-,-,-,1,2,5,-,5,-
36b,Tuberkulosa kostí,140,4,3,7,5,4,9,49,59,-
36c,Tuberkulosa lymfatického systému,26,3,6,2,-,3,1,6,5,-
36d,Tuberkulosa ústrojí urogenitálního,16,-,-,2,2,4,3,5,-,-
36,Tuberkulosa jiných orgánů,9,1,2,-,1,1,1,2,1,-
37a,Tuberkulosa prudká,66,12,15,14,19,6,-,-,-,-
37b,Tuberkulosa vleklá,2,-,-,-,-,1,-,1,-,-
37c,Tuberkulosa bez bližšího označení,37,-,-,-,-,15,8,9,5,-
38,Příjice,150,70,6,1,7,17,19,21,9,-
40,Kapavka,3,2,-,-,-,1,-,-,-,-
41,Otrava krve,275,102,15,4,22,40,31,33,28,-
42,Ostatní nemoci a infekční,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
RA,,7577,13,17,16,61,439,867,2815,3349,0
KR,,194,5,9,2,13,30,34,56,45,0
EN,,998,97,38,28,39,72,73,296,355,0
DU,,121,0,0,2,5,12,15,43,44,0
III,Celkové nemoci výše nejmenované,8831,122,66,48,120,546,980,3187,3762,-
43,Rakovina neb jiné zhoubné nádory dutiny ústní,38,-,-,-,-,1,4,6,27,-
44,"Rakovina neb jiné zhoubné nádory žaludku, jater",3579,-,-,1,6,80,249,1329,1914,-
