1934,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,
MKN (1929),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65 a více,Nezjiš- těno
,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,66808,8016,1937,2206,2463,3592,3799,5136,8883,30774,2
,,,,,,,,,,,,
I,Nemoci nakažlivé a cizopasné,9205,518,772,1340,1302,1482,1044,810,944,993,-
1,Tyf břišní,164,1,4,20,41,38,22,16,13,9,-
2,Paratyfy,7,-,-,2,1,-,1,2,-,1,-
3,Tyf skvrnitý,-,-,-,-,-,-,-,-,-,-,-
5,"Horečka vlnitá, maltská",-,-,-,-,-,-,-,-,-,-,-
6,Neštovice pravé,-,-,-,-,-,-,-,-,-,-,-
7,Spalničky,126,47,60,17,1,1,-,-,-,-,-
8,Spála,167,2,69,86,3,4,2,1,-,-,-
9,Kašel zádušný,152,110,37,4,-,1,-,-,-,-,-
10,Záškrt,1236,34,319,850,19,5,6,2,1,-,-
11a,Chřipka neboli influenza s komplikacemi dýchadel,93,14,3,3,3,4,2,9,13,42,-
11b,Chřipka neboli influenza bez údaje takových komplikací,103,14,6,6,1,9,8,9,12,38,-
13a,Úplavice střevní amoebová,-,-,-,-,-,-,-,-,-,-,-
13b,Úplavice střevní bacilární,2,-,-,1,-,-,-,-,1,-,-
13c,Úplavice střevní nerozlišená nebo z jiné příčiny,6,-,-,2,1,1,-,-,1,1,-
15,Růže,279,76,7,3,3,12,18,28,40,92,-
16,Prudký zánět šedé hmoty míšní a prudký zánět šedé hmoty mozkové,10,-,2,3,1,1,1,2,-,-,-
17,Zánět mozku lethargický neboli epidemický,56,-,1,1,5,19,10,10,5,5,-
18,Epidemický zánět plen mozkových a míšních,10,1,-,2,-,-,4,-,1,2,-
19,Ozhřivka ,-,-,-,-,-,-,-,-,-,-,-
20,Uhlák,-,-,-,-,-,-,-,-,-,-,-
21,Vzteklina,-,-,-,-,-,-,-,-,-,-,-
22,Ztrnutí,82,22,3,6,7,10,11,7,10,6,-
23(4),Tuberkulosa ústrojí dýchacího,5446,53,81,170,1126,1272,830,618,697,599,-
24,Tuberkulosa plen a ústřední soustavy čivové,343,32,138,100,28,16,13,5,6,5,-
25,Tuberkulosa střev a pobřišnice,118,2,7,15,17,16,17,17,17,10,-
26,Tuberkulosa páteře,83,1,3,5,2,5,9,10,20,28,-
27,Tuberkulosa kostí a kloubů,183,1,3,13,12,10,12,13,36,83,-
28,Tuberkulosa kůže a podkožního tuku,21,1,-,-,-,-,1,-,4,15,-
29,Tuberkulosa soustavy mízní,15,1,2,2,1,3,1,2,2,1,-
30,Tuberkulosa ústrojí pohlavního a močového,27,-,-,4,5,4,6,4,1,3,-
31,Tuberkulosa jiných míst,1,-,-,-,-,-,-,-,-,1,-
32,Tuberkulosa roztroušená,59,2,12,11,7,6,9,4,3,5,-
33,Malomocenství,-,-,-,-,-,-,-,-,-,-,-
34a,Příjice vrozená,48,41,3,4,-,-,-,-,-,-,-
34b,Příjice získaná,33,-,-,-,3,4,6,8,9,3,-
34c,Příjice nerozlišená,89,2,-,-,3,10,26,18,21,9,-
35,Kapavka a jiné nemoci pohlavní,2,1,-,-,1,-,-,-,-,-,-
,,,,,,,,,,,,
36a,Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve,227,59,9,10,10,29,27,22,29,32,-
36b,Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve,5,1,1,-,-,-,-,1,-,2,-
36c,Hnisavá nákaza a otrava krve nikoli poporodní: sněť plynová,2,-,-,-,1,-,-,1,-,-,-
38a,Zimnice malarická,-,-,-,-,-,-,-,-,-,-,-
38b,Kachexie malarická,1,-,-,-,-,1,-,-,-,-,-
39,"Jiné nemoci, zaviněné cizopasnými prvoky",-,-,-,-,-,-,-,-,-,-,-
40,Ankylostomiasa,-,-,-,-,-,-,-,-,-,-,-
41a,Boubel měchožilová jater,2,-,-,-,-,-,1,-,-,1,-
41b,Boubel měchožilová jiných míst,2,-,-,-,-,-,1,-,1,-,-
42,Jiné nemoci zaviněné červy,-,-,-,-,-,-,-,-,-,-,-
43,Mykosy,1,-,-,-,-,1,-,-,-,-,-
44,Jiné nemoci nakažlivé nebo cizopasníky působené,4,-,2,-,-,-,-,1,1,-,-
,,,,,,,,,,,,
II,Rakoviny a jiné nádory,8260,5,15,30,44,182,655,1341,2238,3750,-
45,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu,92,-,-,1,1,2,4,8,22,54,-
,,,,,,,,,,,,
46a,Rakovina a jiné zhoubné nádory: požeráku,135,-,-,-,-,-,2,13,37,83,-
46b,Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku,2809,-,-,1,5,23,96,288,788,1608,-
46c,Rakovina a jiné zhoubné nádory: konečníku,325,-,-,-,-,4,19,42,98,162,-
46d,Rakovina a jiné zhoubné nádory: jater a žlučovodů,811,-,-,-,1,8,21,100,248,433,-
46,Rakovina a jiné zhoubné nádory: slinivky břišní,54,-,-,-,1,1,3,13,16,20,-
46f,Rakovina a jiné zhoubné nádory: pobřišnice,111,-,-,-,-,-,15,24,26,46,-
46g,Rakovina a jiné zhoubné nádory: jiné nádory roury zažívací a pobřišnice,444,-,-,1,1,10,18,55,120,239,-
47,Rakovina a jiné zhoubné nádory: ústrojí dýchacího,149,-,-,1,2,8,14,30,43,51,-
48,Rakovina a jiné zhoubné nádory: dělohy,1445,-,-,-,1,55,232,396,388,373,-
49,Rakovina a jiné zhoubné nádory: jiných pohlavních ústrojů ženských,286,-,-,-,1,17,29,79,71,89,-
50,Rakovina a jiné zhoubné nádory: prsů,561,-,-,-,-,8,83,141,156,173,-
51,Rakovina a jiné zhoubné nádory: pohlavních a močových ústrojů mužských,x,x,x,x,x,x,x,x,x,x,x
52,Rakovina a jiné zhoubné nádory: kůže,166,1,-,1,-,1,3,3,15,142,-
53,Rakovina a jiné zhoubné nádory: jiných ústrojů neb ústrojů nerozlišených,505,1,9,8,9,20,38,67,147,206,-
,,,,,,,,,,,,
54a,Nádory nezhoubné: pohlavních ústrojů ženských,88,-,-,-,2,3,32,39,5,7,-
54b,Nádory nezhoubné: jiných ústrojů,13,-,-,-,2,-,-,5,3,3,-
,,,,,,,,,,,,
55a,"Nádory, jichž zhoubný ráz není rozlišen: pohlavních ústrojů ženských",24,-,-,-,1,1,5,5,4,8,-
55b,"Nádory, jichž zhoubný ráz není rozlišen: jiných ústrojů",242,3,6,17,17,21,41,33,51,53,-
,,,,,,,,,,,,
III,"Nemoci rheumatické, nemoci výživové, nemoci endokrinních žláz a jiné nemoci celkové",1341,83,34,53,29,46,75,143,304,574,-
56,"Rheumatismus kloubní prudký, horečnatý",65,-,3,25,4,9,6,9,7,2,-
57,"Rheumatismus vleklý, osteoarthritis",177,-,-,-,1,3,7,18,28,120,-
58,Dna,12,-,-,-,-,-,-,-,3,9,-
59,Úplavice cukrová,781,1,2,18,11,16,31,77,222,403,-
,Kurděje,-,-,-,-,-,-,-,-,-,-,-
60a,Dětské kurděje,-,-,-,-,-,-,-,-,-,-,-
60b,Kurděje,-,-,-,-,-,-,-,-,-,-,-
62,Pellagra,-,-,-,-,-,-,-,-,-,-,-
63,Křivice,71,36,23,4,1,-,1,3,2,1,-
64,Měknutí kostí,8,-,1,-,-,-,-,-,1,6,-
65,Nemoci podvěsku mozkového,3,-,-,-,-,2,-,1,-,-,-
,,,,,,,,,,,,
66a,Nemoci žlázy štítné a přídavných žlázek štítných: vole prosté,32,-,-,-,1,2,2,4,8,15,-
66b,Nemoci žlázy štítné a přídavných žlázek štítných: vole exopthalmické,104,-,-,1,9,10,20,27,29,8,-
66c,Nemoci žlázy štítné a přídavných žlázek štítných: myxoedem a kretismus,3,-,-,3,-,-,-,-,-,-,-
66d,Nemoci žlázy štítné a přídavných žlázek štítných: tetanie,32,28,3,1,-,-,-,-,-,-,-
66,Nemoci žlázy štítné a přídavných žlázek štítných: jiné,3,1,-,-,-,-,-,1,-,1,-
67,Nemoci brzlíku,19,15,2,1,-,1,-,-,-,-,-
68,"Nemoci nadledvinek (nemoc Addisonova), neoznačené za tuberkulosní ",20,-,-,-,2,3,7,2,2,4,-
69,"Jiné nemoci rheumatické, výživové, endokrinních žláz",11,2,-,-,-,-,1,1,2,5,-
,,,,,,,,,,,,
IV ,Nemoci krve a ústrojů krvetvorných,348,22,12,19,17,30,48,48,83,69,-
,,,,,,,,,,,,
70a,Stavy krvácivé: purpury prvotní,19,4,1,4,1,2,2,1,1,3,-
70b,Stavy krvácivé: vrozená krvácivost,11,3,1,2,3,-,1,-,1,-,-
71a,Postupná zhoubná chudokrevnost,134,4,2,2,2,11,13,26,37,37,-
71b,Jiné chudokrevnosti,21,5,-,-,2,-,3,1,4,6,-
72a,Bělokrevnost pravá,109,5,6,6,6,12,17,15,27,15,-
72b,Bělokrevnost nepravá,48,1,1,4,3,5,11,4,11,8,-
73,Nemoci sleziny,5,-,-,1,-,-,1,1,2,-,-
74,Jiné nemoci krve a ústrojů krvetvorných,1,-,1,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
V,Otravy vleklé a prudké,14,-,-,-,-,1,-,3,4,6,-
75,Alkoholismus vleklý nebo prudký,12,-,-,-,-,-,-,3,4,5,-
,,,,,,,,,,,,
76a,Vleklé otravy látkami anorganickými: živnostenské,-,-,-,-,-,-,-,-,-,-,-
76b,Vleklé otravy látkami anorganickými: jiné,2,-,-,-,-,1,-,-,-,1,-
,,,,,,,,,,,,
77a,Vleklé otravy látkami organickými: živnostenské,-,-,-,-,-,-,-,-,-,-,-
77b,Vleklé otravy látkami organickými: jiné,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
DU,,83,0,0,1,7,8,11,22,15,19,0
,,,,,,,,,,,,
VI,Nemoci soustavy nervové a čidel,6213,762,151,111,81,169,264,514,979,3182,-
,,,,,,,,,,,,
78a,Zánět mozku: hlíza mozková,15,1,-,2,-,1,2,3,5,1,-
78b,Zánět mozku: jiné záněty mozku,72,5,9,6,7,11,7,10,11,6,-
79,Prostý zánět plen mozkových,285,62,76,57,14,19,18,15,14,10,-
80,Úbyt míchy,95,-,-,-,-,6,12,18,28,31,-
81,Jiné nemoci míchy,161,1,1,4,8,10,20,23,39,55,-
82a,Krvácení mozkové ,3732,2,2,-,6,21,68,285,723,2625,-
82b,Vmetek nebo záhať mozková,190,2,1,-,1,4,13,17,29,123,-
82c,Jednostranná obrna těla a příčiny nerozlišené,290,1,3,3,2,7,14,21,35,204,-
83,Postupná obrna povšechná,183,-,-,1,2,21,45,45,36,33,-
84a,Předčasná zblbělost,9,-,-,-,-,1,2,2,3,1,-
84b,Jiné psychosy,62,-,-,1,7,7,9,17,8,13,-
85,Padoucnice,142,1,3,14,20,36,20,19,12,17,-
86,Křeče u dětí mladších 6 let,706,665,41,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
87b,Jiné nemoci soustavy nervové: neuritis,10,-,-,-,-,-,2,1,3,4,-
87c,Jiné nemoci soustavy nervové: obrna třesavá,55,1,-,1,-,5,6,5,6,31,-
