1937,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1929),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65 a více,Nezjiš- těno,
,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,70723,8910,1741,1973,2467,3630,4602,6467,10962,29966,5,
,,,,,,,,,,,,,
I,Nemoci nakažlivé a cizopasné,10161,590,644,969,865,1453,1509,1456,1462,1213,-,
1,Tyf břišní,144,1,4,14,33,48,18,15,7,4,-,
2,Paratyfy,4,-,-,-,2,2,-,-,-,-,-,
3,Tyf skvrnitý,-,-,-,-,-,-,-,-,-,-,-,
5,"Horečka vlnitá, maltská",-,-,-,-,-,-,-,-,-,-,-,
6,Neštovice pravé,-,-,-,-,-,-,-,-,-,-,-,
7,Spalničky,71,26,36,8,-,1,-,-,-,-,-,
8,Spála,141,5,65,61,6,2,2,-,-,-,-,
9,Kašel zádušný,104,77,24,3,-,-,-,-,-,-,-,
10,Záškrt,973,42,294,597,33,2,4,1,-,-,-,
11a,Chřipka neboli influenza s komplikacemi dýchadel,359,78,26,9,12,15,23,33,40,123,-,
11b,Chřipka neboli influenza bez údaje takových komplikací,268,55,14,10,8,16,11,21,32,101,-,
13a,Úplavice střevní amoebová,-,-,-,-,-,-,-,-,-,-,-,
13b,Úplavice střevní bacilární,1,-,-,-,-,1,-,-,-,-,-,
13c,Úplavice střevní nerozlišená nebo z jiné příčiny,-,-,-,-,-,-,-,-,-,-,-,
15,Růže,184,47,2,7,4,9,9,15,32,59,-,
16,Prudký zánět šedé hmoty míšní a prudký zánět šedé hmoty mozkové,21,2,5,8,4,2,-,-,-,-,-,
17,Zánět mozku lethargický neboli epidemický,50,1,-,2,4,15,10,6,8,4,-,
18,Epidemický zánět plen mozkových a míšních,25,4,2,5,8,2,3,-,-,1,-,
19,Ozhřivka ,-,-,-,-,-,-,-,-,-,-,-,
20,Uhlák,2,-,-,-,1,-,-,1,-,-,-,
21,Vzteklina,1,-,-,-,-,-,-,1,-,-,-,
22,Ztrnutí,88,24,1,22,5,11,8,5,7,5,-,
23(4),Tuberkulosa ústrojí dýchacího,6420,52,48,78,641,1232,1265,1170,1169,765,-,
24,Tuberkulosa plen a ústřední soustavy čivové,296,32,92,90,35,9,18,10,10,-,-,
25,Tuberkulosa střev a pobřišnice,72,4,2,8,8,15,13,8,7,7,-,
26,Tuberkulosa páteře,66,-,1,6,9,11,7,10,7,15,-,
27,Tuberkulosa kostí a kloubů,135,3,1,7,16,8,13,15,22,50,-,
28,Tuberkulosa kůže a podkožního tuku,7,-,-,-,-,1,-,1,2,3,-,
29,Tuberkulosa soustavy mízní,19,2,4,-,1,-,-,7,1,4,-,
30,Tuberkulosa ústrojí pohlavního a močového,39,-,-,-,1,9,12,6,6,5,-,
31,Tuberkulosa jiných míst,10,-,-,-,2,-,1,2,3,2,-,
32,Tuberkulosa roztroušená,75,15,7,11,11,6,4,12,6,3,-,
33,Malomocenství,-,-,-,-,-,-,-,-,-,-,-,
34a,Příjice vrozená,56,46,3,4,2,1,-,-,-,-,-,
34b,Příjice získaná,183,-,-,-,-,2,29,62,62,28,-,
34c,Příjice nerozlišená,86,-,-,1,1,9,34,25,11,5,-,
35,Kapavka a jiné nemoci pohlavní,5,1,1,-,1,1,-,-,1,-,-,
,,,,,,,,,,,,,
36a,Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve,219,68,10,15,15,18,21,23,22,27,-,
36b,Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve,10,2,-,1,1,-,2,3,-,1,-,
36c,Hnisavá nákaza a otrava krve nikoli poporodní: sněť plynová,3,-,-,1,-,-,1,-,-,1,-,
38a,Zimnice malarická,9,-,-,-,-,1,-,2,6,-,-,
38b,Kachexie malarická,-,-,-,-,-,-,-,-,-,-,-,
39,"Jiné nemoci, zaviněné cizopasnými prvoky",-,-,-,-,-,-,-,-,-,-,-,
40,Ankylostomiasa,-,-,-,-,-,-,-,-,-,-,-,
41a,Boubel měchožilová jater,1,-,-,-,-,1,-,-,-,-,-,
41b,Boubel měchožilová jiných míst,1,-,-,-,-,-,-,1,-,-,-,
42,Jiné nemoci zaviněné červy,-,-,-,-,-,-,-,-,-,-,-,
