1940,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,
MKN (1929),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65 a více,Nezjiš- těno
,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,50072,6365,999,997,1460,2284,3487,4717,8031,21729,3
,,,,,,,,,,,,
I,Nemoci nakažlivé a cizopasné,7208,376,343,437,664,1040,1233,1149,1067,899,-
1,Tyf břišní,102,-,1,9,31,21,24,5,3,8,-
2,Paratyfy,9,-,1,2,1,-,3,1,1,-,-
3,Tyf skvrnitý,-,-,-,-,-,-,-,-,-,-,-
5,"Horečka vlnitá, maltská",-,-,-,-,-,-,-,-,-,-,-
6,Neštovice pravé,-,-,-,-,-,-,-,-,-,-,-
7,Spalničky,22,9,12,1,-,-,-,-,-,-,-
8,Spála,59,3,30,19,3,1,2,1,-,-,-
9,Kašel zádušný,62,52,8,2,-,-,-,-,-,-,-
10,Záškrt,406,20,140,217,25,2,-,2,-,-,-
11a,Chřipka neboli influenza s komplikacemi dýchadel,155,47,7,2,3,4,6,13,20,53,-
11b,Chřipka neboli influenza bez údaje takových komplikací,89,35,2,-,2,3,4,6,6,31,-
13a,Úplavice střevní amoebová,-,-,-,-,-,-,-,-,-,-,-
13b,Úplavice střevní bacilární,1,-,1,-,-,-,-,-,-,-,-
13c,Úplavice střevní nerozlišená nebo z jiné příčiny,12,-,-,-,-,1,3,1,3,4,-
15,Růže,81,31,1,2,3,2,3,6,8,25,-
16,Prudký zánět šedé hmoty míšní a prudký zánět šedé hmoty mozkové,18,-,5,8,2,3,-,-,-,-,-
17,Zánět mozku lethargický neboli epidemický,22,-,-,-,-,9,6,1,3,3,-
18,Epidemický zánět plen mozkových a míšních,85,17,12,18,16,11,7,1,2,1,-
19,Ozhřivka ,-,-,-,-,-,-,-,-,-,-,-
20,Uhlák,1,-,-,-,-,-,1,-,-,-,-
21,Vzteklina,-,-,-,-,-,-,-,-,-,-,-
22,Ztrnutí,95,15,3,16,4,9,11,11,14,12,-
23(4),Tuberkulosa ústrojí dýchacího,5101,34,45,52,490,909,1063,981,888,639,-
24,Tuberkulosa plen a ústřední soustavy čivové,183,25,53,46,31,12,8,6,2,-,-
25,Tuberkulosa střev a pobřišnice,68,3,2,5,12,13,7,12,7,7,-
26,Tuberkulosa páteře,63,1,2,6,5,8,3,13,15,10,-
27,Tuberkulosa kostí a kloubů,103,1,1,4,8,10,8,11,18,42,-
28,Tuberkulosa kůže a podkožního tuku,10,1,-,-,-,-,-,2,-,7,-
29,Tuberkulosa soustavy mízní,9,1,1,1,2,1,2,-,1,-,-
30,Tuberkulosa ústrojí pohlavního a močového,18,-,-,1,2,5,4,1,3,2,-
31,Tuberkulosa jiných míst,6,-,-,-,-,-,-,1,2,3,-
32,Tuberkulosa roztroušená,48,2,11,5,12,3,7,4,4,-,-
33,Malomocenství,-,-,-,-,-,-,-,-,-,-,-
34a,Příjice vrozená,38,32,1,4,-,1,-,-,-,-,-
34b,Příjice získaná,83,-,-,-,-,1,13,26,25,18,-
34c,Příjice nerozlišená,111,-,-,1,1,5,27,35,26,16,-
35,Kapavka a jiné nemoci pohlavní,2,-,-,-,-,-,1,-,-,1,-
,,,,,,,,,,,,
36a,Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve,122,45,3,12,8,5,16,8,11,14,-
36b,Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve,10,2,-,4,1,-,1,-,1,1,-
36c,Hnisavá nákaza a otrava krve nikoli poporodní: sněť plynová,1,-,-,-,-,-,-,-,-,1,-
38a,Zimnice malarická,4,-,-,-,-,-,-,1,2,1,-
38b,Kachexie malarická,-,-,-,-,-,-,-,-,-,-,-
39,"Jiné nemoci, zaviněné cizopasnými prvoky",1,-,-,-,-,-,1,-,-,-,-
40,Ankylostomiasa,-,-,-,-,-,-,-,-,-,-,-
41a,Boubel měchožilová jater,-,-,-,-,-,-,-,-,-,-,-
41b,Boubel měchožilová jiných míst,1,-,-,-,-,-,-,-,1,-,-
42,Jiné nemoci zaviněné červy,-,-,-,-,-,-,-,-,-,-,-
43,Mykosy,6,-,-,-,2,1,2,-,1,-,-
44,Jiné nemoci nakažlivé nebo cizopasníky působené,1,-,1,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
II,Rakoviny a jiné nádory,5426,7,8,32,37,88,298,694,1589,2673,-
45,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu,190,-,1,-,-,1,8,21,49,110,-
,,,,,,,,,,,,
46a,Rakovina a jiné zhoubné nádory: požeráku,309,-,-,-,-,-,5,32,96,176,-
46b,Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku,2290,-,-,-,5,17,108,266,691,1203,-
46c,Rakovina a jiné zhoubné nádory: konečníku,350,-,-,-,4,3,23,37,105,178,-
46d,Rakovina a jiné zhoubné nádory: jater a žlučovodů,353,-,-,-,-,4,12,42,92,203,-
46,Rakovina a jiné zhoubné nádory: slinivky břišní,86,-,-,-,-,2,11,21,32,20,-
46f,Rakovina a jiné zhoubné nádory: pobřišnice,24,-,-,1,-,1,1,7,8,6,-
46g,Rakovina a jiné zhoubné nádory: jiné nádory roury zažívací a pobřišnice,314,-,-,1,1,5,20,38,86,163,-
47,Rakovina a jiné zhoubné nádory: ústrojí dýchacího,426,-,-,-,2,7,33,94,164,126,-
48,Rakovina a jiné zhoubné nádory: dělohy,x,x,x,x,x,x,x,x,x,x,x
49,Rakovina a jiné zhoubné nádory: jiných pohlavních ústrojů ženských,x,x,x,x,x,x,x,x,x,x,x
50,Rakovina a jiné zhoubné nádory: prsů,6,-,-,-,-,-,-,3,1,2,-
51,Rakovina a jiné zhoubné nádory: pohlavních a močových ústrojů mužských,354,-,1,1,-,2,9,34,85,222,-
52,Rakovina a jiné zhoubné nádory: kůže,100,-,-,-,1,2,1,8,18,70,-
53,Rakovina a jiné zhoubné nádory: jiných ústrojů neb ústrojů nerozlišených,320,2,2,7,14,23,33,38,83,118,-
,,,,,,,,,,,,
54a,Nádory nezhoubné: pohlavních ústrojů ženských,x,x,x,x,x,x,x,x,x,x,x
54b,Nádory nezhoubné: jiných ústrojů,6,-,-,-,-,-,-,-,2,4,-
,,,,,,,,,,,,
55a,"Nádory, jichž zhoubný ráz není rozlišen: pohlavních ústrojů ženských",x,x,x,x,x,x,x,x,x,x,x
55b,"Nádory, jichž zhoubný ráz není rozlišen: jiných ústrojů",298,5,4,22,10,21,34,53,77,72,-
,,,,,,,,,,,,
III,"Nemoci rheumatické, nemoci výživové, nemoci endokrinních žláz a jiné nemoci celkové",775,82,20,20,28,19,37,64,173,332,-
56,"Rheumatismus kloubní prudký, horečnatý",48,-,2,16,13,5,4,1,2,5,-
57,"Rheumatismus vleklý, osteoarthritis",68,-,-,-,-,1,3,5,10,49,-
58,Dna,3,-,-,-,-,-,-,-,1,2,-
59,Úplavice cukrová,496,2,4,4,6,9,24,43,143,261,-
,Kurděje,-,-,-,-,-,-,-,-,-,-,-
60a,Dětské kurděje,-,-,-,-,-,-,-,-,-,-,-
60b,Kurděje,1,-,1,-,-,-,-,-,-,-,-
62,Pellagra,-,-,-,-,-,-,-,-,-,-,-
63,Křivice,48,32,7,-,2,2,-,3,-,2,-
64,Měknutí kostí,1,-,-,-,1,-,-,-,-,-,-
65,Nemoci podvěsku mozkového,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
