1941,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75 a více,Nezjiš- těno
,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,46808,5258,1050,973,1315,1957,2560,3726,6220,10373,13376,-
,,,,,,,,,,,,,
I,Nemoci nakažlivé a cizopasné,6501,452,412,538,759,925,767,726,717,754,451,-
1,Tyf břišní,85,-,-,8,22,17,12,12,5,9,-,-
2,Paratyf,8,1,1,-,2,1,2,-,1,-,-,-
3,Mor,-,-,-,-,-,-,-,-,-,-,-,-
4,Cholera,-,-,-,-,-,-,-,-,-,-,-,-
5,Horečka vlnivá,-,-,-,-,-,-,-,-,-,-,-,-
6,Epidemický zánět plen mozkových a míšních,23,4,7,4,2,1,1,2,2,-,-,-
7,Uhlák,-,-,-,-,-,-,-,-,-,-,-,-
8,Spála,140,2,54,73,9,1,1,-,-,-,-,-
9,Kašel zádušný,126,85,37,4,-,-,-,-,-,-,-,-
10,Záškrt,443,15,138,257,20,8,2,1,1,1,-,-
11,Růže,83,20,-,2,-,3,4,11,10,19,14,-
12,Ztrnutí (tetanus),58,15,4,5,2,1,5,9,5,8,4,-
13,Tuberkulosa ústrojí dýchacího,3771,26,46,82,623,808,625,519,459,428,155,-
14a,Tuberkulosa plen a ústřední soustavy nervové: plen mozkových,154,20,49,43,20,4,6,3,5,4,-,-
14b,Tuberkulosa plen a ústřední soustavy nervové: jiných míst,2,-,-,-,-,-,-,1,1,-,-,-
15a,Tuberkulosa střev a pobřišnice: střev,30,-,-,3,5,5,3,4,5,3,2,-
15b,Tuberkulosa střev a pobřišnice: jiných míst,41,-,2,4,7,2,3,10,6,6,1,-
16,Tuberkulosa páteře,69,-,-,5,4,5,3,5,16,24,7,-
17,Tuberkulosa kostí a kloubů (vyjma páteře),153,-,1,1,5,6,4,11,29,55,41,-
18,Tuberkulosa kůže a podkožního vaziva,17,-,-,-,1,-,1,2,1,5,7,-
19,Tuberkulosa soustavy mízní,14,-,1,-,-,-,1,-,-,8,4,-
20,Tuberkulosa ústrojí močového a pohlavního,10,-,-,-,-,4,3,-,2,1,-,-
21a,Addisonova nemoc tuberkulosního původu,-,-,-,-,-,-,-,-,-,-,-,-
21b,Addisonova nemoc tuberkulosního původu ostatních orgánů,6,-,-,-,-,-,1,-,2,1,2,-
22,Tuberkulosa miliární,57,10,5,10,9,3,3,6,8,3,-,-
24a,Otrava krve,134,60,3,6,7,8,10,15,16,7,2,-
24b,Sněť plynová,2,-,-,-,-,-,-,-,2,-,-,-
25,Kapavka,2,1,-,-,1,-,-,-,-,-,-,-
26,Jiné nemoci způsobené mikroby (vyjma úplavici),-,-,-,-,-,-,-,-,-,-,-,-
27,Úplavice,11,-,-,-,-,1,2,3,3,-,2,-
28,Střídavka (malarie),-,-,-,-,-,-,-,-,-,-,-,-
29,Jiné nemoci způsobené prvoky cizopasnými (vyjma spirochaetami),-,-,-,-,-,-,-,-,-,-,-,-
30a,Příjice: úbyt míchy (tabes dorsalis),58,-,-,-,1,3,4,11,21,14,4,-
30b,Příjice: postupná obrna povšechná (progresivní paralysa),88,-,-,-,2,6,21,34,14,8,3,-
30c,Příjice: výduť srdečnice (aneurysma aorty),60,-,-,-,-,3,3,3,18,21,12,-
30d,Příjice: příjice vrozená,32,27,1,2,1,1,-,-,-,-,-,-
30,Příjice: jiné druhy příjice,96,-,-,-,2,8,20,27,25,9,5,-
31,Tyf zvratný,-,-,-,-,-,-,-,-,-,-,-,-
32a,Infekční žloutenka,-,-,-,-,-,-,-,-,-,-,-,-
32b,Ostatní nemoci způsobené spirochaetami,-,-,-,-,-,-,-,-,-,-,-,-
33a,Chřipka neboli influenza s onemocněním dýchydel,345,96,13,2,2,6,6,13,33,73,101,-
33b,Chřipka neboli influenza bez údaje takového onemocnění,183,38,2,2,2,2,-,7,12,38,80,-
34,Neštovice,-,-,-,-,-,-,-,-,-,-,-,-
35,Spalničky,82,26,38,17,1,-,-,-,-,-,-,-
36,Prudký zánět šedé hmoty míšní nebo mozkové,25,-,7,4,6,4,1,2,1,-,-,-
37a,Zánět mozku epidemický (lethargický): prudký,1,-,-,1,-,-,-,-,-,-,-,-
37b,Zánět mozku epidemický (lethargický): následky epidemického zánětu mozku,34,-,-,-,2,3,9,8,4,5,3,-
37c,Zánět mozku epidemický (lethargický): zánět mozku epidemický bez bližšího označení,7,-,-,2,-,2,2,-,1,-,-,-
38a,Jiné nemoci připisované virům: žlutá zimnice,-,-,-,-,-,-,-,-,-,-,-,-
38b,Jiné nemoci připisované virům: vzteklina,-,-,-,-,-,-,-,-,-,-,-,-
38c,Jiné nemoci připisované virům: plané neštovice (varicella),5,5,-,-,-,-,-,-,-,-,-,-
38d,Jiné nemoci připisované virům: ostatní nemoci připisované virům,1,-,-,-,-,-,-,-,-,-,1,-
39a,Skvrnivka (tyf exanthem.),-,-,-,-,-,-,-,-,-,-,-,-
39b,Jiné rickettsiosy,-,-,-,-,-,-,-,-,-,-,-,-
40,Ankylostomiasis,-,-,-,-,-,-,-,-,-,-,-,-
41,Boubel měchožilová (echinococcus),1,-,-,-,-,-,-,-,1,-,-,-
42,Jiné nemoci způsobené hlísty,-,-,-,-,-,-,-,-,-,-,-,-
43a,Actinomykosy,2,-,-,-,-,-,1,1,-,-,-,-
43b,Jiné mykosy,-,-,-,-,-,-,-,-,-,-,-,-
44a,nemoci pohlavní vyjma příjici a kapavku,-,-,-,-,-,-,-,-,-,-,-,-
44b,Lymphogranulomatosy,39,-,1,1,1,9,8,6,8,4,1,-
44c,Epidemický zánět příušnic,3,1,2,-,-,-,-,-,-,-,-,-
44d,Ostatní nemoci přenosné,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
II,Rakovina a jiné nádory,6079,5,9,23,26,150,499,1008,1518,1771,1070,-
45a,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtů,14,-,-,-,-,-,2,-,-,3,9,-
45b,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka,10,-,-,-,-,-,-,1,5,2,2,-
45c,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jiných a blíže neoznačených míst,35,-,-,-,-,1,3,5,11,10,5,-
46a,Rakovina a jiné zhoubné nádory: jícnu,71,-,-,-,-,1,1,7,18,28,16,-
46b,Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku,1810,-,-,1,-,15,67,203,437,685,402,-
46c,"Rakovina a jiné zhoubné nádory: střev, vyjma dvanáctníku a konečníku",326,-,-,-,-,11,18,39,77,95,86,-
46d,Rakovina a jiné zhoubné nádory: konečníku,226,-,-,-,-,7,14,34,51,76,44,-
46,Rakovina a jiné zhoubné nádory: jater (pokud jsou označeny jako původní) a žlučovodů,599,-,-,1,-,4,25,65,161,214,129,-
46f,"Rakovina a jiné zhoubné nádory: jater, pokud nejsou označeny  jako  původní",125,-,-,2,2,3,11,15,29,36,27,-
46g,Rakovina a jiné zhoubné nádory: slinivky břišní,56,-,-,-,-,1,4,7,17,19,8,-
46h,Rakovina a jiné zhoubné nádory: pobřišnice,75,-,-,-,-,2,8,9,24,23,9,-
46i,Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů zažívacích,10,-,-,-,-,-,-,1,3,3,3,-
47a,Rakovina a jiné zhoubné nádory: hrtanu a průdušnice,30,-,-,-,-,-,3,3,8,9,7,-
47b,"Rakovina a jiné zhoubné nádory: průdušek, plic a pohrudnice",124,-,1,-,-,5,7,23,42,36,10,-
47c,Rakovina a jiné zhoubné nádory: dýchacích ústrojů blíže neoznačených,1,-,-,-,-,-,-,-,1,-,-,-
48a,Rakovina a jiné zhoubné nádory: hrdla děložního,103,-,-,-,-,5,22,43,17,12,4,-
48b,Rakovina a jiné zhoubné nádory: dělohy,907,-,-,-,2,29,118,227,264,199,68,-
49,Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů ženských,208,1,-,1,3,12,25,45,62,34,25,-
50,Rakovina a jiné zhoubné nádory: prsů,502,-,-,-,1,10,58,130,143,104,56,-
51a,Rakovina a jiné zhoubné nádory: šourku,x,x,x,x,x,x,x,x,x,x,x,x
51b,Rakovina a jiné zhoubné nádory: předstojné žlázy,x,x,x,x,x,x,x,x,x,x,x,x
51c,Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů mužských,x,x,x,x,x,x,x,x,x,x,x,x
52,Rakovina a jiné zhoubné nádory: ústrojí močového,72,-,-,1,-,1,5,10,20,26,9,-
53,Rakovina a jiné zhoubné nádory: kůže,107,-,-,-,-,2,3,2,5,23,72,-
54,Rakovina a jiné zhoubné nádory: mozku a jiných částí ústrojí nervového,23,-,-,1,-,5,4,3,3,4,3,-
55a,Rakovina a jiné zhoubné nádory: nadledvinek,14,-,-,-,-,-,1,2,3,6,2,-
55b,Rakovina a jiné zhoubné nádory: kostí,51,-,1,1,2,2,9,7,14,12,3,-
55c,Rakovina a jiné zhoubné nádory: žlázy štítné,51,-,-,-,1,-,4,12,12,14,8,-
55d,Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů,144,1,1,4,5,8,11,29,33,32,20,-
55,"Carcinomatosy, sarkomatosy",23,-,-,-,-,1,1,10,4,5,2,-
55f,Metastasy bez udání prvotního místa,15,-,-,-,-,-,2,2,1,7,3,-
56a,Nádory nezhoubné: vaječníku,33,-,-,-,2,3,11,4,5,5,3,-
56b,Nádory nezhoubné: dělohy,42,-,-,-,-,1,19,17,3,1,1,-
56c,Nádory nezhoubné: jiných pohlavních ústrojů ženských,2,-,-,-,-,-,1,1,-,-,-,-
56d,Nádory nezhoubné: mozku a jiných částí ústrojí nervového,6,-,-,-,-,1,1,2,1,-,1,-
56,Nádory nezhoubné: jiných a blíže neoznačených ústrojů,7,2,-,-,-,-,-,1,3,1,-,-
57a,"Nádory, jejichž zhoubný ráz není rozlišen: vaječníku",6,-,-,-,-,-,-,2,-,2,2,-
57b,"Nádory, jejichž zhoubný ráz není rozlišen: dělohy",38,-,-,-,-,-,3,3,7,13,12,-
57c,"Nádory, jejichž zhoubný ráz není rozlišen: jiných pohlavních ústrojů ženských",-,-,-,-,-,-,-,-,-,-,-,-
57d,"Nádory, jejichž zhoubný ráz není rozlišen: mozku a jiných částí ústrojí nervového",128,-,5,9,8,15,31,33,15,9,3,-
57,"Nádory, jejichž zhoubný ráz není rozlišen: jiných a blíže neoznačených ústrojů",85,1,1,2,-,5,7,11,19,23,16,-
,,,,,,,,,,,,,
III,"Nemoci rheumatické, výživové, žláz s vnitřním vyměšováním, jiné nemoci celkové a avitaminos",961,50,12,31,28,22,51,94,207,296,170,-
58a,Horečný rheumatismus kloubový prudký: prudké rheumatické choroby srdce,46,-,1,16,8,5,4,2,1,6,3,-
58b,Horečný rheumatismus kloubový prudký: jiné formy,18,-,-,2,2,-,-,2,1,2,9,-
59,Rheumatismus vleklý a jiné formy nemoci rheumatické,121,-,-,-,-,-,2,7,20,38,54,-
60,Dna,2,-,-,-,-,-,-,-,-,2,-,-
61,Úplavice cukrová,590,-,5,10,9,8,17,54,151,235,101,-
62,Nemoci podvěsku mozkového,-,-,-,-,-,-,-,-,-,-,-,-
63a,Nemoci žlázy štítné a žlázek přídatných: vole prosté,15,-,-,-,1,1,4,1,5,1,2,-
63b,Nemoci žlázy štítné a žlázek přídatných: nemoc Basedowova,84,-,-,-,5,7,17,23,23,8,1,-
63c,Nemoci žlázy štítné a žlázek přídatných: jiné nemoci žlázy štítné,10,1,-,1,1,-,3,-,3,1,-,-
63d,Nemoci žlázy štítné a žlázek přídatných: nemoci žlázek příštítných,2,2,-,-,-,-,-,-,-,-,-,-
64,Nemoci brzlíku,22,21,1,-,-,-,-,-,-,-,-,-
65a,"Nemoci nadledvinek, neoznačené za tuberkulosní: nemoc Addisonova (neoznačená za tuberkulosní)",13,-,-,-,1,1,3,4,2,2,-,-
65b,"Nemoci nadledvinek, neoznačené za tuberkulosní: jiné nemoci nadledvinek",1,-,1,-,-,-,-,-,-,-,-,-
66a,Jiné nemoci celkové: měknutí kostí,2,-,-,-,-,-,-,-,1,1,-,-
66b,Jiné nemoci celkové: ostatní nemoci celkové,2,-,-,1,-,-,1,-,-,-,-,-
67,Kurděje,2,-,-,-,1,-,-,1,-,-,-,-
68,Beri-beri,-,-,-,-,-,-,-,-,-,-,-,-
69,Pellagra,-,-,-,-,-,-,-,-,-,-,-,-
70,Křivice,30,25,4,1,-,-,-,-,-,-,-,-
71,Jiné avitaminosy,1,1,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
IV,Nemoci krve a ústrojů krvetvorných,234,5,10,17,16,12,26,32,55,51,10,-
72a,Stavy krvácivé: purpury prvotní,8,1,2,1,2,-,-,-,2,-,-,-
72b,Stavy krvácivé: nemoci krve (haemophilie),1,1,-,-,-,-,-,-,-,-,-,-
73a,Chudokrevnost: zhoubná chudokrevnost,86,1,1,3,4,3,8,7,22,29,8,-
73b,Chudokrevnost: jiná anaemie,16,1,1,1,3,-,2,2,4,2,-,-
74a,Leukaemie a aleukaemie: bělokrevnost pravá,97,1,6,8,4,7,13,16,21,19,2,-
74b,Leukaemie a aleukaemie: aleukaemie,9,-,-,2,1,-,1,3,1,1,-,-
75,Nemoci sleziny,4,-,-,-,-,-,1,2,1,-,-,-
76a,Jiné nemoci krve a ústrojů krvetvorných: agranulocytosy,8,-,-,1,1,1,1,1,3,-,-,-
76b,Jiné nemoci krve a ústrojů krvetvorných: ostatní nemoci krve a ústrojů krvetvorných,5,-,-,1,1,1,-,1,1,-,-,-
,,,,,,,,,,,,,
V,Otravy vleklé,12,-,-,-,-,-,1,1,3,4,3,-
77a,Alkoholismus prudký,7,-,-,-,-,-,-,1,1,3,2,-
77b,Alkoholismus vleklý a bez bližšího označení,5,-,-,-,-,-,1,-,2,1,1,-
78a,Otrava olovem: označená jako z povolání,-,-,-,-,-,-,-,-,-,-,-,-
78b,Otrava olovem: neoznačená jako z povolání,-,-,-,-,-,-,-,-,-,-,-,-
79,Vleklé otravy jinými látkami neústrojnými a ústrojnými,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
DU,,74,0,1,2,6,6,8,13,16,16,6,0
,,,,,,,,,,,,,
VI,Nemoci soustavy nervové a smyslových ústrojů,3950,343,74,57,48,81,128,322,616,1110,1171,-
80a,Zánět mozku (nikoli epidemický): hlíza mozková,4,-,3,-,-,-,1,-,-,-,-,-
80b,Zánět mozku (nikoli epidemický): jiné formy,28,5,3,5,4,2,-,4,1,2,2,-
81,Zánět plen mozkových prostý,151,31,27,27,13,12,10,12,14,3,2,-
82,Nemoci míchy,96,-,1,7,4,10,12,17,20,20,5,-
83a,Krvácení mozkové a ostatní poruchy mozkové původu cévního: krvácení mozkové,2595,-,5,-,3,14,45,199,470,897,962,-
83b,Krvácení mozkové a ostatní poruchy mozkové původu cévního: vmetek a záhať mozková,51,-,1,2,1,2,3,6,7,10,19,-
83c,Krvácení mozkové a ostatní poruchy mozkové původu cévního: měknutí mozku,130,-,-,-,-,-,2,6,10,51,61,-
83d,Krvácení mozkové a ostatní poruchy mozkové původu cévního: jedostranná obrna těla a jiné obrny blíže neoznačené,180,-,2,-,-,1,6,13,26,62,70,-
84a,Duševní nemoci a vady: slabomyslnost,9,-,1,2,2,1,1,1,-,1,-,-
84b,Duševní nemoci a vady: schoizophrenie,14,-,-,-,3,1,2,4,2,2,-,-
84c,Duševní nemoci a vady: manio-depresivní psychosy,-,-,-,-,-,-,-,-,-,-,-,-
84d,Duševní nemoci a vady: jiné duševní poruchy,39,-,-,-,1,4,4,7,11,9,3,-
85,Padoucnice,75,1,2,6,9,14,12,13,11,2,5,-
86,Křeče u dětí do 5 let,287,267,20,-,-,-,-,-,-,-,-,-
87a,Jiné nemoci soustavy nervové: chorea,1,-,-,-,-,-,-,-,-,-,1,-
87b,Jiné nemoci soustavy nervové: neuritis původu nikoli rheumatického,4,-,-,-,-,-,-,1,2,1,-,-
87c,Jiné nemoci soustavy nervové: obrna třesavá,29,-,-,-,-,2,3,2,9,11,2,-
87d,Jiné nemoci soustavy nervové: sklerosa roztroušená,154,-,-,-,3,11,23,27,24,33,33,-
87,Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové,18,1,3,4,-,1,1,2,2,1,3,-
88,Nemoci ústrojí zrakového,-,-,-,-,-,-,-,-,-,-,-,-
89a,Nemoci ucha a dutiny výčnělku soscovitého: zánět ušní,81,37,6,4,5,4,3,8,6,5,3,-
89b,Nemoci ucha a dutiny výčnělku soscovitého: jiné nemoci ucha,4,1,-,-,-,2,-,-,1,-,-,-
,,,,,,,,,,,,,
VII,Nemoci ústrojí oběhu krevního,11931,15,28,58,86,199,363,695,1765,3847,4875,-
90a,Zánět osrdečníku: rheumatický zánět osrdečníku vleklý,1,-,-,1,-,-,-,-,-,-,-,-
90b,Zánět osrdečníku: jiné nemoci osrdečníku,16,3,1,1,-,1,1,-,2,4,3,-
91,Prudký zánět nitroblány srdeční a chlopní (nikoli rheumatický),35,2,2,11,6,5,3,3,-,2,1,-
92a,Vleklé onemocnění nitroblány srdeční a chlopní: označené jako rheumatické,82,-,-,1,1,4,10,13,21,18,14,-
92b,Vleklé onemocnění nitroblány srdeční a chlopní: neoznačené jako rheumatické,1115,-,3,18,32,72,110,138,197,335,210,-
93a,Nemoci svalu srdečního: prudký zánět svalu srdečního (nikoli rheumatický),49,3,1,4,2,-,5,5,3,12,14,-
93b,Nemoci svalu srdečního: vleklý zánět svalu srdečního označený jako rheumatický,164,-,-,-,-,3,5,6,33,61,56,-
93c,"Nemoci svalu srdečního: degenerace a infarkt srdeční, sklerosa svalu srdečního nebo jeho vleklý zánět neoznačený jako rheumatický",5256,2,4,4,14,32,70,206,737,1744,2443,-
93d,Nemoci svalu srdečního: zánět svalu srdečního nerozlišený,1167,1,4,2,6,16,22,68,145,409,494,-
94a,Nemoci tepen věnčitých,61,-,-,-,-,-,1,4,8,31,17,-
94b,Angina srdeční,124,-,-,-,-,-,1,13,32,51,27,-
95a,Jiné nemoci srdce: označené jako rheumatické,97,-,-,-,-,-,6,12,29,27,23,-
95b,Jiné nemoci srdce: ostatní nemoci srdce,2176,1,10,15,21,57,112,187,421,739,613,-
96,"Výduť, vyjma výduť srdeční a aneurysma aorty",16,-,-,-,1,1,-,2,7,2,3,-
