1946,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,50367,7760,1130,654,1633,1546,2523,3871,6379,10766,10833,3231,41
,,,,,,,,,,,,,,
I,Nemoci nakažlivé a cizopasné,5806,620,515,272,895,683,633,589,654,656,248,33,8
1,Tyf břišní,157,-,6,13,34,24,27,25,18,9,1,-,-
2,Paratyf,12,1,-,2,1,1,3,-,2,2,-,-,-
3,Mor,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Cholera,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Horečka vlnivá,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Epidemický zánět plen mozkových a míšních,13,4,3,1,2,-,1,1,-,1,-,-,-
7,Uhlák,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Spála,33,4,15,9,4,-,-,1,-,-,-,-,-
9,Kašel zádušný,225,161,61,3,-,-,-,-,-,-,-,-,-
10,Záškrt,430,68,233,64,33,14,5,6,3,2,-,-,2
11,Růže,88,23,-,-,-,2,4,6,13,24,12,4,-
12,Ztrnutí (tetanus),90,22,1,10,3,7,11,16,8,9,2,1,-
13,Tuberkulosa ústrojí dýchacího,3393,45,50,77,707,574,486,392,465,449,133,10,5
14a,Tuberkulosa plen a ústřední soustavy nervové: plen mozkových,223,18,73,62,37,10,8,7,6,2,-,-,-
14b,Tuberkulosa plen a ústřední soustavy nervové: jiných míst,5,1,1,-,-,-,2,-,1,-,-,-,-
15a,Tuberkulosa střev a pobřišnice: střev,31,1,2,2,4,4,2,6,4,3,2,1,-
15b,Tuberkulosa střev a pobřišnice: jiných míst,36,-,1,2,10,3,8,6,3,3,-,-,-
16,Tuberkulosa páteře,59,-,-,-,7,7,3,11,12,17,2,-,-
17,Tuberkulosa kostí a kloubů (vyjma páteře),121,1,1,2,4,5,5,11,21,36,30,5,-
18,Tuberkulosa kůže a podkožního vaziva,11,-,-,-,-,-,-,1,1,3,6,-,-
19,Tuberkulosa soustavy mízní,4,2,-,-,-,-,-,-,2,-,-,-,-
20,Tuberkulosa ústrojí močového a pohlavního,13,-,-,-,4,2,1,2,3,1,-,-,-
21a,Addisonova nemoc tuberkulosního původu,-,-,-,-,-,-,-,-,-,-,-,-,-
21b,Addisonova nemoc tuberkulosního původu ostatních orgánů,3,-,-,-,-,-,1,-,-,1,1,-,-
22,Tuberkulosa miliární,63,7,10,9,12,5,3,4,4,9,-,-,-
24a,Otrava krve,143,76,7,4,5,9,9,7,7,12,7,-,-
24b,Sněť plynová,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Kapavka,3,1,-,-,2,-,-,-,-,-,-,-,-
26,Jiné nemoci způsobené mikroby (vyjma úplavici),-,-,-,-,-,-,-,-,-,-,-,-,-
27,Úplavice,9,1,-,-,-,-,2,2,2,1,1,-,-
28,Střídavka (malarie),-,-,-,-,-,-,-,-,-,-,-,-,-
29,Jiné nemoci způsobené prvoky cizopasnými (vyjma spirochaetami),-,-,-,-,-,-,-,-,-,-,-,-,-
30a,Příjice: úbyt míchy (tabes dorsalis),15,-,-,-,-,-,1,3,4,6,1,-,-
30b,Příjice: postupná obrna povšechná (progresivní paralysa),64,-,-,-,-,1,14,25,20,3,1,-,-
30c,Příjice: výduť srdečnice (aneurysma aorty),55,-,-,-,-,-,4,4,17,18,8,3,1
30d,Příjice: příjice vrozená,33,32,1,-,-,-,-,-,-,-,-,-,-
