1948,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,53001,7991,1002,732,1608,1589,3061,5531,8245,11462,9549,2226,5
,,,,,,,,,,,,,,
I,Nemoci nakažlivé a cizopasné,6449,529,299,186,566,565,823,1176,1192,797,291,24,1
1,Tyf břišní,68,3,2,3,12,8,14,19,4,2,1,-,-
2,Paratyf,6,-,-,2,-,-,3,-,-,-,-,1,-
3,Mor,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Cholera,1,-,-,-,-,-,-,-,1,-,-,-,-
5,Horečka vlnivá,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Epidemický zánět plen mozkových a míšních,15,4,1,2,1,1,-,-,4,1,1,-,-
7,Uhlák,1,-,-,-,-,-,-,1,-,-,-,-,-
8,Spála,37,3,21,9,2,-,-,2,-,-,-,-,-
9,Kašel zádušný,82,73,9,-,-,-,-,-,-,-,-,-,-
10,Záškrt,121,51,48,15,3,2,-,2,-,-,-,-,-
11,Růže,40,8,-,-,-,2,1,5,4,13,6,1,-
12,Ztrnutí (tetanus),97,20,5,14,5,4,10,12,14,9,4,-,-
13,Tuberkulosa ústrojí dýchacího,4493,56,73,50,457,486,684,943,960,592,182,10,-
14a,Tuberkulosa plen a ústřední soustavy nervové: plen mozkových,163,20,48,42,27,7,4,5,4,3,3,-,-
14b,Tuberkulosa plen a ústřední soustavy nervové: jiných míst,5,2,-,1,1,-,-,-,1,-,-,-,-
15a,Tuberkulosa střev a pobřišnice: střev,16,1,1,-,2,-,3,3,2,2,2,-,-
15b,Tuberkulosa střev a pobřišnice: jiných míst,24,-,3,1,6,1,4,2,4,2,-,-,1
16,Tuberkulosa páteře,45,-,1,4,7,6,3,5,6,8,4,1,-
17,Tuberkulosa kostí a kloubů (vyjma páteře),54,-,1,3,2,3,4,8,7,10,15,1,-
18,Tuberkulosa kůže a podkožního vaziva,-,-,-,-,-,-,-,-,-,-,-,-,-
19,Tuberkulosa soustavy mízní,8,2,-,-,1,-,-,1,2,2,-,-,-
20,Tuberkulosa ústrojí močového a pohlavního,13,-,1,-,2,1,2,5,1,-,1,-,-
21a,Addisonova nemoc tuberkulosního původu,1,-,-,-,1,-,-,-,-,-,-,-,-
21b,Addisonova nemoc tuberkulosního původu ostatních orgánů,7,-,2,-,1,-,-,1,1,-,2,-,-
22,Tuberkulosa miliární,43,7,9,4,6,4,-,3,4,4,2,-,-
24a,Otrava krve,125,72,6,3,3,6,10,5,7,7,6,-,-
24b,Sněť plynová,2,1,-,-,-,-,-,-,1,-,-,-,-
25,Kapavka,1,1,-,-,-,-,-,-,-,-,-,-,-
26,Jiné nemoci způsobené mikroby (vyjma úplavici),-,-,-,-,-,-,-,-,-,-,-,-,-
27,Úplavice,2,1,-,-,-,-,-,1,-,-,-,-,-
28,Střídavka (malarie),3,-,-,-,-,-,1,-,-,2,-,-,-
29,Jiné nemoci způsobené prvoky cizopasnými (vyjma spirochaetami),1,-,-,-,-,-,-,1,-,-,-,-,-
30a,Příjice: úbyt míchy (tabes dorsalis),69,-,-,-,1,-,1,13,21,24,9,-,-
30b,Příjice: postupná obrna povšechná (progresivní paralysa),134,-,-,-,1,1,31,48,40,11,2,-,-
30c,Příjice: výduť srdečnice (aneurysma aorty),117,-,-,-,-,3,8,21,33,39,13,-,-
30d,Příjice: příjice vrozená,77,75,2,-,-,-,-,-,-,-,-,-,-
30,Příjice: jiné druhy příjice,147,-,-,-,-,7,12,36,44,43,5,-,-
31,Tyf zvratný,-,-,-,-,-,-,-,-,-,-,-,-,-
32a,Infekční žloutenka,3,-,-,-,-,-,1,1,1,-,-,-,-
32b,Ostatní nemoci způsobené spirochaetami,-,-,-,-,-,-,-,-,-,-,-,-,-
33a,Chřipka neboli influenza s onemocněním dýchydel,88,42,4,-,2,3,2,1,7,9,14,4,-
33b,Chřipka neboli influenza bez údaje takového onemocnění,70,31,4,2,1,-,2,3,2,5,14,6,-
34,Neštovice,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Spalničky,93,44,38,10,-,-,-,1,-,-,-,-,-
36,Prudký zánět šedé hmoty míšní nebo mozkové,83,8,16,14,17,8,10,5,2,3,-,-,-
37a,Zánět mozku epidemický (lethargický): prudký,2,-,-,-,-,1,1,-,-,-,-,-,-
37b,Zánět mozku epidemický (lethargický): následky epidemického zánětu mozku,11,-,-,1,-,1,2,1,3,2,1,-,-
37c,Zánět mozku epidemický (lethargický): zánět mozku epidemický bez bližšího označení,8,-,1,2,-,1,1,3,-,-,-,-,-
38a,Jiné nemoci připisované virům: žlutá zimnice,-,-,-,-,-,-,-,-,-,-,-,-,-
38b,Jiné nemoci připisované virům: vzteklina,1,-,-,-,1,-,-,-,-,-,-,-,-
38c,Jiné nemoci připisované virům: plané neštovice (varicella),5,2,2,-,-,-,-,-,1,-,-,-,-
38d,Jiné nemoci připisované virům: ostatní nemoci připisované virům,1,-,-,-,-,-,-,1,-,-,-,-,-
39a,Skvrnivka (tyf exanthem.),-,-,-,-,-,-,-,-,-,-,-,-,-
39b,Jiné rickettsiosy,-,-,-,-,-,-,-,-,-,-,-,-,-
40,Ankylostomiasis,-,-,-,-,-,-,-,-,-,-,-,-,-
41,Boubel měchožilová (echinococcus),-,-,-,-,-,-,-,-,-,-,-,-,-
42,Jiné nemoci způsobené hlísty,-,-,-,-,-,-,-,-,-,-,-,-,-
43a,Actinomykosy,3,-,-,-,-,1,-,1,-,1,-,-,-
43b,Jiné mykosy,2,-,1,-,-,1,-,-,-,-,-,-,-
44a,nemoci pohlavní vyjma příjici a kapavku,-,-,-,-,-,-,-,-,-,-,-,-,-
44b,Lymphogranulomatosy,57,-,-,3,4,7,8,17,11,3,4,-,-
44c,Epidemický zánět příušnic,4,2,-,1,-,-,1,-,-,-,-,-,-
44d,Ostatní nemoci přenosné,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
II,Rakovina a jiné nádory,7366,7,30,23,69,81,389,1093,1906,2441,1210,117,-
45a,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtů,40,-,-,-,-,1,-,2,6,15,10,6,-
45b,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka,47,-,-,-,-,-,1,4,10,17,13,2,-
45c,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jiných a blíže neoznačených míst,90,-,1,-,2,-,8,11,17,34,15,2,-
46a,Rakovina a jiné zhoubné nádory: jícnu,294,-,-,-,1,1,7,26,57,105,87,10,-
46b,Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku,2720,-,-,-,5,14,122,364,717,1014,447,37,-
46c,"Rakovina a jiné zhoubné nádory: střev, vyjma dvanáctníku a konečníku",391,-,-,-,1,6,13,43,105,154,68,1,-
46d,Rakovina a jiné zhoubné nádory: konečníku,484,-,-,-,1,6,19,60,113,183,97,5,-
46,Rakovina a jiné zhoubné nádory: jater (pokud jsou označeny jako původní) a žlučovodů,560,-,1,1,-,2,27,73,126,204,117,9,-
46f,"Rakovina a jiné zhoubné nádory: jater, pokud nejsou označeny  jako  původní",153,3,1,2,1,4,14,18,42,37,31,-,-
46g,Rakovina a jiné zhoubné nádory: slinivky břišní,96,-,-,-,2,1,8,26,27,27,5,-,-
46h,Rakovina a jiné zhoubné nádory: pobřišnice,47,-,1,-,-,1,-,6,16,14,9,-,-
46i,Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů zažívacích,26,-,-,-,-,-,2,3,4,13,4,-,-
47a,Rakovina a jiné zhoubné nádory: hrtanu a průdušnice,154,-,-,-,-,2,7,33,48,44,19,1,-
47b,"Rakovina a jiné zhoubné nádory: průdušek, plic a pohrudnice",767,-,-,1,7,7,44,208,266,190,42,2,-
47c,Rakovina a jiné zhoubné nádory: dýchacích ústrojů blíže neoznačených,1,-,-,-,-,-,-,-,1,-,-,-,-
48a,Rakovina a jiné zhoubné nádory: hrdla děložního,x,x,x,x,x,x,x,x,x,x,x,x,x
48b,Rakovina a jiné zhoubné nádory: dělohy,-,-,-,-,-,-,-,-,-,-,-,-,-
49,Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů ženských,x,x,x,x,x,x,x,x,x,x,x,x,x
50,Rakovina a jiné zhoubné nádory: prsů,6,-,-,-,-,-,-,1,2,2,1,-,-
