1950,Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,
MKN (1948),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
,,,,,,,,,,,,,,,,,
VN,Úrazy a otravy podle vnější příčiny,4535,53,69,77,66,48,249,736,654,794,670,488,373,213,40,5
,,,,,,,,,,,,,,,,,
D1,Úrazy na železnicích,175,1,2,2,1,-,2,21,32,58,30,14,8,4,-,-
E800,Úrazy na železnicích postihující železniční zaměstnance,86,-,-,-,-,-,-,6,16,35,21,6,1,1,-,-
E801,Úrazy na železnicích postihující cestující,19,-,-,-,-,-,-,5,3,4,1,2,4,-,-,-
E802,Úrazy na železnicích postihující jiné a blíže neoznačené osoby,70,1,2,2,1,-,2,10,13,19,8,6,3,3,-,-
,,,,,,,,,,,,,,,,,
D2,Dopravní úrazy motorovými vozidly,581,-,-,4,8,8,43,115,124,110,83,42,27,15,2,-
E810,Dopravní úraz motorovými vozidly při srážce s vlakem,29,-,-,-,-,-,2,7,5,5,6,1,2,1,-,-
E811,Dopravní úraz motorovými vozidly při srážce s pouliční drahou,2,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
E812,Dopravní úraz motorovými vozidly způsobený chodcům,134,-,-,4,4,5,28,9,7,18,17,15,13,13,1,-
E813,Dopravní úraz motorovými vozidly způsobený cyklistům,10,-,-,-,-,-,1,1,-,1,1,4,2,-,-,-
E814,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s vozidlem nemotorovým nebo jiným předmětem,9,-,-,-,-,-,-,3,4,2,-,-,-,-,-,-
E815,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s jiným motorovým vozidlem ,45,-,-,-,-,-,1,10,14,9,5,5,1,-,-,-
E816,"Jiný dopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel",8,-,-,-,-,-,-,3,2,2,1,-,-,-,-,-
E817,Dopravní úraz motorovými vozidly způsobený posádce motorového vozidla při srážce s chodcem nebo cyklistou,2,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
E818,Dopravní úraz motorovými vozidly při srážce se zvířaty nebo vozidly taženými zvířaty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E819,Dopravní úraz motorovými vozidly při srážce s předměty pevnými nebo blíže neurčenými,15,-,-,-,-,1,-,3,3,4,2,2,-,-,-,-
E820,Dopravní úraz motorovými vozidly během sestupování a nastupování,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E821,"Dopravní úraz motorovými vozidly způsobený řidiči motocyklu, nejde-li o srážku",13,-,-,-,-,-,-,7,4,-,2,-,-,-,-,-
E822,Dopravní úraz motorovými vozidly při převrhnutí na silnici,15,-,-,-,-,-,-,6,3,3,3,-,-,-,-,-
E823,Dopravní úraz motorovými vozidly při vybočení ze silnice,6,-,-,-,1,-,-,1,2,-,1,1,-,-,-,-
E824,Jiný dopravní úraz motorovými vozidly bez srážky,59,-,-,-,1,-,4,14,14,9,11,3,1,1,1,-
E825,Dopravní úraz motorovými vozidly neurčené povahy,233,-,-,-,2,2,7,50,66,55,34,10,7,-,-,-
,,,,,,,,,,,,,,,,,
D3,Úrazy motorovými vozidly nedopravní,23,-,-,-,-,1,2,6,6,4,3,1,-,-,-,-
E830,Nedopravní úraz motorovými vozidly  způsobený chodcům,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E831,Nedopravní úraz motorovými vozidly  způsobený cyklistům,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E832,Nedopravní úraz motorovými vozidly  způsobený řidičům nebo spolujezdcům na motocyklech,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E833,"Jiný nedopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E834,Nedopravní úraz motorovými vozidly  při nastupování a sestupování,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
