1950,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKN (1948),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,49 369,5 198,404,193,106,92,438,833,1 084,2 166,3 785,6 584,11 958,12 795,3 733,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Nemoci přenosné a cizopasné,3 386,263,119,63,19,25,88,320,377,377,354,503,588,261,29,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tuberkulosa ústrojí dýchacího (z povolání),3,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tuberkulosa plic,2 078,19,20,11,5,5,22,245,319,297,228,336,396,163,12,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tuberkuloda pohrudnice,57,1,2,-,-,-,-,2,-,3,9,6,19,12,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Primární tuberkulosní komplex s příznaky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tuberkulosa průdušnicových a průduškových uzlin s příznaky,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Roentgenologický nález podezřelý z aktivní tuberkulosy dýchacího ústrojí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ostatní tuberkulosa dýchacího ústrojí,9,-,-,-,-,-,-,-,1,5,2,1,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tuberkulosa neoznačeného umístění,47,1,1,-,-,-,-,3,7,2,5,7,15,5,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Tuberkulosa mozkomíšních plen a centrálního nervstva,106,13,15,12,3,-,13,23,8,2,6,5,4,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Tuberkulosa střev, pobřišnice a uzlin okruží",37,-,1,-,-,1,1,5,3,3,4,10,3,6,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
