1955,Zemřelé ženy podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,
MKN (1948),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
,,,,,,,,,,,,,,,,,
VN,Úrazy a otravy podle vnější příčiny,2107,94,26,28,32,17,81,87,147,150,259,268,348,429,141,-
,,,,,,,,,,,,,,,,,
D1,Úrazy na železnicích,36,-,-,-,-,-,-,3,6,7,3,6,5,5,1,-
E800,Úrazy na železnicích postihující železniční zaměstnance,8,-,-,-,-,-,-,1,2,5,-,-,-,-,-,-
E801,Úrazy na železnicích postihující cestující,7,-,-,-,-,-,-,-,3,1,-,1,2,-,-,-
E802,Úrazy na železnicích postihující jiné a blíže neoznačené osoby,21,-,-,-,-,-,-,2,1,1,3,5,3,5,1,-
,,,,,,,,,,,,,,,,,
D2,Dopravní úrazy motorovými vozidly,124,-,-,2,6,2,18,11,10,11,16,18,16,12,2,-
E810,Dopravní úraz motorovými vozidly při srážce s vlakem,9,-,-,-,-,-,-,4,-,-,4,1,-,-,-,-
E811,Dopravní úraz motorovými vozidly při srážce s pouliční drahou,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
E812,Dopravní úraz motorovými vozidly způsobený chodcům,74,-,-,1,6,2,11,3,4,5,8,13,9,10,2,-
E813,Dopravní úraz motorovými vozidly způsobený cyklistům,5,-,-,-,-,-,2,-,-,-,1,1,1,-,-,-
E814,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s vozidlem nemotorovým nebo jiným předmětem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E815,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s jiným motorovým vozidlem ,2,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
E816,"Jiný dopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel",1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E817,Dopravní úraz motorovými vozidly způsobený posádce motorového vozidla při srážce s chodcem nebo cyklistou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E818,Dopravní úraz motorovými vozidly při srážce se zvířaty nebo vozidly taženými zvířaty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E819,Dopravní úraz motorovými vozidly při srážce s předměty pevnými nebo blíže neurčenými,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E820,Dopravní úraz motorovými vozidly během sestupování a nastupování,5,-,-,-,-,-,-,-,1,-,-,1,2,1,-,-
E821,"Dopravní úraz motorovými vozidly způsobený řidiči motocyklu, nejde-li o srážku",1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E822,Dopravní úraz motorovými vozidly při převrhnutí na silnici,2,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-
E823,Dopravní úraz motorovými vozidly při vybočení ze silnice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E824,Jiný dopravní úraz motorovými vozidly bez srážky,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
E825,Dopravní úraz motorovými vozidly neurčené povahy,22,-,-,1,-,-,4,2,2,6,3,1,2,1,-,-
,,,,,,,,,,,,,,,,,
D3,Úrazy motorovými vozidly nedopravní,20,-,-,-,1,-,4,6,2,1,-,2,3,1,-,-
E830,Nedopravní úraz motorovými vozidly  způsobený chodcům,4,-,-,-,-,-,1,-,-,-,-,-,2,1,-,-
E831,Nedopravní úraz motorovými vozidly  způsobený cyklistům,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E832,Nedopravní úraz motorovými vozidly  způsobený řidičům nebo spolujezdcům na motocyklech,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
E833,"Jiný nedopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E834,Nedopravní úraz motorovými vozidly  při nastupování a sestupování,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E835,Nedopravní úraz motorovými vozidly  jiné nebo neurčené povahy,5,-,-,-,-,-,1,2,1,-,-,1,-,-,-,-
E836,Úraz motorovými vozidly nedopravní způsobený,10,-,-,-,1,-,2,4,1,-,-,1,1,-,-,-
,,,,,,,,,,,,,,,,,
D4,Úrazy jinými silničními vozidly,9,-,-,-,-,-,-,-,1,1,1,3,3,-,-,-
E840,Úraz způsobený chodcům vozy pouliční dopravy,3,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-
E841,"Ostatní druhy úrazu vozy pouliční dopravy , vyjma srážku s motorovým vozidlem ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E842,Úraz způsobený chodcům cyklisty,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
E843,"Úraz způsobený cyklistům, ne však při srážce  s motorovým  vozidlem ",1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E844,Úraz způsobený chodcům jinými nemotorovými silničními vozidly ,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E845,Jiný druh úrazu nemotorovými silničními vozidly ,2,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-
,,,,,,,,,,,,,,,,,
D5,Úrazy při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E850,Úraz cestujících na malých člunech způsobený potopením,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E851,Ostatní druhy úrazu při vodní dopravě způsobený potopením,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E852,Pád se schodů nebo žebříku při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E853,Jiný pád do hloubky při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E854,Pád na rovině při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E855,Neoznačený pád při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E856,Úraz stroji při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
