1956,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKN (1948),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,44 174,1 800,163,88,73,54,291,355,734,1 218,3 345,6 492,11 712,13 391,4 458,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Nemoci přenosné a cizopasné,1 666,56,25,13,9,11,41,28,109,79,172,332,483,274,34,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tuberkulosa ústrojí dýchacího (z povolání),1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tuberkulosa plic,1 007,-,-,1,2,1,2,17,83,64,108,192,331,189,17,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tuberkuloda pohrudnice,29,-,-,-,-,1,-,-,1,1,2,7,10,7,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Primární tuberkulosní komplex s příznaky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tuberkulosa průdušnicových a průduškových uzlin s příznaky,12,-,-,-,-,-,-,-,-,-,-,3,5,3,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Roentgenologický nález podezřelý z aktivní tuberkulosy dýchacího ústrojí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ostatní tuberkulosa dýchacího ústrojí,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tuberkulosa neoznačeného umístění,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Tuberkulosa mozkomíšních plen a centrálního nervstva,15,1,-,-,1,1,3,2,1,-,-,4,2,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Tuberkulosa střev, pobřišnice a uzlin okruží",14,-,-,-,-,-,-,1,1,1,1,1,4,5,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Tuberkulosa kostí a kloubů, aktivní nebo blíže neurčená",69,-,-,-,-,-,-,1,2,-,2,16,28,16,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Pozdní následky tuberkulosy kostí a kloubů,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Tuberkulosa kůže a podkožního vaziva,3,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Tuberkulosa soustavy mízní,13,-,-,-,-,-,-,-,1,-,-,2,6,4,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Tuberkulosa ústrojí močového a pohlavního,9,-,-,-,-,-,-,-,1,-,2,2,2,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Tuberkulosa nadledvinek,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
