1959,Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,
MKN (1955),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš-těno
,,,,,,,,,,,,,,,,,
VN,Úrazy a otravy podle vnější příčiny,4962,86,38,28,20,22,202,686,654,580,917,716,517,375,121,-
,,,,,,,,,,,,,,,,,
D1,Úrazy na železnicích,194,1,-,1,-,-,3,31,25,25,50,30,18,6,4,-
E800,Úraz na železnicích postihující železniční zaměstnance,86,-,-,-,-,-,-,11,11,15,30,15,2,-,2,-
E801,Úraz na železnicích postihující cestující,7,-,-,-,-,-,-,-,-,1,3,1,-,2,-,-
E802,Úraz na železnicích postihující jiné osoby,101,1,-,1,-,-,3,20,14,9,17,14,16,4,2,-
,,,,,,,,,,,,,,,,,
D2,Dopravní úrazy motorovými vozidly,964,-,1,3,7,8,44,254,172,113,174,79,74,29,6,-
E810,Dopravní úraz   při srážce s vlakem,9,-,-,-,-,-,1,2,-,2,2,1,1,-,-,-
E811,Dopravní úraz   při srážce s pouliční drahou,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E812,Dopravní úraz   způsobený chodcům,242,-,1,3,7,8,36,24,16,13,39,28,41,21,5,-
E813,Dopravní úraz   způsobený cyklistům,24,-,-,-,-,-,3,1,-,-,7,6,5,2,-,-
E814,Dopravní úraz  motocyklem při srážce s vozidlem nemotorovým a jinými předměty,42,-,-,-,-,-,-,20,11,6,3,2,-,-,-,-
E815,Dopravní úraz motocyklem při srážce s motorovým vozidlem ,85,-,-,-,-,-,-,26,22,14,15,3,4,1,-,-
E816,Dopravní úraz při srážce  motorových vozidel ,29,-,-,-,-,-,2,6,7,6,5,3,-,-,-,-
E817,"Dopravní úraz  posádky motorového vozidla při srážce s chodcem, cyklistou",3,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-
E818,Dopravní úraz   při srážce se zvířaty nebo vozy taženými zvířaty,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-
E819,Dopravní úraz   při srážce s předměty pevnými nebo blíže neurčenými,31,-,-,-,-,-,-,12,11,4,3,1,-,-,-,-
E820,Dopravní úraz  při nastupování nebo vystupování,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
E821,"Dopravní úraz  řidiče motocyklu, nejde-li o srážku",137,-,-,-,-,-,-,51,29,18,29,7,2,1,-,-
E822,Dopravní úraz   při převrhnutí na silnici,14,-,-,-,-,-,1,3,3,2,2,2,1,-,-,-
E823,Dopravní úraz   při vybočení ze silnice,9,-,-,-,-,-,-,2,2,-,4,1,-,-,-,-
E824,Jiný dopravní úraz   bez srážky,25,-,-,-,-,-,-,6,7,3,4,2,3,-,-,-
E825,Dopravní úraz   neurčené povahy,310,-,-,-,-,-,1,100,61,44,59,23,17,4,1,-
,,,,,,,,,,,,,,,,,
D3,Nedopravní úrazy motorovými vozidly ,113,-,1,1,-,-,6,30,20,16,15,18,6,-,-,-
E830,Nedopravní úraz   způsobený chodcům,5,-,-,-,-,-,2,1,-,-,-,1,1,-,-,-
E831,Nedopravní úraz   způsobený cyklistům,3,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-
E832,Nedopravní úraz   způsobený posádce motocyklu,2,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-
E833,"Nedopravní úraz, jde-li o několik motorových vozidel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E834,Nedopravní úraz    při nastupování a vystupování,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E835,Nedopravní úraz    jiné nebo neurčené povahy,18,-,-,-,-,-,-,7,2,1,4,4,-,-,-,-
E836,Úraz způsobený traktorem,85,-,1,1,-,-,4,21,18,13,11,11,5,-,-,-
,,,,,,,,,,,,,,,,,
