1959,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,
MKN (1955),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,46 050,1 138,164,75,63,43,255,305,597,979,3 230,6 781,12 571,14 679,5 170,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
I,Nemoci infekční a parasitární,1 248,23,23,12,6,6,16,14,41,62,112,256,376,256,45,-,,,,,,,
1,Tuberkulosa ústrojí dýchacího (z povolání),3,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,,,,,,,
2,Tuberkulosa plic,744,-,2,-,-,-,-,6,31,40,64,156,249,167,29,-,,,,,,,
3,Tuberkuloda pohrudnice,6,-,-,-,-,-,-,-,-,-,-,1,4,1,-,-,,,,,,,
4,Primární tuberkulosní komplex,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
5,Tuberkulosa průdušnicových a průduškových uzlin,12,-,-,-,-,-,-,-,-,1,-,1,4,6,-,-,,,,,,,
6,Roentgenologický nález podezřelý z aktivní tuberkulosy dýchacího ústrojí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
7,Ostatní tuberkulosa dýchacího ústrojí,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
8,Tuberkulosa neoznačeného umístění,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
10,Tuberkulosa mozkomíšních plen a centrálního nervstva,11,1,-,1,-,-,-,1,-,1,1,2,3,1,-,-,,,,,,,
11,"Tuberkulosa střev, pobřišnice a uzlin okruží",12,-,-,-,-,-,-,1,-,1,-,3,3,4,-,-,,,,,,,
12,"Tuberkulosa kostí a kloubů, aktivní nebo blíže neurčená",57,-,-,-,-,-,1,-,-,2,5,5,17,20,7,-,,,,,,,
13,Pozdní následky tuberkulosy kostí a kloubů,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,,,,,,,
14,Tuberkulosa kůže a podkožního vaziva,4,-,-,-,-,-,-,-,-,-,-,1,1,2,-,-,,,,,,,
15,Tuberkulosa soustavy mízní,14,-,-,-,-,-,1,-,-,-,-,2,7,4,-,-,,,,,,,
16,Tuberkulosa ústrojí močového a pohlavního,9,-,-,-,-,-,-,-,3,1,1,1,1,1,1,-,,,,,,,
17,Tuberkulosa nadledvinek,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,
18,Tuberkulosa jiných orgánů,6,-,-,-,-,-,-,-,-,1,-,-,4,1,-,-,,,,,,,
19,Tuberkulosa několika orgánů,4,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,,,,,,,
20,Příjice vrozená,3,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,,,,,,,
21,Příjice získaná,13,-,-,-,-,-,-,-,-,-,3,1,4,5,-,-,,,,,,,
22,Výduť srdečnice,14,-,-,-,-,-,-,-,1,-,-,5,6,2,-,-,,,,,,,
23,Ostatní druhy příjice soustavy cevní,46,-,-,-,-,-,-,-,-,-,5,24,10,6,1,-,,,,,,,
24,Úbytě míchy,20,-,-,-,-,-,-,-,-,-,3,5,6,6,-,-,,,,,,,
25,Progresivní paralysa,9,-,-,-,-,-,-,-,-,-,1,1,6,-,1,-,,,,,,,
26,Ostatní druhy příjice centrálního nervstva,7,-,-,-,-,-,-,-,-,-,1,3,3,-,-,-,,,,,,,
27,Jiné druhy pozdní příjice,4,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,,,,,,,
28,Latentní příjice,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,,,
29,Příjice blíže neurčená,3,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,,,,,,,
30,Kapavka akutní nebo blíže neurčená,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
