1959,Zemřelé ženy podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,
MKN (1955),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš-těno
,,,,,,,,,,,,,,,,,
VN,Úrazy a otravy podle vnější příčiny,2262,70,33,18,22,12,74,110,126,165,285,305,340,516,186,-
,,,,,,,,,,,,,,,,,
D1,Úrazy na železnicích,45,-,1,-,1,-,-,4,6,2,13,6,6,6,-,-
E800,Úraz na železnicích postihující železniční zaměstnance,6,-,-,-,-,-,-,1,2,-,3,-,-,-,-,-
E801,Úraz na železnicích postihující cestující,3,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-
E802,Úraz na železnicích postihující jiné osoby,36,-,1,-,1,-,-,3,4,2,9,5,6,5,-,-
,,,,,,,,,,,,,,,,,
D2,Dopravní úrazy motorovými vozidly,189,1,2,5,4,4,17,26,16,17,20,22,22,29,4,-
E810,Dopravní úraz   při srážce s vlakem,3,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-
E811,Dopravní úraz   při srážce s pouliční drahou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E812,Dopravní úraz   způsobený chodcům,116,1,2,5,4,3,15,8,2,3,12,13,18,26,4,-
E813,Dopravní úraz   způsobený cyklistům,4,-,-,-,-,-,-,-,-,1,1,2,-,-,-,-
E814,Dopravní úraz  motocyklem při srážce s vozidlem nemotorovým a jinými předměty,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
E815,Dopravní úraz motocyklem při srážce s motorovým vozidlem ,6,-,-,-,-,-,-,4,-,2,-,-,-,-,-,-
E816,Dopravní úraz při srážce  motorových vozidel ,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
E817,"Dopravní úraz  posádky motorového vozidla při srážce s chodcem, cyklistou",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E818,Dopravní úraz   při srážce se zvířaty nebo vozy taženými zvířaty,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E819,Dopravní úraz   při srážce s předměty pevnými nebo blíže neurčenými,3,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-
E820,Dopravní úraz  při nastupování nebo vystupování,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E821,"Dopravní úraz  řidiče motocyklu, nejde-li o srážku",8,-,-,-,-,-,-,2,3,3,-,-,-,-,-,-
E822,Dopravní úraz   při převrhnutí na silnici,2,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-
E823,Dopravní úraz   při vybočení ze silnice,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E824,Jiný dopravní úraz   bez srážky,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-
E825,Dopravní úraz   neurčené povahy,38,-,-,-,-,1,2,5,9,6,3,5,4,3,-,-
,,,,,,,,,,,,,,,,,
D3,Nedopravní úrazy motorovými vozidly ,14,-,-,-,-,-,1,3,1,1,5,1,1,-,1,-
E830,Nedopravní úraz   způsobený chodcům,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E831,Nedopravní úraz   způsobený cyklistům,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E832,Nedopravní úraz   způsobený posádce motocyklu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E833,"Nedopravní úraz, jde-li o několik motorových vozidel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E834,Nedopravní úraz    při nastupování a vystupování,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E835,Nedopravní úraz    jiné nebo neurčené povahy,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E836,Úraz způsobený traktorem,11,-,-,-,-,-,1,3,1,1,4,-,1,-,-,-
,,,,,,,,,,,,,,,,,
D4,Úrazy jinými silničními vozidly,16,-,-,-,1,-,-,-,-,1,4,6,1,3,-,-
E840,Úraz způsobený chodcům vozy pouliční dopravy,8,-,-,-,1,-,-,-,-,-,1,3,1,2,-,-
