1961,Zemřelé ženy podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,,,,,,,,
MKN (1955),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
,,,,,,,,,,,,,,,,,,,,,,,,
VN,Úrazy a otravy podle vnější příčiny,2357,67,23,21,13,15,45,30,86,51,47,70,96,70,116,146,136,181,192,216,265,256,215
,,,,,,,,,,,,,,,,,,,,,,,,
D1,Úrazy na železnicích,61,-,-,-,1,-,-,-,4,4,1,3,5,4,3,7,4,6,6,2,6,4,1
E800,Úraz na železnicích postihující železniční zaměstnance,7,-,-,-,-,-,-,-,1,1,-,-,3,-,1,-,1,-,-,-,-,-,-
E801,Úraz na železnicích postihující cestující,13,-,-,-,-,-,-,-,2,-,1,1,1,1,1,2,-,2,1,-,-,1,-
E802,Úraz na železnicích postihující jiné osoby,41,-,-,-,1,-,-,-,1,3,-,2,1,3,1,5,3,4,5,2,6,3,1
,,,,,,,,,,,,,,,,,,,,,,,,
D2,Dopravní úrazy motorovými vozidly,280,-,1,5,3,4,17,11,26,11,9,11,20,9,16,12,16,23,20,27,18,18,3
E810,Dopravní úraz   při srážce s vlakem,4,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,-,-
E811,Dopravní úraz   při srážce s pouliční drahou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E812,Dopravní úraz   způsobený chodcům,157,-,1,4,3,4,15,6,4,1,2,2,4,3,6,8,10,17,15,24,11,14,3
E813,Dopravní úraz   způsobený cyklistům,16,-,-,-,-,-,-,-,2,-,-,1,1,1,3,1,3,1,-,1,2,-,-
E814,Dopravní úraz  motocyklem při srážce s vozidlem nemotorovým a jinými předměty,3,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-
E815,Dopravní úraz motocyklem při srážce s motorovým vozidlem ,3,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-
E816,Dopravní úraz při srážce  motorových vozidel ,7,-,-,-,-,-,-,1,3,1,1,-,-,1,-,-,-,-,-,-,-,-,-
E817,"Dopravní úraz  posádky motorového vozidla při srážce s chodcem, cyklistou",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E818,Dopravní úraz   při srážce se zvířaty nebo vozy taženými zvířaty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E819,Dopravní úraz   při srážce s předměty pevnými nebo blíže neurčenými,8,-,-,-,-,-,-,-,3,-,-,2,3,-,-,-,-,-,-,-,-,-,-
E820,Dopravní úraz  při nastupování nebo vystupování,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E821,"Dopravní úraz  řidiče motocyklu, nejde-li o srážku",30,-,-,-,-,-,-,3,9,2,3,1,5,2,2,-,1,2,-,-,-,-,-
E822,Dopravní úraz   při převrhnutí na silnici,3,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-
E823,Dopravní úraz   při vybočení ze silnice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E824,Jiný dopravní úraz   bez srážky,3,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
E825,Dopravní úraz   neurčené povahy,46,-,-,1,-,-,1,1,4,3,2,4,4,2,3,2,2,2,5,1,5,4,-
,,,,,,,,,,,,,,,,,,,,,,,,
D3,Nedopravní úrazy motorovými vozidly ,19,-,-,-,-,-,1,-,3,-,1,1,-,-,2,4,2,-,-,2,1,1,1
E830,Nedopravní úraz   způsobený chodcům,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
E831,Nedopravní úraz   způsobený cyklistům,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E832,Nedopravní úraz   způsobený posádce motocyklu,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E833,"Nedopravní úraz, jde-li o několik motorových vozidel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E834,Nedopravní úraz    při nastupování a vystupování,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E835,Nedopravní úraz    jiné nebo neurčené povahy,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E836,Úraz způsobený traktorem,15,-,-,-,-,-,1,-,2,-,1,1,-,-,1,4,2,-,-,-,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,
D4,Úrazy jinými silničními vozidly,27,-,-,1,-,-,2,-,-,-,-,-,2,-,2,1,3,3,4,2,3,2,2
E840,Úraz způsobený chodcům vozy pouliční dopravy,8,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,1,-,2,1,1
E841,"Jiný úraz pouliční drahou , mimo srážku s motorovým vozidlem ",6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,1,1
E842,Úraz způsobený chodcům cyklisty,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-
E843,"Úraz způsobený cyklistům, vyjma srážku  s motorovým  vozidlem ",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-
E844,Úraz chodců nemotorovými silničními vozidly ,3,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E845,Jiný úraz nemotorovými silničními vozidly ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
D5,Úrazy při vodní dopravě,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E850,Úraz cestujících potopením na malých člunech ,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E851,Ostatní úrazy při vodní dopravě způsobené potopením,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E852,Pád se schodů nebo žebříku při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E853,Jiný pád do hloubky při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E854,Pád na rovině při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E855,Neoznačený pád při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E856,Úraz stroji při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E857,Jiný neoznačený úraz při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E858,Úraz při vodní dopravě neurčené povahy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
D6,Letecké úrazy ,4,-,-,-,-,1,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-
E866,Letecké úrazy ,4,-,-,-,-,1,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-
x,,"v letech 1961-1967 byla úmrtí kódů E860-E866 uvedena souhrnně, bez dalšího členění",,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Náhodné otravy látkami pevnými a tekutinami,34,-,1,-,1,2,2,3,-,1,1,-,4,2,3,1,3,5,4,-,-,-,1
E870,Náhodná otrava morfiem a jinými deriváty opia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E871,Náhodná otrava kyselinou barbiturovou a jejími deriváty,3,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-
E872,Náhodná otrava aspirinem a salicyláty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E873,Náhodná otrava bromidy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E874,Náhodná otrava jinými analgetiky a uspávacími prostředky,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
E875,Náhodná otrava sulfonamidy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E876,Náhodná otrava strychninem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E877,"Náhodná otrava belladonou, skopolaminem a atropinem",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E878,Náhodná otrava jinými a neurčenými léčivy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E879,Náhodná otrava škodlivými potravinami,6,-,-,-,-,1,1,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E880,Náhodná otrava alkoholem,4,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,1,-,-,-,-
E881,Náhodná otrava naftovými produkty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E882,Náhodná otrava průmyslovými rozpustidly,3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-
