1970,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,
MKN (1966),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,65 003,1 729,93,57,55,48,167,176,536,773,632,625,856,1 348,2 341,2 180,5 390,8 551,10 911,10 481,8 394,5 724,3 936
,,,,,,,,,,,,,,,,,,,,,,,,
I,Nemoci infekční a parazitární,701,16,2,3,1,-,2,-,2,3,2,5,10,20,38,32,67,81,131,120,104,46,16
0,Cholera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Břišní tyfus,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
2,Paratyfus,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-
3,Jiné infekce způsobené salmonelami,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
4,Bacilární úplavice,4,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-
5,Alimentární intoxikace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Úplavice amébová,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Jiná střevní onemocnění protozoární,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Střevní zánět způsobený jiným určeným mikroorganismem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Průjmová onemocnění,13,7,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,1,-,-
10,Koniotuberkulóza,70,-,-,-,-,-,-,-,-,-,-,-,2,2,5,1,4,7,15,18,11,4,1
11,Tuberkulóza plic,418,-,-,-,-,-,-,-,-,-,-,2,6,14,23,21,36,54,80,75,67,28,12
12,Jiná tuberkulóza dýchacího ústrojí,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,1,1,4,-,-
13,Tuberkulóza mozkomíšních plen a centrální nervové soustavy,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,-
14,"Tuberkulóza střev, pobřišnice a uzlin okruží",2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-
15,Tuberkulóza kostí a kloubů,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,2,-,-
16,Tuberkulóza ústrojí močového a pohlavního,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,2,-
17,Tuberkulóza jiných orgánů,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-
18,Diseminovaná tuberkulóza několika orgánových soustav,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
19,Pozdní následky tuberkulózy,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,2,-
20,Mor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,Tularemie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,Uhlák,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Vlnivá horečka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Vozhřivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Melioidosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Horečka z krysího kousnutí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Ostatní zoonotické bakteriální nemoci,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Malomocenství,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,Jiné nemoci působené mykobaktériemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,Záškrt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Dávivý kašel,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
34,Streptokoková angína a spála,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Růže,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
36,Meningokové infekce,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-
37,Tetanus,14,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,3,3,4,1,-,-,-
38,Septikémie,20,2,-,-,-,-,-,-,2,1,-,1,-,1,-,1,1,3,4,1,2,1,-
39,Jiné bakteriální nemoci,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
40,Akutní paralytická poliomyelitis určená jako bulbární,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,Akutní poliomyelitis s jinými obrnami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,Akutní neparalytická poliomyelitis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,Akutní poliomyelitis blíže neurčená,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,Pozdní následky akutní poliomyelitidy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,Aseptická meningitis způsobená enterovirem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,Jiné enterovirové nemoci centrální nervové soustavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,Neštovice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,Kravské neštovice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,Plané neštovice,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,Pásový opar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,Prostý opar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,Spalničky,5,2,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,Zarděnky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,Jiné virové nemoci s vyrážkou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,Žlutá zimnice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,Dengue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,Virový zánět mozku-přenášený komáry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,Virový zánět mozku-přenášený klíšťaty,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
64,Virový zánět mozku -přenášený jinými členovci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
