1982,Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,,,,,,,,
MKN (1976),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
,,,,,,,,,,,,,,,,,,,,,,,,
VN,Vnější příčiny poranění a otrav,5045,108,15,15,19,18,82,57,194,266,343,387,363,267,273,343,356,286,307,436,411,298,201
,,,,,,,,,,,,,,,,,,,,,,,,
D1,Úrazy na železnicích,115,-,1,1,-,-,-,-,9,9,14,20,15,5,5,9,5,6,5,5,2,2,2
E800,Srážka se železničními vozidly,5,-,-,-,-,-,-,-,-,-,1,1,1,-,-,1,-,1,-,-,-,-,-
E801,Náraz na jiný předmět,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E802,Vykolejení bez předchozí srážky nebo nárazu,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E803,"Výbuch, oheň nebo popálení",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E804,Pád ve vlaku nebo z vlaku,3,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-
E805,Zasažení železničním vozidlem,92,-,1,1,-,-,-,-,8,8,9,14,14,5,4,7,5,3,2,5,2,2,2
E806,Jiný blíže popsaný úraz  na železnici,5,-,-,-,-,-,-,-,-,-,1,2,-,-,-,1,-,-,1,-,-,-,-
E807,Železniční úraz NS,8,-,-,-,-,-,-,-,-,1,3,2,-,-,-,-,-,1,1,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
D2,Provozní úrazy motorovými vozidly,779,-,-,4,7,7,28,16,58,63,76,66,61,41,47,48,54,43,48,52,37,14,9
E810,Srážka motorového vozidla s vlakem,9,-,-,-,-,-,-,-,-,2,1,1,-,1,1,1,1,-,1,-,-,-,-
E811,Srážka motorového vozidla s jiným motorovým vozidlem při návratu do jízdní dráhy,3,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-
E812,Jiná srážka motorového vozidla s jiným motorovým vozidel,84,-,-,-,1,-,-,-,6,6,10,9,15,6,3,9,5,8,2,3,1,-,-
E813,Srážka motorového vozidla s jiným vozidlem,27,-,-,-,-,-,1,2,-,1,-,2,1,-,2,1,2,1,7,1,5,1,-
E814,Srážka motorového vozidla s chodcem,209,-,-,4,3,6,17,8,3,10,9,7,14,3,13,10,10,14,17,30,17,9,5
E815,Jiný náraz motorového vozidla na předmět na silnici,30,-,-,-,-,-,-,-,1,5,3,4,2,5,4,1,4,1,-,-,-,-,-
E816,"Ztráta vlády nad motorovým vozidlem na silnici, beze srážky",78,-,-,-,-,-,-,-,12,7,13,12,10,7,3,4,3,2,1,1,2,-,1
E817,"Úraz při nastupování nebo vystupování, bez srážky",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E818,Jiný provozní úraz motorovým vozidlem bez srážky,4,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-
E819,"Jiný provozní úraz motorovým vozidlem, bez srážky",335,-,-,-,3,1,9,6,35,32,38,31,18,18,21,22,28,17,20,17,12,4,3
,,,,,,,,,,,,,,,,,,,,,,,,
D3,Neprovozní úrazy motorovými vozidly,10,-,-,-,-,1,-,-,1,1,1,2,1,-,-,1,1,1,-,-,-,-,-
E820,Neprovozní úraz motorovým vozidlem pro jizdu na sněhu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E821,Neprovozní úraz jiným mimosilničním motorovým vozidlem ,3,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-
E822,Neprovozní úraz jiným motorovým vozidlem při srážce s pohybujícím se předmětem,2,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
E823,Neprovozní úraz  jiným motorovým vozidlem při nárazu na nepohybující se předmět,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
E824,Neprovozní úraz jiným motorovým vozidlem při nastupování nebo vystupování,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E825,Neprovozní úraz jiné nebo NS povahy jiným  motorovým vozidlem,4,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
D4,Úrazy jinými silničními vozidly,41,-,-,-,-,-,1,2,4,3,1,2,7,1,3,3,5,3,2,2,1,1,-
E826,Úraz způsobený jizdním kolem,29,-,-,-,-,-,1,2,4,2,1,-,2,1,2,3,4,2,2,2,-,1,-
E827,Úraz způsobený vozidlem taženým zvířaty,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
E828,Úraz způsobený zvířetem nesousím člověka,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
E829,Úrazy způsobené jinými silničními vozidly,10,-,-,-,-,-,-,-,-,1,-,1,5,-,1,-,-,1,-,-,1,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
D5,Úrazy při vodní dopravě,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
