1986,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,,
MKN (1976),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,65 830,678,43,29,18,21,90,71,104,131,157,301,449,709,813,1 336,2 519,4 378,4 642,9 383,13 955,13 587,12 416,
,,,,,,,,,,,,,,,,,,,,,,,,,
I,Infekční a parazitární nemoci,247,8,1,3,-,-,1,-,2,1,1,1,2,2,5,8,10,30,22,34,38,45,33,
1,Cholera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2,Břišní tyfus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
3,Jiné infekce způsobené salmonelami,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,1,
4,Bacilární úplavice,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,
5,Jiné otravy potravinami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
6,Amébová úplavice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
7,Jiné protozoární střevní nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
8,Střevní infekce způsobené jinými organismy,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
9,"Nepřesně určené střevní infekce, infekční průjmová onemocnění blíže neurčená",16,3,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,1,-,2,4,1,2,
10,Primární tuberkulózní infekce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
11,Tuberkulóza plic,54,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,2,7,7,10,9,9,7,
12,Jiná tuberkulóza dýchacího ústrojí,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3,1,-,
13,Tuberkulóza mozkomíšních plen a centrální nervové soustavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
