1990,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,,
MKN (1976),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,66 468,833,48,20,25,26,111,113,315,443,435,585,1 143,1 899,2 614,3 156,4 937,7 570,10 115,6 726,11 274,8 812,5 268,
,,,,,,,,,,,,,,,,,,,,,,,,,
I,Infekční a parazitární nemoci,225,1,4,1,-,-,2,1,-,1,3,4,9,9,17,17,27,25,32,13,26,25,8,
1,Cholera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2,Břišní tyfus,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,
3,Jiné infekce způsobené salmonelami,7,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,1,-,3,1,-,
4,Bacilární úplavice,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
5,Jiné otravy potravinami,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,
6,Amébová úplavice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
7,Jiné protozoární střevní nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
8,Střevní infekce způsobené jinými organismy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
9,"Nepřesně určené střevní infekce, infekční průjmová onemocnění blíže neurčená",11,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,1,2,-,-,1,3,-,
10,Primární tuberkulózní infekce,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,
11,Tuberkulóza plic,98,-,-,-,-,-,-,-,-,-,-,1,3,6,8,10,13,13,10,7,12,11,4,
12,Jiná tuberkulóza dýchacího ústrojí,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1,-,-,
13,Tuberkulóza mozkomíšních plen a centrální nervové soustavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
14,"Tuberkulóza střev, pobřišnice a uzlin okruží",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,
15,Tuberkulóza kostí a kloubů,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,
16,Tuberkulóza močového a pohlavního ústrojí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
17,Tuberkulóza jiných orgánů,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,
18,"Miliární, diseminovaná tuberkulóza",11,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,2,-,1,4,-,
20,Mor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
21,Tularémie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22,"Uhlák, sněť slezinná",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
23,Vlnivá horečka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24,Vozhřivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
25,Melioidosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26,Horečka z krysího kousnutí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
27,Jiné zoonotické bakteriální nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30,Malomocenství,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
31,Nemoci způsobené jinými mykobakteriemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
32,Záškrt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33,Dávivý kašel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
34,Streptokoková angína a spála,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
35,Růže,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,-,-,
