1999,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,
MKN (1993),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,54 923,192,17,9,8,4,56,43,92,141,128,149,249,480,954,1 513,1 851,2 381,4 344,7 288,10 727,7 435,16 862
,,,,,,,,,,,,,,,,,,,,,,,,
I,Některé infekční a parazitární nemoci,106,1, -, -, -, -,2, -, -,1, -, -,2,1,3,4,7,4,15,13,23,15,15
A02,Jiné infekce způsobené salmonelami,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1
A03,Shigellosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A04,Jiné bakteriální střevní infekce,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -
A05,Jiné bakteriální otravy (intoxikace) , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A06,Amoebiasis - amébóza, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A08,Virové a jiné specifikované střevní infekce,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -
A09,Průjem-diarrhoea a gastroenteritida předpokládaného infekčního původu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A15,"TBC dýchacího ústrojí bakteriologicky
a histologicky ověřená ",17, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -,1, -,2,3,6,1,3
A16,"TBC dýchacího ústrojí bakteriologicky 
a histologicky neověřená ",15, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -,2,2,2,5,3
A17,Tuberkulóza nervové soustavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A18,TBC jiných orgánů,4, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -,1, -,2
A19,Miliární tuberkulóza,5, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -,1,2,1
A20,Mor-pestis, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A21,Tularémie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A23,Brucellosis - vlnivá horečka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A24,"Malleus - vozhřivka a pseudomalleus 
- meliodosis",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A26,Erysipeloid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A27,Leptospiróza, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A31,Nemoci způsobené jinými mykobakteriemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A32,Listerióza - listeriosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A33,Tetanus novorozenců,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A35,Tetanus jiný,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A39,Meningokokové infekce,4,1, -, -, -, -,1, -, -,1, -, -, -, -, -, -, -, -, -,1, -, -, -
A40,Streptokoková septikémie,1, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A41,Jiná septikémie,31, -, -, -, -, -, -, -, -, -, -, -, -,1, -,1,2,3,3,5,8,5,3
A42,Aktinomykóza - actinomycosis, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A46,Růže - erysipelas,3, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,1, -,1, -
A48,Jiné bakteriální nemoci jinde nezařazené,1, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -
A49,Bakteriální infekce neurčené lokalizace,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -
A50,Vrozená syfilis - příjice - lues, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A51,Časná syfilis, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A52,Pozdní syfilis,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1
A54,Gonokoková infekce, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A55,Lymphogranuloma venereum ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A68,Návratná horečka - typhus recurrens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A69,Jiné spirochétové infekce,1, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -
A70,Infekce původce: Chlamydia psittaci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A79,Jiné rickettsiózy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A80,Akutní poliomyelitida - akutní dětská obrna ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A81,Pomalé virové infekce centrální nervové soustavy,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -
A83,Virová encefalitida přenášená komáry, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A84,Virová encefalitida přenášená klíšťaty,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -
A85,Jiná virová encefalitida jinde nezařazená ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A86,Neurčená virová encefalitida,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -
