name,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
celkem,177428,176562,161321,163366,142335,146098,146450,148298,155479,147064,155493,142159,144534,142997,140906,135914,140878,139093,139558,89165,93520,96525,96835,99703,98976,101625,124807,105832,105277,101501,103,102,102,96,98,98,92,93,98,93,97,93,93,103,99,101,104,105,108,114,120,123,121,118,124,125,123,125,125,126,127,134,129,130,133,131,131,131,126,125,127,128,123,119,118,116,116,112,112,109,108,108,106,107,110,106,107,103
Infekční a parazitární nemoci,44154,37909,27263,28052,23973,23615,24058,24711,27194,23277,24881,22523,22570,21288,21215,19949,20185,18915,18623,11417,12669,12683,14925,15785,15620,14744,16603,13872,11235,10881,3464,2924,3003,2558,2377,1909,1636,1538,2310,2158,1854,1686,1469,1434,2189,1901,1700,1507,1327,1259,1258,1089,1054,1050,961,934,876,973,942,837,734,663,668,556,598,477,412,500,382,412,392,443,346,378,320,356,245,251,229,266,265,268,303,320,306,328,411,457
Novotvary,10333,10388,10777,11123,11478,12292,12771,13505,13728,14139,14378,14680,15353,15675,15737,15902,16224,16759,16527,10307,10866,11136,14592,14549,13969,14327,15065,15390,17060,17642,10006,10155,10199,10343,10533,10928,11180,11490,11749,11760,11224,11497,12769,12023,12428,13132,12348,13469,13952,14310,14386,14505,15037,15340,15491,15898,15886,15773,16342,16483,16748,16980,16273,15986,16617,17674,15652,14084,15147,14426,14527,15822,15696,15635,15685,16100,16272,15733,16873,16925,16852,17140,16976,17423,17672,17566,28255,28180
"Nemoci krve, krvetvorných orgánů a poruchy imunity",284,285,305,296,310,344,310,353,346,282,335,319,693,638,650,658,721,714,795,502,571,566,426,455,424,525,553,551,559,625,299,319,336,259,237,221,273,246,224,192,225,217,256,309,231,261,228,207,226,173,173,158,151,183,145,161,159,138,209,182,203,229,195,165,160,175,194,221,177,165,165,169,170,162,139,119,116,120,116,89,92,94,80,79,99,62,106,92
"Nemoci žláz s vnitřní sekrecí, přeměny látek a výživy",1760,1688,1589,1654,1618,1858,1720,1752,1821,1844,1921,1905,2007,2265,2223,2327,2393,2592,2645,1744,1899,1872,1656,1572,1474,1437,1462,1371,1534,1435,1743,1582,1681,1704,1792,1788,1719,1780,1748,1796,956,1086,1159,1402,1287,1342,1185,1127,1176,838,834,881,1049,937,961,1029,862,1590,786,1035,1077,1066,1022,941,996,966,1049,1010,939,968,940,987,846,1650,1594,1391,934,849,1057,1543,1233,1476,1263,1334,1488,1416,1486,1561
Poruchy duševní a poruchy chování ,195,270,293,298,310,306,364,316,342,313,326,282,278,274,265,236,250,277,275,178,183,231,181,155,153,122,222,169,176,140,333,273,271,233,227,138,112,127,104,84,82,137,222,337,267,169,162,157,137,128,90,112,164,127,123,117,98,99,87,153,163,147,196,265,140,127,151,211,289,311,223,254,219,183,141,74,65,62,60,70,73,110,114,111,164,181,284,225
Nemoci nervové soustavy,16475,18684,18041,17928,16028,16036,15523,14255,14585,14458,14558,13890,13564,13337,13022,12829,13133,13232,13423,8297,8354,8825,7717,7395,7281,7743,8399,8485,8847,8636,3083,3816,3487,3640,2818,1708,1901,2042,2287,2354,2691,2395,1865,2418,1962,1879,1043,1023,1033,924,976,1079,997,882,923,934,908,904,917,948,5084,5053,5242,4923,4610,4664,4713,5036,4712,4749,4975,5124,4595,5864,5786,1027,1116,1100,1213,1197,1262,1458,1671,1814,2057,1975,2072,2046
Nemoci oběhové soustavy,17139,16802,15749,16680,16701,18602,18882,21130,22838,22886,25539,23686,25232,25735,25984,25661,28174,28979,30318,19538,21394,22653,22699,22912,23122,24284,25095,26670,28404,28318,5786,4425,5751,6321,4858,5678,5524,5284,5282,4821,4834,7625,7467,6429,6472,6947,7732,7707,6583,11564,11925,10730,9839,8652,8509,9038,9110,11012,9966,9333,8017,9680,8427,9129,7830,7086,7143,7370,5813,8501,7835,7512,7097,8867,9317,8580,8352,8297,9810,8303,10307,10055,10002,10139,10589,11490,55155,52560
Nemoci dýchací soustavy,21991,22439,20987,23902,16882,18340,18405,19820,22148,18941,20968,16979,17143,17253,17665,15075,16646,15917,16151,11344,11622,12185,24190,24880,26253,25592,29256,24223,23413,23479,5375,4733,4757,4044,4665,4735,3328,3380,4196,3941,5280,4966,3755,6001,3537,3756,2574,2645,2296,3691,3568,5629,5007,3437,4375,4474,3076,3933,3312,3595,3139,4718,4786,3570,3990,3240,3144,4572,3422,3284,4364,3895,4028,3974,3714,4636,2737,2237,2146,4105,3498,3787,3621,2552,2854,2615,6040,5670
Nemoci trávicí soustavy,11595,15728,17571,14068,12677,12184,12743,13658,13136,12531,12817,11996,11022,10908,9924,9843,9129,9118,8436,5429,5526,5732,5747,6280,6496,6433,8794,6471,6444,6764,4357,4175,5195,4580,4237,3887,3661,3668,3900,3849,3615,3623,3567,3814,3739,4058,4404,4500,4599,4352,3494,3752,3725,3747,3811,4140,3994,3853,4148,4253,4299,4360,4050,3829,3808,3573,3681,3527,3377,3418,3443,3428,3175,3084,2956,4470,4326,4146,4024,4158,4248,4239,4418,4435,4607,4537,4823,4730
