name,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
celkem,85973,86996,80621,82108,71480,73522,73662,74485,78211,74569,79021,72694,73645,72343,70943,69106,71478,70112,70723,46072,47869,50072,50027,51929,50756,52428,68294,55465,54936,53001,54701,53834,53598,50773,51494,51921,48957,49352,51650,49131,51109,49518,49983,54858,52992,53901,55424,56088,57820,60936,64508,65003,64900,62366,65273,65874,64619,65144,65219,65323,65519,68791,66526,66419,67937,66752,66589,66755,64404,63688,64396,66468,63342,61767,59180,58609,58925,56709,56692,55139,54845,54882,53772,54377,55880,54190,54072,52706
Infekční a parazitární nemoci,21792,18522,13418,13909,11934,11887,12283,12489,13797,12093,12974,12035,12018,11243,11279,10744,10926,10081,10161,6253,6984,7208,8424,9010,8825,8514,9730,8066,6460,6449,6017,5173,5096,4519,4174,3645,3398,3068,2800,2491,2249,1960,1728,1783,1405,1202,1073,953,818,784,761,701,645,668,562,545,506,564,506,431,387,364,349,313,313,244,232,253,193,221,225,225,202,200,172,198,122,154,129,151,159,150,150,150,166,181,194,232
Nemoci oběhové soustavy,7525,7432,6938,7420,7699,8666,8406,9345,10201,10348,11705,10845,11469,11656,11834,11705,13021,13300,13943,9252,10051,10844,10768,10737,10753,11206,11595,12705,13732,13798,15317,15835,15861,15765,16905,17876,16263,16420,17589,16179,16902,16089,16348,18473,17264,17455,17608,17972,19100,27086,29457,29523,29834,28882,30198,30208,30207,29858,30271,29499,30411,33405,33104,33708,34717,34427,34590,34614,33866,32875,33326,34421,32724,31765,30391,29812,30381,29007,29057,27423,27258,26468,25712,25652,26110,24919,24573,23810
Novotvary,4716,4717,5071,5362,5379,5755,5962,6306,6491,6649,6801,7001,7305,7428,7343,7642,7768,7972,7920,4983,5206,5426,6775,6816,6480,6702,6921,7160,8019,8335,7707,7757,8116,8273,8475,8928,9301,9685,9986,10204,10604,10946,11252,11770,12350,12751,12947,13413,13758,13974,14034,14107,14601,14290,14609,14902,14856,14628,15118,14989,15078,15168,15069,14888,15281,15274,15302,15546,15465,15728,15699,15904,15754,15683,15386,15722,15711,15602,15557,15610,15485,15948,15603,16058,16278,16280,15680,15492
"Nemoci krve, krvetvorných orgánů a poruchy imunity",96,110,118,111,115,125,119,128,147,117,141,120,341,288,320,310,331,352,402,259,294,284,192,218,195,260,251,281,262,295,102,134,111,97,97,71,104,97,76,69,81,73,96,131,92,105,89,76,80,69,73,60,62,70,65,71,81,50,95,80,87,99,82,65,69,74,86,95,76,84,80,93,83,78,56,52,37,45,48,46,40,42,31,41,42,25,38,43
"Nemoci žláz s vnitřní sekrecí, přeměny látek a výživy",852,831,774,799,785,955,865,836,882,854,899,863,913,1024,941,986,1059,1074,1123,704,869,775,695,611,595,599,587,553,620,538,767,674,691,681,754,740,687,669,589,625,652,743,857,1040,975,1039,932,881,947,686,708,766,891,807,832,892,737,555,699,919,974,973,912,849,908,892,974,924,865,908,888,929,803,720,628,571,401,349,465,671,508,630,524,568,633,592,638,691
Poruchy duševní a poruchy chování ,119,183,187,230,232,220,251,203,218,223,205,197,182,182,174,153,153,165,168,107,111,148,107,87,86,57,145,102,98,70,187,108,116,84,91,54,51,53,35,29,36,55,101,145,114,72,80,65,42,60,32,48,79,55,48,60,60,63,59,87,86,87,112,145,104,106,113,161,210,226,178,208,168,138,112,55,35,37,36,53,55,84,81,90,130,140,217,167
Nemoci nervové soustavy,8581,9988,9677,9642,8658,8498,8138,7555,7593,7640,7630,7251,7106,6910,6693,6687,6702,6819,6767,4246,4184,4536,3829,3538,3553,3812,4184,4160,4316,4194,4317,4294,4457,4441,4527,4548,4790,5125,5462,5458,5565,4875,5126,4757,5728,5702,6178,6212,6406,487,519,566,544,465,525,492,476,478,475,486,3510,3470,3534,3283,3264,3264,3389,3530,3383,3389,3531,3649,3196,2821,2623,491,511,534,561,544,611,685,783,898,972,932,970,914
Nemoci dýchací soustavy,11113,11609,10874,12492,8787,9613,9761,10456,11709,10125,11275,8965,9131,9080,9270,8052,8830,8467,8651,6207,6249,6602,13479,13806,14476,14259,16270,13572,13089,12969,5392,4925,4809,3938,4138,4302,3411,3452,4282,3951,5041,4595,4550,6581,4874,5065,5321,5343,5277,6169,6504,6895,6081,4990,6124,6114,5628,6556,5960,6301,5849,6003,4818,4904,4970,4425,4373,4217,3445,3397,3479,3323,3013,2914,2692,2504,2675,2439,2285,2342,2465,2637,2557,2563,2822,2686,3237,3013
Nemoci trávicí soustavy,6144,8525,9646,7663,6915,6740,6919,7559,7252,6905,7126,6841,6150,6018,5499,5494,5133,5046,4750,3080,3121,3334,3335,3532,3630,3636,4943,3636,3647,3768,3176,2846,2793,2418,2287,2030,1912,1906,2038,1974,1871,1893,1857,2023,1944,2122,2329,2390,2474,2305,2552,2639,2651,2663,2774,2877,2769,2792,2797,2919,3059,3005,2783,2706,2820,2699,2676,2761,2585,2714,2753,3020,2737,2574,2351,2478,2496,2400,2290,2443,2467,2408,2539,2512,2591,2583,2771,2695
Nemoci kůže a podkožního vaziva,506,708,613,618,544,475,650,631,550,588,559,583,457,428,389,374,361,353,342,226,247,275,223,212,253,226,276,204,145,88,113,98,68,67,46,47,46,38,28,38,27,38,38,28,26,37,26,25,23,23,22,15,25,23,21,23,24,23,13,23,19,16,29,23,27,19,15,13,20,16,12,8,5,6,7,6,7,9,2,0,5,6,4,1,6,5,4,10
"Nemoci svalů, kostí a pojivové tkáně",123,110,117,123,104,67,157,158,178,186,159,191,190,172,154,153,148,195,186,107,124,135,122,163,151,150,177,132,101,94,146,115,63,49,58,61,45,44,34,37,24,61,67,74,42,34,49,49,47,68,41,38,41,44,28,48,49,75,74,102,51,37,67,42,41,21,43,31,19,34,23,21,20,21,17,18,22,14,8,10,7,19,16,13,11,11,12,18
Nemoci pohlavní a močové soustavy,2457,2103,2007,2060,1831,1927,2150,2347,2325,2413,2553,2410,2337,2282,2199,2316,2366,2510,2489,1678,1774,1853,1669,1766,1605,1624,1619,1631,1585,1591,1213,1116,1144,1154,1054,1042,981,1064,1043,963,963,1081,1064,1202,1142,1285,1441,1487,1509,1537,1660,1791,1749,1764,1794,1972,1867,1859,1856,2134,2145,2211,1947,1826,1865,1815,1595,1671,1514,1517,1400,1355,1179,1006,931,830,746,754,622,676,700,643,653,629,660,685,694,785
"Těhotenství, porod a šestinedělí",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perinatální období,5123,6735,6904,6313,5574,5254,4770,4312,4130,4140,3963,3931,3834,3807,3450,3329,3241,3013,2949,1804,1952,2144,2159,2482,2656,2562,2920,3278,3024,2517,2870,3015,2652,2257,1419,1361,1329,1050,1053,890,765,808,785,847,874,978,1221,1095,1061,1023,1096,1013,1135,1126,1296,1330,1238,1241,1131,979,839,751,672,644,601,586,472,492,465,435,431,472,406,367,331,238,222,161,169,139,117,128,107,117,117,116,123,116
Vrozené vady a chromosomální abnormality,87,181,163,127,148,129,196,216,192,192,218,242,222,226,220,239,199,216,260,171,174,178,267,252,275,273,339,393,435,410,401,411,369,445,451,453,446,399,400,385,339,373,374,396,440,428,470,422,394,362,399,400,442,442,515,512,522,543,538,526,488,512,467,412,411,379,384,318,289,280,270,272,238,194,199,185,145,99,96,106,79,54,88,68,65,49,59,69
