name,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
celkem,91455,89566,80700,81258,70855,72576,72788,73813,77268,72495,76472,69465,70889,70654,69963,66808,69400,68981,68835,43093,45651,46453,46808,47774,48220,49197,56513,50367,50341,48500,49931,49369,49060,46953,47343,47715,44343,44174,47037,44566,46050,44345,44990,49460,47137,48083,49684,49696,51147,54259,56145,58324,57475,56839,59164,60935,59695,60088,60995,61813,62430,66746,63881,64346,66537,65436,65052,65830,62840,62006,63351,62698,60948,58570,59005,58764,58988,56073,56052,54388,54923,54119,53983,53866,55408,52987,53866,51735
Infekční a parazitární nemoci,22362,19387,13845,14143,12039,11728,11775,12222,13397,11184,11907,10488,10552,10045,9936,9205,9259,8834,8462,5164,5685,5475,6501,6775,6795,6230,6873,5806,4775,4432,4094,3386,3360,2797,2598,2184,1889,1666,1554,1491,1248,1130,970,919,784,699,627,554,509,475,497,388,409,382,399,389,370,409,436,406,347,299,319,243,285,233,180,247,189,191,167,218,144,178,148,158,123,97,100,115,106,118,153,170,140,147,217,225
Novotvary,5617,5671,5706,5761,6099,6537,6809,7199,7237,7490,7577,7679,8048,8247,8394,8260,8456,8787,8607,5324,5660,5710,7817,7733,7489,7625,8144,8230,9041,9307,7773,7774,7641,7934,7913,8230,8394,8341,8662,8678,8901,9099,9256,9322,9484,10046,10188,10211,10474,10611,10592,10612,10836,11294,11144,11241,11106,11005,11327,11530,11533,11678,11726,11606,12006,12033,11677,12268,12041,12356,12308,12530,12504,12335,12716,12605,12920,12277,12451,12405,12700,12757,12852,12835,13086,13024,12575,12688
"Nemoci krve, krvetvorných orgánů a poruchy imunity",188,175,187,185,195,219,191,225,199,165,194,199,352,350,330,348,390,362,393,243,277,282,234,237,229,265,302,270,297,330,197,185,225,162,140,150,169,149,148,123,144,144,160,178,139,156,139,131,146,104,100,98,89,113,80,90,78,88,114,102,116,130,113,100,91,101,108,126,101,81,85,76,87,84,83,67,79,75,68,43,52,52,49,38,57,37,68,49
"Nemoci žláz s vnitřní sekrecí, přeměny látek a výživy",908,857,815,855,833,903,855,916,939,990,1022,1042,1094,1241,1282,1341,1334,1518,1522,1040,1030,1097,961,961,879,838,875,818,914,897,976,908,990,1023,1038,1048,1032,1111,1159,1171,1307,1360,1482,1772,1727,1795,1848,1804,1879,1424,1511,1650,1805,1537,1709,1699,1378,1035,1252,1545,1686,1552,1399,1308,1392,1324,1391,1449,1282,1307,1303,1399,1060,930,966,820,533,500,592,872,725,846,739,766,855,824,848,870
Poruchy duševní a poruchy chování ,76,87,106,68,78,86,113,113,124,90,121,85,96,92,91,83,97,112,107,71,72,83,74,68,67,65,77,67,78,70,146,165,155,149,136,84,61,74,69,55,46,82,121,192,153,97,82,92,95,68,58,64,85,72,75,57,38,36,28,66,77,60,84,120,36,21,38,50,79,85,45,46,51,45,29,19,30,25,24,17,18,26,33,21,34,41,67,58
Nemoci nervové soustavy,7894,8696,8364,8286,7370,7538,7385,6700,6992,6818,6928,6639,6458,6427,6329,6142,6431,6413,6656,4051,4170,4289,3888,3857,3728,3931,4215,4325,4531,4442,4608,5001,4933,4948,5075,5325,5733,6075,6502,6322,6817,5828,6031,5751,7144,7042,7668,7757,7900,437,457,513,453,417,398,442,432,426,442,462,4842,4593,4395,4163,4041,3973,4030,4317,3818,3913,3997,4214,3475,3043,3163,536,605,566,652,653,651,773,888,916,1085,1043,1102,1132
Nemoci oběhové soustavy,9614,9370,8811,9260,9002,9936,10476,11785,12637,12538,13834,12841,13763,14079,14150,13956,15153,15679,16375,10286,11343,11809,11931,12175,12369,13078,13500,13965,14672,14520,16109,16366,16497,16103,16899,17702,15743,15830,17056,15811,16450,16548,16761,19250,17173,17198,17544,17741,18537,28717,30473,31588,31646,30886,32453,33164,33146,32620,33284,32834,33997,37359,36963,38100,39760,39469,39438,39636,38205,37135,38516,37975,36764,35289,35595,35320,35570,34138,34277,32974,33028,31724,31692,31500,31955,30123,30582,28750
Nemoci dýchací soustavy,10878,10830,10113,11410,8095,8727,8644,9364,10439,8816,9693,8014,8012,8173,8395,7023,7816,7450,7500,5137,5373,5583,10711,11074,11777,11333,12986,10651,10324,10510,4702,4369,4298,3549,3938,3823,2955,2846,3659,3293,3904,3076,3229,4500,3258,3503,3409,3446,3403,4160,3883,4603,3500,3254,3946,4212,4027,5083,4534,4513,4334,5219,3655,3624,3905,3296,3239,3390,2434,2443,2548,2100,2207,2179,2116,2132,2401,2238,2029,1763,2194,2322,2096,2150,2464,2069,2803,2657
Nemoci trávicí soustavy,5451,7203,7925,6405,5762,5444,5824,6099,5884,5626,5691,5155,4872,4890,4425,4349,3996,4072,3686,2349,2405,2398,2412,2748,2866,2797,3851,2835,2797,2996,2493,2366,2402,2162,1950,1857,1749,1762,1862,1875,1744,1730,1710,1791,1795,1936,2075,2110,2125,2047,2009,2188,2140,2243,2251,2457,2366,2201,2516,2596,2529,2569,2399,2264,2256,2130,2167,2029,2036,2009,2075,2003,1937,1861,1804,1992,1830,1746,1734,1715,1781,1831,1879,1923,2016,1954,2052,2035
Nemoci kůže a podkožního vaziva,471,556,515,543,449,417,623,606,505,557,578,547,393,475,378,408,384,401,349,247,261,311,192,180,209,197,256,182,123,116,139,94,72,63,65,55,51,75,62,52,36,58,40,51,40,58,54,35,43,45,41,28,41,40,46,33,38,48,35,44,22,35,61,57,38,32,48,27,30,19,31,28,16,19,19,22,27,13,9,2,4,9,15,8,9,6,26,30
"Nemoci svalů, kostí a pojivové tkáně",144,123,109,101,72,76,105,132,123,161,146,185,191,212,182,196,182,230,241,107,138,148,154,168,155,174,172,136,130,129,250,187,126,106,106,93,94,102,94,107,88,108,150,150,115,97,125,149,151,113,93,92,83,99,82,104,89,148,184,266,96,118,109,137,96,80,103,67,48,62,92,49,31,48,36,50,38,22,30,23,32,21,26,19,21,14,28,36
